gene_symbol	TCGA-2J-AAB1-01A-11R-A41B-07	TCGA-2J-AAB4-01A-12R-A41B-07	TCGA-2J-AAB6-01A-11R-A41B-07	TCGA-2J-AAB8-01A-12R-A41B-07	TCGA-2J-AAB9-01A-11R-A41B-07	TCGA-2J-AABA-01A-21R-A41B-07	TCGA-2J-AABE-01A-12R-A41B-07	TCGA-2J-AABF-01A-31R-A41B-07	TCGA-2J-AABH-01A-21R-A41B-07	TCGA-2J-AABI-01A-12R-A41B-07	TCGA-2J-AABK-01A-31R-A41B-07	TCGA-2J-AABO-01A-21R-A41B-07	TCGA-2J-AABP-01A-11R-A41B-07	TCGA-2J-AABR-01A-11R-A41B-07	TCGA-2J-AABT-01A-11R-A41B-07	TCGA-2J-AABU-01A-11R-A41B-07	TCGA-2J-AABV-01A-12R-A41B-07	TCGA-2L-AAQA-01A-21R-A38C-07	TCGA-2L-AAQE-01A-11R-A39D-07	TCGA-2L-AAQI-01A-12R-A39D-07	TCGA-2L-AAQJ-01A-12R-A39D-07	TCGA-2L-AAQL-01A-11R-A38C-07	TCGA-2L-AAQM-01A-11R-A39D-07	TCGA-3A-A9I5-01A-11R-A38C-07	TCGA-3A-A9I7-01A-21R-A38C-07	TCGA-3A-A9I9-01A-11R-A38C-07	TCGA-3A-A9IB-01A-21R-A39D-07	TCGA-3A-A9IC-01A-11R-A38C-07	TCGA-3A-A9IH-01A-12R-A39D-07	TCGA-3A-A9IJ-01A-11R-A39D-07	TCGA-3A-A9IL-01A-11R-A38C-07	TCGA-3A-A9IN-01A-11R-A39D-07	TCGA-3A-A9IO-01A-11R-A38C-07	TCGA-3A-A9IR-01A-11R-A38C-07	TCGA-3A-A9IS-01A-21R-A39D-07	TCGA-3A-A9IU-01A-11R-A39D-07	TCGA-3A-A9IV-01A-11R-A41B-07	TCGA-3A-A9IX-01A-11R-A41B-07	TCGA-3A-A9IZ-01A-12R-A41B-07	TCGA-3A-A9J0-01A-11R-A41B-07	TCGA-3E-AAAY-01A-11R-A38C-07	TCGA-3E-AAAZ-01A-11R-A38C-07	TCGA-F2-6879-01A-11R-2156-07	TCGA-F2-6880-01A-11R-2156-07	TCGA-F2-7273-01A-11R-2156-07	TCGA-F2-7276-01A-11R-2156-07	TCGA-F2-A44G-01A-11R-A26U-07	TCGA-F2-A44H-01A-11R-A26U-07	TCGA-F2-A7TX-01A-33R-A38C-07	TCGA-F2-A8YN-01A-11R-A37L-07	TCGA-FB-A4P5-01A-11R-A26U-07	TCGA-FB-A4P6-01A-12R-A26U-07	TCGA-FB-A545-01A-11R-A26U-07	TCGA-FB-A5VM-01A-11R-A32O-07	TCGA-FB-A78T-01A-12R-A32O-07	TCGA-FB-A7DR-01A-21R-A33R-07	TCGA-FB-AAPP-01A-12R-A41B-07	TCGA-FB-AAPQ-01A-11R-A41B-07	TCGA-FB-AAPS-01A-12R-A39D-07	TCGA-FB-AAPU-01A-31R-A41B-07	TCGA-FB-AAPY-01A-11R-A41B-07	TCGA-FB-AAPZ-01A-11R-A41B-07	TCGA-FB-AAQ0-01A-31R-A41B-07	TCGA-FB-AAQ1-01A-12R-A41B-07	TCGA-FB-AAQ2-01A-31R-A41B-07	TCGA-FB-AAQ3-01A-11R-A41B-07	TCGA-FB-AAQ6-01A-11R-A41B-07	TCGA-H6-8124-01A-11R-2404-07	TCGA-H6-A45N-01A-11R-A26U-07	TCGA-H8-A6C1-01A-11R-A32O-07	TCGA-HV-A5A3-01A-11R-A26U-07	TCGA-HV-A5A4-01A-11R-A26U-07	TCGA-HV-A5A5-01A-11R-A26U-07	TCGA-HV-A5A6-01A-11R-A26U-07	TCGA-HV-A7OL-01A-11R-A33R-07	TCGA-HV-A7OP-01A-11R-A33R-07	TCGA-HV-AA8V-01A-11R-A41B-07	TCGA-HV-AA8X-01A-11R-A39D-07	TCGA-HZ-7289-01A-11R-2156-07	TCGA-HZ-7918-01A-11R-2156-07	TCGA-HZ-7919-01A-11R-2156-07	TCGA-HZ-7920-01A-11R-2204-07	TCGA-HZ-7922-01A-11R-2156-07	TCGA-HZ-7923-01A-12R-2156-07	TCGA-HZ-7924-01A-11R-2156-07	TCGA-HZ-7925-01A-11R-2156-07	TCGA-HZ-7926-01A-11R-2156-07	TCGA-HZ-8001-01A-11R-2204-07	TCGA-HZ-8002-01A-11R-2204-07	TCGA-HZ-8003-01A-21R-2204-07	TCGA-HZ-8005-01A-11R-2204-07	TCGA-HZ-8315-01A-11R-2404-07	TCGA-HZ-8317-01A-11R-2404-07	TCGA-HZ-8519-01A-11R-2404-07	TCGA-HZ-8636-01A-21R-2404-07	TCGA-HZ-8637-01A-11R-2404-07	TCGA-HZ-8638-01A-11R-2404-07	TCGA-HZ-A49G-01A-11R-A26U-07	TCGA-HZ-A49H-01A-11R-A26U-07	TCGA-HZ-A49I-01A-12R-A26U-07	TCGA-HZ-A4BH-01A-11R-A26U-07	TCGA-HZ-A4BK-01A-11R-A26U-07	TCGA-HZ-A77O-01A-11R-A33R-07	TCGA-HZ-A77P-01A-11R-A33R-07	TCGA-HZ-A77Q-01A-11R-A36G-07	TCGA-HZ-A8P1-01A-11R-A37L-07	TCGA-HZ-A9TJ-01A-11R-A41I-07	TCGA-IB-7644-01A-11R-2156-07	TCGA-IB-7645-01A-22R-2204-07	TCGA-IB-7646-01A-11R-2156-07	TCGA-IB-7647-01A-11R-2156-07	TCGA-IB-7649-01A-11R-2156-07	TCGA-IB-7651-01A-11R-2156-07	TCGA-IB-7652-01A-11R-2156-07	TCGA-IB-7654-01A-11R-2156-07	TCGA-IB-7885-01A-11R-2156-07	TCGA-IB-7886-01A-11R-2156-07	TCGA-IB-7887-01A-11R-2156-07	TCGA-IB-7888-01A-11R-2156-07	TCGA-IB-7889-01A-11R-2156-07	TCGA-IB-7890-01A-12R-2204-07	TCGA-IB-7891-01A-11R-2204-07	TCGA-IB-7893-01A-11R-2204-07	TCGA-IB-7897-01A-21R-2204-07	TCGA-IB-8126-01A-11R-2404-07	TCGA-IB-8127-01A-11R-2404-07	TCGA-IB-A5SO-01A-11R-A32O-07	TCGA-IB-A5SP-01A-11R-A32O-07	TCGA-IB-A5SQ-01A-11R-A32O-07	TCGA-IB-A5SS-01A-11R-A32O-07	TCGA-IB-A5ST-01A-11R-A32O-07	TCGA-IB-A6UF-01A-23R-A33R-07	TCGA-IB-A6UG-01A-32R-A33R-07	TCGA-IB-A7LX-01A-12R-A36G-07	TCGA-IB-A7M4-01A-11R-A36G-07	TCGA-IB-AAUM-01A-11R-A37L-07	TCGA-IB-AAUN-01A-12R-A38C-07	TCGA-IB-AAUO-01A-12R-A38C-07	TCGA-IB-AAUP-01A-11R-A37L-07	TCGA-IB-AAUQ-01A-22R-A41I-07	TCGA-IB-AAUR-01A-21R-A38C-07	TCGA-IB-AAUS-01A-12R-A38C-07	TCGA-IB-AAUT-01A-11R-A37L-07	TCGA-IB-AAUU-01A-11R-A37L-07	TCGA-IB-AAUV-01A-11R-A38C-07	TCGA-IB-AAUW-01A-12R-A38C-07	TCGA-L1-A7W4-01A-12R-A36G-07	TCGA-LB-A7SX-01A-11R-A33R-07	TCGA-LB-A8F3-01A-11R-A36G-07	TCGA-LB-A9Q5-01A-11R-A39D-07	TCGA-M8-A5N4-01A-11R-A26U-07	TCGA-OE-A75W-01A-12R-A32O-07	TCGA-PZ-A5RE-01A-11R-A32O-07	TCGA-Q3-A5QY-01A-12R-A32O-07	TCGA-Q3-AA2A-01A-11R-A37L-07	TCGA-RB-A7B8-01A-12R-A33R-07	TCGA-RB-AA9M-01A-11R-A39D-07	TCGA-RL-AAAS-01A-32R-A39D-07	TCGA-S4-A8RM-01A-11R-A37L-07	TCGA-S4-A8RO-01A-12R-A37L-07	TCGA-S4-A8RP-01A-11R-A36G-07	TCGA-US-A774-01A-21R-A32O-07	TCGA-US-A776-01A-13R-A33R-07	TCGA-US-A779-01A-11R-A32O-07	TCGA-US-A77E-01A-11R-A32O-07	TCGA-US-A77G-01A-11R-A32O-07	TCGA-US-A77J-01A-11R-A32O-07	TCGA-XD-AAUG-01A-61R-A41B-07	TCGA-XD-AAUH-01A-42R-A41B-07	TCGA-XD-AAUI-01A-42R-A41B-07	TCGA-XD-AAUL-01A-21R-A39D-07	TCGA-XN-A8T3-01A-11R-A36G-07	TCGA-XN-A8T5-01A-12R-A36G-07	TCGA-YB-A89D-01A-12R-A36G-07	TCGA-YH-A8SY-01A-11R-A37L-07	TCGA-YY-A8LH-01A-11R-A36G-07	TCGA-Z5-AAPL-01A-12R-A41B-07
CYFIP1	8931	7765	4610	3499	3891	5850	5606	11334	11215	17837	7052	4503	5599	5897	5325	3448	1276	6007	9374	7185	9171	5022	2566	3937	7356	4931	7846	6439	11293	2003	3830	3246	2531	4937	3129	9808	2478	8137	4167	6604	6925	8659	11270	2940	16130	11024	7313	3361	13345	7686	3588	5148	3443	6608	8380	6825	3596	4063	4822	12246	5340	3939	4723	6123	8408	4184	3459	9421	4768	6997	2894	7513	6382	5270	4126	1662	7553	9165	3932	15176	11575	9050	12946	9533	17119	12924	11049	7938	10560	7119	11426	9898	7181	12703	12022	11536	13878	6995	4803	6535	6745	6471	8313	9573	6112	6786	6651	11066	12469	6796	19470	5977	17592	18557	16477	15132	12186	12001	6573	11950	8219	9949	10730	10051	4493	12681	9661	6921	8112	12704	6156	7464	6173	7648	3966	4845	7422	5878	6289	4618	5749	7861	6775	9901	9079	9500	12335	7025	5010	4509	5673	5257	9104	3513	4426	6844	9164	6267	11295	9108	9922	10387	3361	7007	7869	11149	4558	4427	4454	5028	9994	5801	4811	7546	6309	8508	3299
NCKAP1	7390	9080	6808	5236	4125	6056	8393	12400	11370	10324	9324	6082	4917	6411	8273	4446	904	13590	9695	13083	11751	4470	3394	4345	10617	5988	11556	8038	12627	6172	4352	4315	8583	13090	9283	12523	6402	9352	6695	9002	7421	15626	19043	3002	21062	16203	8451	3524	11585	10343	4236	6228	7378	4021	9573	12173	4733	6017	5024	7052	5074	6998	6984	7854	12063	4980	4353	12262	6045	8408	8225	7309	6778	8956	2791	1440	7463	16888	8620	16450	17101	19640	17239	12638	22997	17109	23275	7509	16433	9831	14444	15638	12066	24505	22642	14435	18024	7189	6040	6551	9971	9180	8427	13986	7400	8538	10216	19799	12796	14335	30735	7933	16021	20492	24011	15609	14874	14941	9869	9108	15380	14132	22168	19656	7052	26620	10181	8996	9752	15799	9090	10513	7302	13680	8523	5273	9508	7077	6902	5802	5355	6052	6482	12117	10364	12038	19621	11205	4591	4317	6929	4032	7250	3447	4748	6093	12181	5648	16363	9074	7133	10310	5394	7797	10435	10685	3277	6550	7362	8527	11280	8660	6401	9145	8021	9662	3286
RAC1	22108	26519	19100	11077	6897	10508	13356	23188	27899	31156	22467	10548	19064	11010	11902	10252	4540	29794	24050	18100	22445	20234	9537	11990	16652	15700	22101	18253	27521	11149	9418	11105	10584	13766	10167	20158	12632	17448	12097	15957	16953	21984	34295	3052	21368	19346	19290	5529	18498	18220	10295	9184	15938	18235	21772	17785	12494	12197	12122	26418	16537	17488	24084	22264	21659	16756	9568	25520	9903	16546	14351	15531	14172	35192	19529	21690	16369	19793	26610	14385	31037	18251	15957	17672	25682	26036	26459	21691	17031	10076	26294	22587	15215	25010	31974	24938	24635	12377	12252	14811	14491	13929	17719	16558	12748	14044	17586	40749	24168	30683	38597	12570	25580	37123	27647	33442	23804	27010	13202	39164	17955	17279	23196	16897	8477	38917	21480	24851	14823	29645	14762	24857	15548	21599	17379	7092	20385	18472	15224	15568	10595	14822	9686	25793	15395	14884	14781	19976	14729	7960	26548	30952	35863	9925	13856	16005	19561	14471	26990	15744	14717	14979	14609	19978	26201	25520	9561	9350	11201	18684	25262	12113	10111	19811	17128	38614	9824
SLC7A11	217	628	784	1125	134	298	1645	1487	622	372	458	245	280	1367	221	407	48	475	691	699	1656	319	572	83	549	313	790	472	1859	12	95	542	84	12	128	404	1254	303	965	951	1262	474	2161	419	243	442	1455	453	1547	2047	195	255	844	162	300	1192	2835	2043	274	563	334	1084	1606	772	1062	160	2466	1201	474	304	738	269	533	337	477	71	667	1084	3409	432	1489	356	1887	708	2919	472	3016	486	211	716	1184	345	1850	630	726	541	1669	262	379	402	408	336	227	426	804	981	1923	243	981	459	1646	525	6005	3110	2414	1486	3160	1985	984	1275	435	349	1755	640	369	1398	1078	536	455	746	154	745	612	750	789	225	1391	650	266	335	434	455	140	832	88	462	337	539	1210	756	929	579	1797	244	537	319	254	160	909	294	401	413	5194	312	933	1578	95	72	177	740	1753	82	967	557	808	3164	210
WASF2	6015	9573	9773	2819	2942	5166	7973	9482	5476	13484	6670	4375	9133	6331	9351	2923	1301	6543	8894	3535	7387	4994	3262	3099	8900	4629	7756	9869	11736	2304	4664	4826	3407	6213	4594	7181	4240	10153	4778	6692	5747	9390	11488	2688	17185	13155	5307	2440	6626	6588	4358	5545	6723	5935	7087	7406	4582	3317	5854	5379	5484	5944	4488	6499	6129	2166	1865	11786	4550	4672	5867	3045	4991	6964	2956	1213	8414	8169	7417	10556	10995	13382	16189	16655	15320	13549	12047	8152	12216	8148	14068	9377	6930	15451	14612	13621	11169	5698	5203	3829	7937	6953	4182	11034	5442	1916	6166	8946	10747	5803	18021	5263	17296	12266	12147	14387	7982	9147	9548	8255	7799	10114	11363	12742	5087	11863	9963	6090	7275	7151	13456	4958	7225	6372	5506	4720	5705	2910	11819	6567	9156	6594	6199	5484	12907	9979	10244	6971	3856	4009	5351	3366	5227	7382	2279	4400	6989	6528	3564	4079	5175	8185	5836	8047	7734	9547	6893	6899	7107	11026	10579	9389	6254	4888	5234	5436	5924
ACSL4	1910	6587	2768	1204	1552	2452	2413	5411	3721	2821	3743	1774	4262	3668	2725	1350	369	5351	2298	5314	2108	1246	4202	2562	2823	2069	4133	2766	4185	590	1857	1788	1198	2540	783	3035	3685	5381	5708	1754	3117	2538	5525	654	11221	11178	3408	1696	5131	4283	2157	2936	1809	1440	2937	4218	1565	2983	2411	4744	2103	2747	2210	4219	3368	3012	1504	7154	1956	2839	1817	2391	4982	2720	1087	562	4454	3176	2170	6419	5344	8328	6572	6895	6591	6190	7402	3412	7751	4308	3367	7063	4783	7660	6473	7458	6493	3434	2828	2119	4767	4325	2777	3866	6790	2009	4021	4557	8475	6212	10617	5511	9085	7766	2987	5080	6628	5678	3671	3300	4784	7016	9531	6795	3755	8382	3151	3370	2880	4223	2852	3748	4223	4901	3227	1759	2822	2161	3610	2325	5393	5727	3486	4895	5685	5793	3017	1581	3219	1556	3169	1150	2596	2393	2071	2272	4091	2322	4944	2715	2747	4908	1911	1382	3519	2729	1608	3398	3661	3414	3399	3862	3594	3806	2685	2682	3347
AIFM2	1073	1624	765	636	619	537	799	1555	1333	2931	1421	551	952	715	912	347	288	1268	1952	1029	1431	1341	482	1905	1119	1061	1159	1284	2135	872	739	527	426	2330	750	890	504	928	969	1491	1384	1788	2050	242	1345	1396	1178	498	1543	1302	843	728	572	1823	1329	1885	456	584	746	1340	1424	798	1808	1495	1041	822	618	1185	681	1393	457	1113	1077	1354	1133	2180	978	2257	644	1723	2275	1205	1177	1388	2409	1412	2027	1456	1672	678	1044	1446	832	1623	1446	2944	1445	693	795	622	1310	1058	1198	1115	975	801	891	2091	1160	800	2735	646	3421	1619	1351	1585	1447	1272	676	1278	597	1465	1230	1287	709	2209	1457	2792	1159	1478	1613	1336	1211	1260	1727	510	1280	1524	987	1108	815	1127	728	2768	1068	1048	1312	1811	1349	383	797	2324	1848	1162	728	769	1205	985	1574	1589	952	1377	560	1740	1075	1788	864	535	1468	1534	1242	962	1159	843	1135	2574	973
ALOX15	8	17	4	6	0	2	3	18	2	8	6	9	4	9	9	0	0	5	4	3	11	1	6	12	13	1	1	3	3	4	12	58	138	12	40	6	1	15	2	2	8	4	10	3	14	4	1	10	5	7	6	9	0	19	2	9	10	2	2	5	2	5	0	4	5	0	5	3	4	2	5	2	7	4	9	3	7	18	5	4	4	4	23	431	265	16	33	69	15	12	0	35	5	23	18	66	23	2	14	6	39	5	12	16	14	5	1	9	12	35	105	10	3	20	8	2	14	1	8	9	3	14	34	36	3	13	8	5	36	3	16	5	10	8	64	1	3	5	34	1	31	11	7	7	23	12	3	9	3	5	0	0	5	13	0	5	28	10	5	4	2	4	1	4	0	4	37	6	3	11	0	3	9	9	0	2	13
CISD1	621	876	892	552	385	588	480	1088	752	1558	1133	575	1144	607	969	373	523	1004	1202	910	1086	768	980	1050	1576	672	1559	973	1364	2175	826	838	2005	4084	1045	806	1006	1047	580	690	1348	1224	2119	240	1580	1390	807	504	1378	1004	551	439	446	1567	678	1284	563	490	804	961	962	524	642	748	905	969	612	812	454	908	502	508	683	936	1102	1465	839	1031	1147	1271	1186	1944	1163	1454	2080	1035	1343	1806	1322	836	855	1333	1087	2883	1125	1660	1751	635	989	785	1035	897	660	1659	809	589	506	1302	1031	1017	2865	785	1548	1332	1107	1225	1396	854	1245	1688	680	1211	1062	1498	821	1871	1177	1428	1263	1426	1039	914	802	826	1072	549	558	768	932	941	826	1059	764	1317	1601	980	975	957	1086	385	620	1165	1340	550	620	617	1055	1069	848	1222	646	740	882	808	889	924	785	670	919	810	1117	623	981	987	712	1263	703
FANCD2	341	614	662	168	126	424	332	870	541	1006	475	129	1179	349	260	139	79	1114	531	445	226	117	151	267	361	270	428	300	626	103	203	103	57	128	250	487	181	455	404	1023	343	630	822	42	371	404	445	141	690	439	334	203	465	1472	714	356	441	128	262	1119	301	286	514	558	1150	264	122	591	278	608	212	441	309	715	457	178	394	336	556	355	626	383	338	564	1176	481	685	331	482	379	475	440	426	456	529	1124	1064	432	303	351	609	313	512	415	273	303	507	414	286	335	726	223	462	663	226	511	408	306	234	439	344	318	772	458	212	516	464	348	257	606	439	392	524	637	910	176	777	820	1009	418	917	301	221	701	323	368	1291	416	218	159	366	559	417	615	358	315	419	226	673	863	469	379	894	295	516	649	522	136	359	526	512	619	318	252	253	411	1361
FTH1	5146	4827	4475	1267	3745	3100	7628	8768	7268	23633	2911	1710	8907	4506	4753	2074	1619	4298	7428	5707	5991	5228	2349	4077	5727	3744	8888	5069	4337	4709	2786	2816	1498	7031	2411	7640	913	4527	3240	9782	5750	4447	1765	2628	6397	1683	1181	944	7283	11962	937	891	563	7398	3574	8059	1340	5135	7765	4371	5475	2123	3920	8754	4033	2007	4707	3182	1330	2470	799	1373	1188	732	4955	921	6746	5018	2633	726	648	848	1605	2418	2666	2352	2237	1274	651	1042	6424	2666	2507	5671	4408	4996	2176	1283	967	1456	1205	1789	5359	7262	6095	1493	6616	3485	1040	914	797	481	4893	5639	2179	4096	1457	4113	971	549	1336	1095	1009	719	1431	5478	7696	4404	5796	7463	6377	11054	6010	7450	10615	3076	3489	6127	3547	8597	6879	11712	5551	5564	9929	5223	3657	4512	6042	4847	1350	7409	8744	4230	1769	7444	4093	5719	3456	3908	3005	5401	1634	3962	4641	3695	4154	4420	2418	6081	5888	3065	2910	5423	5512	7404	2472
FTL	85906	94949	236921	58256	47355	69332	123435	247147	178287	69564	121039	53574	322618	82553	118254	28204	48745	97400	84179	69539	123399	198649	82946	176392	125245	157257	211318	189579	97775	88511	69171	86635	63934	64198	49650	163028	44159	116232	70038	156255	194731	94162	197211	30122	203024	141758	146216	85469	130693	161404	106939	57430	47158	184472	202221	154465	25715	54052	160631	88005	273995	98287	71639	155853	88225	150311	53258	134356	76275	98091	72034	86604	131143	98420	251115	98341	163104	119452	78374	223869	123720	179124	132518	216893	136316	204361	104349	338771	149737	142590	179549	130124	65867	195233	159698	307151	105726	144436	124318	82275	99142	126920	105857	173473	185551	67416	324314	117177	262131	135659	216938	115523	266754	309475	151556	289180	212480	228193	124609	207434	103333	209501	186348	136875	68157	236522	238626	131628	183969	228529	188366	143933	72498	68526	144314	56865	54009	95357	139495	99476	117950	602602	163328	112731	377342	103393	83371	97725	82800	87520	132702	201845	356624	200481	150449	184622	70631	156412	60206	123971	89539	185822	38995	161480	104112	57834	151232	78906	112954	107111	180479	110771	70802	120082	136970	98814	92384
GCLC	1105	1339	726	670	600	968	839	2424	1192	929	1448	691	1352	1430	1767	480	325	1642	577	1048	1525	951	1941	1274	1910	1227	1164	898	1310	937	968	1346	3057	1630	1317	1097	4282	1824	996	2937	1261	2620	3522	688	2926	2619	887	458	2265	1579	1081	1325	732	1166	1169	1801	739	816	616	1065	1107	822	893	1888	2345	1051	769	1346	774	1203	494	988	1516	616	347	1099	926	2368	910	2287	1593	2663	1515	3502	5418	1149	4860	1287	2834	1303	2058	1445	2319	4139	1748	4303	5453	969	1227	926	1163	1172	649	2722	571	927	951	2792	2243	1234	4186	1199	3193	3738	2067	2738	1372	3479	1798	1362	782	1715	1306	2356	1227	2833	1129	731	1372	908	1488	1066	1230	1790	3073	843	1437	615	1858	1544	1051	1094	1172	966	2310	2422	1110	1238	541	862	879	912	579	1529	665	1141	1312	1384	1607	1248	855	1735	1406	657	1354	1835	1388	778	1221	1282	785	1658	1104	874	709	1182	1202
GCLM	607	1444	1272	364	494	634	452	1762	836	952	1215	384	1579	1116	345	671	167	636	910	1186	565	701	678	911	1803	1099	1005	495	1516	634	1431	933	4838	1513	1907	771	1741	1464	1162	1009	902	549	1682	389	2564	2638	563	324	1019	1141	649	1402	612	708	736	708	414	406	498	847	790	714	520	1814	2844	481	324	3960	796	1126	839	971	1649	925	240	96	882	1645	818	1671	1968	2695	1560	2977	3628	1280	6105	1420	2722	1333	743	1355	1539	3258	1937	2652	3654	912	1097	851	983	1186	537	1032	811	308	963	1132	1621	1280	3306	1411	2149	1804	1934	1469	1047	2883	1270	819	1185	1576	2068	2672	1180	2056	900	1087	1369	715	1033	1422	1051	711	524	717	636	695	950	1144	769	812	1083	1203	1663	2392	914	1285	381	472	539	244	652	730	459	969	1295	947	918	509	829	1229	758	809	1039	1182	678	784	1292	1050	1191	1865	981	884	851	619	764
GPX4	9525	7425	11150	3952	3098	6732	8530	9155	11809	22342	9688	4509	11504	6119	5395	3679	3158	7349	15221	9162	10935	13828	14886	11017	12518	10564	18116	10577	10788	22474	15455	18666	7099	18090	11479	10233	10518	8481	3418	7037	8613	9831	7287	2070	11318	7829	7733	4611	6328	8560	6839	3543	6394	29094	10234	10163	2818	4935	7916	6198	11794	8708	8950	12568	13998	13377	5241	6749	5267	6555	8905	6844	5048	11041	15255	23443	8389	7685	9446	6560	7119	7594	5919	9768	7565	9875	8743	16310	6094	3775	9574	7105	3496	14910	7602	12250	5897	7165	7209	12529	6422	10735	6957	8712	7319	5381	8052	9780	7038	5616	9109	4015	13018	12976	7766	10346	9713	16243	3833	11832	8627	6096	7434	6469	4108	13799	13113	10294	13429	11120	8532	11342	9762	12279	13891	4370	8988	15455	7646	5398	10259	11579	7535	7800	12487	8122	8086	6407	14568	4734	7488	26398	16332	12457	6486	9915	7328	13395	8234	7752	7631	6906	4155	15702	10594	4988	9619	5448	7798	7669	16790	6664	6322	9739	7824	12202	5802
GSS	2731	3570	3308	1178	1162	1678	1867	3671	3626	4317	4772	1776	4161	1933	1636	1243	922	3719	2806	2891	2979	2526	2411	2342	2661	2268	3851	2927	3469	2887	2184	1757	2804	2861	2631	2591	1296	2168	1727	3331	2752	3436	3929	615	3022	2646	2714	1088	1878	2325	1540	1802	1851	3416	4647	2454	4849	1836	1728	5280	3372	1770	2767	2807	3935	2225	1774	3135	1592	2122	2496	2624	2593	2607	3660	2444	2661	3384	5329	2373	3017	3195	2491	2885	5406	3260	3833	3585	2642	1457	3888	2838	2397	3762	2953	3859	4568	2399	1945	2680	2156	3371	3087	2729	1963	2826	2945	3139	2410	2792	4893	1519	3824	3214	2781	3492	3168	3651	1685	2833	2321	2268	2841	2223	1159	4289	3047	3720	2203	2913	2544	1425	1397	3460	2321	1227	2148	3230	2010	2085	2053	2263	1803	3645	2298	2738	5407	4498	2386	1162	2936	3545	4075	2020	2446	2516	2914	2678	3273	3999	2730	3177	4629	4458	3337	2889	2201	1448	1915	2693	2242	1855	1619	2867	2445	3289	2100
KEAP1	4084	2993	2373	1529	1706	2919	2772	4106	4168	5402	4012	1849	3398	2557	2453	1132	1215	3625	5627	4449	4228	4127	5006	3936	3831	3078	4889	2712	5243	5370	4390	4713	2344	7073	3995	3142	4201	3606	1082	3191	3913	5382	6526	1251	5270	4522	2896	1543	3811	3828	2574	2660	2832	6381	4761	4276	1962	1467	2227	3657	3526	2194	2588	3877	4378	2589	1677	3078	2136	3780	2506	3560	3413	2469	3784	3861	3285	6321	3806	4107	4465	4377	2575	4374	6602	4758	5115	5184	3843	2455	4566	3671	2706	7107	5969	5154	5876	2634	2752	3773	5014	4649	4287	5029	2700	2452	2449	6621	2870	2320	5871	2310	7064	6647	6720	4159	4008	6411	2550	4553	3239	3517	1661	3540	1996	6545	4526	5163	4350	6048	3534	2959	2687	3967	3986	2307	3338	4268	3675	3173	3184	3363	2731	3742	3744	4208	3229	3434	3677	1994	2641	3854	4879	2501	2167	3159	3663	4014	4068	3795	2750	4024	3787	4692	3712	4960	3046	2292	2604	3162	4232	2823	2860	3265	2054	5227	1918
LPCAT3	414	464	154	276	216	324	322	1112	782	1431	503	198	235	341	462	143	55	603	748	801	323	116	492	119	1501	546	846	197	369	169	443	321	562	1063	1449	499	508	583	480	330	408	619	1244	256	1357	779	428	182	1371	377	222	322	194	213	739	562	222	180	188	962	396	370	501	421	848	73	190	601	237	647	813	227	330	301	100	9	340	346	1927	1123	587	1098	799	691	3288	864	874	403	915	758	581	805	768	1230	617	1412	1063	538	435	233	445	458	810	759	290	425	682	2245	712	699	1383	521	1420	2188	1777	776	850	1480	829	363	439	962	497	802	514	1316	645	727	445	608	400	521	559	1223	552	459	364	493	529	204	419	445	414	740	532	800	669	499	270	361	393	143	729	212	266	251	494	305	939	756	392	821	760	587	553	969	173	295	496	356	603	431	310	420	703	831	410
NCOA4	9162	7244	5096	3918	3806	4061	4942	11319	8755	7393	8707	4547	5149	5765	7304	3002	1623	8713	7641	7970	7615	4164	3790	4028	19357	4874	8756	4755	10070	5018	4024	3901	9013	10915	5101	5457	4041	10163	4443	7163	7061	11897	16791	3128	22184	15971	6039	3282	11010	8489	5196	5908	2593	4948	7484	8345	2564	4594	4231	12809	6090	4434	4254	5644	7588	4462	3927	6151	4733	5800	4040	4807	6610	4482	3516	2084	6485	4771	4370	16588	12607	16550	10900	15172	31812	14455	18303	8637	15242	10460	8559	13745	9318	19027	14697	19047	19269	6706	8381	5485	8861	8862	5215	12680	5321	6175	5406	19611	12976	7450	25018	8500	22722	20645	17582	12028	14005	11974	10668	11020	9032	13161	11448	16259	7505	18490	9777	8959	8269	10836	9564	7086	6401	9127	5887	5041	6836	5973	10019	5521	7683	8032	5693	8131	12407	11821	5592	6476	4759	3659	5457	4586	8100	6881	3924	5665	10931	6002	10557	6943	6684	9543	4233	7395	6892	7817	5247	5828	7768	6015	7351	6620	6468	6406	4772	5829	6053
