sample_id	cluster	cuproptosis	disulfidptosis	ferroptosis
TCGA-2J-AAB1-01A-11R-A41B-07	C1	-0.387961967010101	0.0328681947839342	-0.153490915907537
TCGA-2J-AAB4-01A-12R-A41B-07	C1	0.370252659330933	0.43511488911949	0.317814166759389
TCGA-2J-AAB6-01A-11R-A41B-07	C1	-0.355107987263	-0.0559636951495148	-0.172727957756803
TCGA-2J-AAB8-01A-12R-A41B-07	C2	-1.47022155071779	-1.08406309455353	-1.16988733825857
TCGA-2J-AAB9-01A-11R-A41B-07	C2	-1.63142259528215	-1.6960735565312	-1.52329350486347
TCGA-2J-AABA-01A-21R-A41B-07	C2	-0.607455792518682	-0.722041942674578	-0.644972809913636
TCGA-2J-AABE-01A-12R-A41B-07	C2	-0.807586677445838	-0.0811581947195888	-0.338506093227974
TCGA-2J-AABF-01A-31R-A41B-07	C1	0.943947974863026	0.68927293060306	0.832518889686779
TCGA-2J-AABH-01A-21R-A41B-07	C1	0.061511799961356	0.472170058132418	0.288635498087433
TCGA-2J-AABI-01A-12R-A41B-07	C1	0.394903479927495	0.648066609593283	0.790966695085963
TCGA-2J-AABK-01A-31R-A41B-07	C1	0.64325250984856	0.251800411884724	0.30525234076725
TCGA-2J-AABO-01A-21R-A41B-07	C2	-1.21473543292953	-0.999272951319013	-1.12159242498444
TCGA-2J-AABP-01A-11R-A41B-07	C1	-0.151538156438714	-0.276048630881857	0.415213301033262
TCGA-2J-AABR-01A-11R-A41B-07	C2	-0.640107556783534	-0.33585922195907	-0.279624187780979
TCGA-2J-AABT-01A-11R-A41B-07	C3	-0.18205079431741	-0.549992985535576	-0.426204856567602
TCGA-2J-AABU-01A-11R-A41B-07	C2	-2.13401222373015	-1.56451460628897	-1.79435009028998
TCGA-2J-AABV-01A-12R-A41B-07	C2	-2.45074667486682	-3.19159304230558	-2.52392542008597
TCGA-2L-AAQA-01A-21R-A38C-07	C1	0.347984033803331	0.565045186688414	0.313480016329345
TCGA-2L-AAQE-01A-11R-A39D-07	C1	0.022637409542955	0.574782629108557	0.157228268896744
TCGA-2L-AAQI-01A-12R-A39D-07	C1	0.258204115518332	0.0467081139464849	0.136172355341593
