sample_id	cluster	subtype_label	MCD_overall_score	ferroptosis	cuproptosis	disulfidptosis
TCGA-2J-AAB1-01A-11R-A41B-07	C1	MCD-intermediate	-0.169528229377901	-0.153490915907537	-0.387961967010101	0.0328681947839342
TCGA-2J-AAB4-01A-12R-A41B-07	C1	MCD-intermediate	0.374393905069937	0.317814166759389	0.370252659330933	0.43511488911949
TCGA-2J-AAB6-01A-11R-A41B-07	C1	MCD-intermediate	-0.194599880056439	-0.172727957756803	-0.355107987263	-0.0559636951495148
TCGA-2J-AAB8-01A-12R-A41B-07	C2	MCD-low	-1.24139066117663	-1.16988733825857	-1.47022155071779	-1.08406309455353
TCGA-2J-AAB9-01A-11R-A41B-07	C2	MCD-low	-1.61692988555894	-1.52329350486347	-1.63142259528215	-1.6960735565312
TCGA-2J-AABA-01A-21R-A41B-07	C2	MCD-low	-0.658156848368965	-0.644972809913636	-0.607455792518682	-0.722041942674578
TCGA-2J-AABE-01A-12R-A41B-07	C2	MCD-low	-0.409083655131134	-0.338506093227974	-0.807586677445838	-0.0811581947195888
TCGA-2J-AABF-01A-31R-A41B-07	C1	MCD-intermediate	0.821913265050955	0.832518889686779	0.943947974863026	0.68927293060306
TCGA-2J-AABH-01A-21R-A41B-07	C1	MCD-intermediate	0.274105785393736	0.288635498087433	0.061511799961356	0.472170058132418
TCGA-2J-AABI-01A-12R-A41B-07	C1	MCD-intermediate	0.61131226153558	0.790966695085963	0.394903479927495	0.648066609593283
TCGA-2J-AABK-01A-31R-A41B-07	C1	MCD-intermediate	0.400101754166845	0.30525234076725	0.64325250984856	0.251800411884724
TCGA-2J-AABO-01A-21R-A41B-07	C2	MCD-low	-1.11186693641099	-1.12159242498444	-1.21473543292953	-0.999272951319013
TCGA-2J-AABP-01A-11R-A41B-07	C1	MCD-intermediate	-0.004124495429103	0.415213301033262	-0.151538156438714	-0.276048630881857
TCGA-2J-AABR-01A-11R-A41B-07	C2	MCD-low	-0.418530322174528	-0.279624187780979	-0.640107556783534	-0.33585922195907
TCGA-2J-AABT-01A-11R-A41B-07	C3	MCD-high	-0.386082878806863	-0.426204856567602	-0.18205079431741	-0.549992985535576
TCGA-2J-AABU-01A-11R-A41B-07	C2	MCD-low	-1.83095897343637	-1.79435009028998	-2.13401222373015	-1.56451460628897
TCGA-2J-AABV-01A-12R-A41B-07	C2	MCD-low	-2.72208837908612	-2.52392542008597	-2.45074667486682	-3.19159304230558
TCGA-2L-AAQA-01A-21R-A38C-07	C1	MCD-intermediate	0.408836412273697	0.313480016329345	0.347984033803331	0.565045186688414
TCGA-2L-AAQE-01A-11R-A39D-07	C1	MCD-intermediate	0.251549435849419	0.157228268896744	0.022637409542955	0.574782629108557
TCGA-2L-AAQI-01A-12R-A39D-07	C1	MCD-intermediate	0.14702819493547	0.136172355341593	0.258204115518332	0.0467081139464849
TCGA-2L-AAQJ-01A-12R-A39D-07	C1	MCD-intermediate	0.040965340971339	0.156903869080744	-0.541091234669306	0.507083388502579
TCGA-2L-AAQL-01A-11R-A38C-07	C1	MCD-intermediate	-0.685077453439981	-0.534180951485899	-1.068455459918	-0.452595948916044
TCGA-2L-AAQM-01A-11R-A39D-07	C2	MCD-low	-0.649454200321093	-0.348905780228217	-0.206101516851882	-1.39335530388318
TCGA-3A-A9I5-01A-11R-A38C-07	C1	MCD-intermediate	-0.579037823705918	-0.235189684978866	-0.307378736016367	-1.19454505012252
TCGA-3A-A9I7-01A-21R-A38C-07	C3	MCD-high	0.393299455936815	0.46589088265715	0.506913220064057	0.207094265089239
TCGA-3A-A9I9-01A-11R-A38C-07	C1	MCD-intermediate	-0.358849725476615	-0.263974746867556	-0.274931797578972	-0.537642631983318
TCGA-3A-A9IB-01A-21R-A39D-07	C1	MCD-intermediate	0.323473795296532	0.518317596412926	-0.0764023679784755	0.528506157455146
TCGA-3A-A9IC-01A-11R-A38C-07	C1	MCD-intermediate	-0.206363028106845	-0.196182238199552	-0.338007602828332	-0.0848992432926514
TCGA-3A-A9IH-01A-12R-A39D-07	C1	MCD-intermediate	0.854060356144174	0.560385603615619	0.920227745859903	1.081567718957
TCGA-3A-A9IJ-01A-11R-A39D-07	C1	MCD-intermediate	-0.730310550920533	-0.723929510968759	-0.0580811502367297	-1.40892099155611
TCGA-3A-A9IL-01A-11R-A38C-07	C2	MCD-low	-0.603532459142952	-0.43632146132938	-0.209249650439125	-1.16502626566035
TCGA-3A-A9IN-01A-11R-A39D-07	C2	MCD-low	-0.674092876181283	-0.403178013094804	-0.618851712151515	-1.00024890329753
TCGA-3A-A9IO-01A-11R-A38C-07	C2	MCD-low	-0.418382741089952	-0.565144160525155	0.395724946757959	-1.08572900950266
TCGA-3A-A9IR-01A-11R-A38C-07	C1	MCD-intermediate	0.1836285768071	0.177164423413461	0.703901443281007	-0.330180136273167
