signature	comparison	statistic	p_value	p_adj_BH
cuproptosis	C1 - C2	3.48185084898498	0.0004979609702822	0.0004979609702822
cuproptosis	C1 - C3	-5.40689142737714	6.41279894902377e-08	9.61919842353566e-08
cuproptosis	C2 - C3	-7.34720214649783	2.02398656938606e-13	6.07195970815819e-13
disulfidptosis	C1 - C2	5.07646681568539	3.84517916595366e-07	5.76776874893049e-07
disulfidptosis	C1 - C3	-3.88556184722105	0.000102093496685947	0.000102093496685947
disulfidptosis	C2 - C3	-7.58983105642376	3.20322857614946e-14	9.60968572844837e-14
ferroptosis	C1 - C2	4.65781042024707	3.19590307648209e-06	4.79385461472314e-06
ferroptosis	C1 - C3	-3.17347700895208	0.00150624830760773	0.00150624830760773
ferroptosis	C2 - C3	-6.6580116996815	2.77556686897241e-11	8.32670060691724e-11
