signature	statistic	df	p_value	p_adj_BH
cuproptosis	57.5594238349214	2	3.17051581228658e-13	4.75577371842987e-13
disulfidptosis	57.6064008787943	2	3.09691287807647e-13	4.75577371842987e-13
ferroptosis	44.4191574385935	2	2.26205164872202e-10	2.26205164872202e-10
