sample_id	aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore	subtype_label
TCGA-2J-AAB1-01A-11R-A41B-07	0.249399930477536	0	2.57839230120797e-18	0	0.0208244360308549	0	0.00852717122477327	0	0.012093801704316	0.0190604712540977	0.000420597750769219	0	0	0	0.047026387193219	0.0219183909138539	3.01690373642207e-20	0.0299906857909236	0.001602969844792	0.0107085781602177	0	0.0118727455455342	0.536658113029983	1.52172850826751e-21	0.0336343585779566	0.0081655711024038	0.00388548239726712	0.12917095563329	0.186774741972116	0.0868061836468847	2.5230852245539e-20	0.0191462780913678	0.0250636073695597	0.00497577241897609	0.00670343666770049	0.00159093093317772	0.00411106652178737	0	0.0017672864431824	0	0.00871449138012893	0	0.457583284461014	0	0	1.12536620722347e-18	0.000844441355341963	9.45234610379779e-20	5.00442066669576e-18	0.0497012518224506	0	0	0.027459916814745	3.48159619762822e-19	0.00239443878703121	1.58105685956748e-18	0	0.0392987744794353	1.37439207891844e-18	0	0	0.0400018193240412	0.00465590499778085	0.00710224745497107	0.0380970198966327	0.0168171792889783	0.054914199185611	MCD-intermediate
TCGA-2J-AAB4-01A-12R-A41B-07	0.129081835704182	0.00019726180175033	0.0207941217239636	0	0.0136860928015616	0	0.0022049169239651	4.19366616025095e-19	0.00430374113443209	3.25198189882327e-19	0	0	0	1.29211776156832e-18	0.0313736251312386	0.0544256991714559	0.0167680061848808	0.0156292922987116	2.52735479595612e-19	0.00370828505519351	4.79501517441629e-18	0.0193006318093393	0.499839157718167	0	0.0288893482299032	3.96773792113364e-19	0.00624154491894101	0.101981079461759	0.0555216296539989	0.0631473478066788	0	0.0174355285566044	0.0157605672588106	0.00620497809921512	0	0.000978175035764512	0.00500979697526577	0	0	0.0409243242557299	0.0107126593408288	0	0.322188495820948	7.47348397787218e-19	3.09865098469697e-18	0	0.00910812829714071	1.97679895199435e-18	0	0.0309614075773351	0	9.58282333683485e-21	0.0721570685579448	0.00340293045253867	1.92726146287915e-18	0	9.1567684657805e-19	0.0377924999353795	7.4305264421435e-18	0	0	0.00894831113328712	0.0120426025035367	0.0066784455452207	0.0341047365079773	0.0145433050158268	0.0486480415238041	MCD-intermediate
TCGA-2J-AAB6-01A-11R-A41B-07	0.141639474015494	0.00609976002113068	0.100726454316409	0	0.0161758660589838	3.69167798912186e-20	0	1.47710434730073e-18	0	3.84495475923807e-18	0.0058247161198799	0	7.72962202852927e-19	0	0.0100468185813093	0.0773624919880266	0.00417974473654583	0.033270622477357	0	0.000774092923456678	0	0	0.571018768700607	0	0.101518862890945	0	0	0.0983281001269087	0.0238781526285935	0.166202220241213	1.14142432290004e-19	0.0364039607752786	0.0319661803439853	0.00943988814524766	0.0121907253822765	0	0.000528402144714677	1.15862500048368e-17	0.0111112184086374	2.75320509342667e-18	0.0168530604203217	1.80545578762987e-18	0.22625848753675	8.65444393253076e-19	1.4232678295889e-20	0	0.00478634574691003	0.00212078390587666	0	0.0181178740645083	6.07101007016694e-19	0	0.152964930409369	0.0134841540552139	0	0	2.01428743249439e-19	0.0484180611647884	2.57669571059521e-20	0.0972969567366431	1.50218888706805e-18	0.0616189509467466	0.0985709647137466	2.15194146542135e-18	0.0455617489381401	0.0538093114560379	0.099371060394178	MCD-intermediate
TCGA-2J-AAB8-01A-12R-A41B-07	0.12380000133172	0.000401047862884613	0.135911860440185	0	5.44524371534411e-19	0	7.19453513000127e-20	0	0.00386257307231543	4.23666683242203e-19	0	0.0117396247976532	0	1.76697081303832e-18	0.0163086893536531	0.0801530657128798	0	0.0311264479924654	0	0.00857591713395131	6.4069853229677e-19	0	0.437978642009134	8.60322405378287e-20	0.181947122132378	2.61468710792715e-18	0	0.138363338485872	0.129620786046688	0.0582431459104254	1.89291864304505e-18	0.0117023250779356	0.00467170114340175	0.0143527158885016	0.00774257737549376	0.00276587194955246	0.00581212469504787	5.38316737004588e-19	0.0151682822431997	0.00308031108816889	0	5.74676715364479e-19	0.273858239286536	0	0.00536388621758693	4.00928525135709e-19	0.000162863016377281	0	3.49997505808228e-18	0.0295063519847902	1.01335211916115e-18	3.8728527247296e-18	0.137965422263474	0.00114951153131447	0	4.81422131850899e-18	0	0.0289018304150491	0	0.0499680743848793	9.70194730701518e-19	0.0310088535119074	0.0350422489211638	0.0023616983821982	0.0265069629233559	0.0911740849976315	0.117681047920987	MCD-low
TCGA-2J-AAB9-01A-11R-A41B-07	0.170593892954498	9.71286163295141e-20	0.0520525810468516	0	0	0	0.00646322166321038	1.6774657865911e-18	0	0	7.3387485412229e-20	1.99091834125286e-18	1.90948466191024e-18	1.1240498459979e-18	0.0170791865326981	0.0457747395900934	0	0.0204289605166711	6.40591438877305e-21	0.00150116645372091	0.027147653787959	0.00564599262912866	0.418154303135045	0	0.065933078763691	0.0147433642235503	0.00565406564979341	0.243181884314181	0.00187895067539634	0.0671386728304853	0.00674519944074897	0.0246939922130211	0.0254030801301683	0.018492570225716	0.00578557911416363	0.00176785041042064	0.00229195855332553	0	0	1.31407469343449e-20	0.00446046305805454	3.39989724520034e-18	0.52544321624018	0.020281301026027	0	0	0.00278656132142111	0	6.82514887446665e-18	0.0317642149346449	0	0	0.0643669744366555	0	2.82215386322854e-18	3.00782398036684e-20	0	0.0222351334474494	0	0	4.27052377492952e-18	0.0423429048732445	0.0029049807544843	0	0.0280581289787259	0.046540366275825	0.0745984952545509	MCD-low
TCGA-2J-AABA-01A-21R-A41B-07	0.0579090520861798	0.00273503833563197	0.0779256154453552	0	0.0271668215851482	0	0.0006264767060407	7.67331096162771e-21	0.00784408381852739	5.64045487122549e-18	1.86001553856256e-20	0.00378052384477053	0	1.98088682269899e-18	0.0089885312435743	0.131434904466125	0.00227171645138732	0.027249288328821	0.00651413287239974	0.002426173224287	0.0162344641171878	0.00656799459167171	0.402091544245889	3.34372286548057e-21	0.334430451955108	0.00373503306740032	0.00447110191268578	0.158243719609513	0.0357067964317894	0.0553898133259849	0.00429241800506962	0.000874842518152993	0.00746526315376575	0.00562557210636617	0.0139802222074205	0.00155732888018298	0.00744602239145749	0	0.00347346401844563	0.0425065417327125	0	1.56710025352434e-18	0.0645919881092283	0.00312455125694289	0.0067159740771668	6.66767483348596e-19	0.000244858120737881	0	2.01339220258889e-18	0.0384775501794146	1.49574853525007e-17	6.95960876014634e-19	0.115712109257533	0.00208223907105076	0	0.0428917588939853	1.19174080324932e-18	0.0201118050635262	0.00339669251841767	0.019356252057549	0	0.00317921069863765	0.0112711507785446	0.00512729688738543	0.0184198375908685	0.176699977203964	0.195119814794833	MCD-low
TCGA-2J-AABE-01A-12R-A41B-07	0.108256336345493	5.66131218419742e-19	0.073330692080111	2.33266647591847e-19	0.0238325358108867	2.68850858427778e-19	0	0	0.0149769208171984	0	8.78858004573906e-19	0	0	0	0.011215470872868	0.0512835366501604	0.0135353756433611	0.0118020308470422	0.000168326158419681	0.00933833515956177	0	0.00957373155537528	0.478778906991432	0	0.136234380338769	1.77235023939225e-18	0.00178141676350752	0.116775250613702	0.170737377151535	0.072534699910979	0	0.0268234058530308	0.0118940776412223	0.0237082604709844	0.00832052338925421	0.00305271070189195	0.00659914870997156	1.28889537874791e-17	3.54762054190443e-18	0.0225422842534011	0.0393019333017292	0	0.313163455696907	1.88321281323109e-20	0	1.67285576130484e-18	0.00107292761630034	0	3.01693238959862e-19	0.0423616857916119	5.39301576188149e-19	0	0.184636763910121	0	3.1730175740155e-18	0	0	0.0335316937395348	5.97746501773786e-18	0	0	0.0204279217565075	2.17699890067737e-19	0	0.0622386195059675	0.0681171901693846	0.130355809675352	MCD-low
TCGA-2J-AABF-01A-31R-A41B-07	0.248269298737488	0	0.010687978571678	0.0309238062038489	0.0126597180935984	0	0.0218955377702969	1.16386605105643e-18	0.00872981125754276	2.74549613171633e-18	0	0.00940574358338627	0	0	0.0329196984760535	0.0251731817971117	0.0483557931087996	0.0102243409516975	9.56734427246094e-19	0.0122527293725359	9.80820285434585e-19	0.00437566580453171	0.390167096970071	1.23000862249545e-18	0.0272828735877429	0.0083321543066615	0.00409127013132417	0.124777643072213	0.0961043932627421	0.0381003516420837	1.51988846111026e-19	0.057459865227117	0.0341926039142004	0.0320928727698773	0.0104203661199453	0.0037987095422264	0.00903016750468325	0.0116923135224635	5.63817145810535e-19	0.00333662586330637	0.0417501781252452	0	0.424975365208496	0	0	1.3802690172974e-18	0.00579846978301798	1.03211805255139e-22	0	0.0206078216846362	3.9502871283796e-18	0.0171098976505389	0.0581561363487321	7.67023239996649e-19	0.00112081425789525	6.0063481236423e-18	1.82773802209457e-18	0.0184807670306789	1.57277281836957e-18	0	3.74789332505848e-18	0.0314735718892417	0.0117391073206364	0	0.11105890295774	0.0136414367938715	0.124700339751612	MCD-intermediate
TCGA-2J-AABH-01A-21R-A41B-07	0.0943967549618682	0	4.74429202961554e-18	1.76132273943387e-19	0	1.01464570740165e-19	0.00227902363571025	0	0.0153102705927979	0.00237102433987966	0	3.2363366724732e-20	0	0	0.0184413998139404	0.00261610975201586	0.00814901121529487	0.0211581379358107	6.25157422990086e-20	0.00166708974290199	0	0.0236112179790052	0.524863833368576	4.63257979670186e-19	0	0	0	0.102491243324051	0.0310046739868492	0.077140114904953	0	0.0217702934051904	0.0139610388599467	0.018763086381605	0.00784508185381765	0.000639369912254862	0.00186110404291814	1.37136207043776e-18	4.49189433839585e-18	8.9507178418153e-18	0	5.05951228808159e-19	0.478596718466632	1.71272342796259e-18	1.84318707709205e-19	0	0.00431039532811774	0	5.30853074908964e-18	0.0432545383876907	5.88252389302258e-18	0	0.0451749211330337	1.9112159986489e-19	0	4.26669193355695e-18	1.90301300957982e-18	0.0301779582892282	5.27531236761792e-18	8.83009652151741e-20	5.77631402948173e-19	0.0551104240988206	1.81466612664578e-18	0	0.0365957886539435	0	0.0365957886539435	MCD-intermediate
TCGA-2J-AABI-01A-12R-A41B-07	0.187904159875254	0.000111038541614091	0.0596581565376395	0.097855084673634	0.0858738416767522	3.50308502533214e-19	0.0262691446647454	0	0.0448834586751806	9.48917128291414e-18	0.00121610053353224	8.70291952144392e-19	7.87249341578541e-19	5.7445694588521e-18	0.0161761401456761	3.04483269962888e-18	0.0330117019676872	0.056192053538196	0	0.00459401204387187	0	2.88540332312759e-18	0.422667274958922	1.03187371668294e-18	0.0877566844874197	7.88693403196166e-18	0	0.0960844972532799	0.108173260119757	0.112278250794413	2.5176427718536e-19	0.0140487363289199	0.016773072156318	0.00414079082245197	0.00753608406203888	2.25582137267005e-20	5.76340229354434e-05	0.0155808211571104	0.023325925416583	1.10407433282683e-17	0	5.15094267489847e-19	0.419102654132021	0	0	0.013302536645533	1.00558858546276e-20	1.48988338483512e-19	9.01169877391767e-18	0.0762464560350203	0	0	0.0410998623269847	0.00235002656805525	0	7.25221666735275e-18	0.00964878790999637	0.0515766849386607	8.31446497892841e-20	0.0175054188085297	0	0.0946464786966566	0.0443944405955926	0	0.0826892780723098	0.0439338615145169	0.126623139586827	MCD-intermediate
