sample_id	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	subtype_label
TCGA-HZ-A77Q-01A-11R-A36G-07	1633.33589234349	1325.64732397789	2958.98321632138	0.506796563242255	MCD-low
TCGA-HZ-A8P1-01A-11R-A37L-07	-515.754663303753	-500.30261008283	-1016.05727338658	0.897890779238949	MCD-intermediate
TCGA-HZ-A9TJ-01A-11R-A41I-07	-352.330571346363	-312.54055669833	-664.871128044693	0.874014785693602	MCD-intermediate
TCGA-IB-7644-01A-11R-2156-07	407.323248419826	38.6373272957598	445.960575715586	0.783542738590471	MCD-high
TCGA-IB-7645-01A-22R-2204-07	1661.79545246023	1444.92632188949	3106.72177434972	0.487983840382624	MCD-high
TCGA-IB-7646-01A-11R-2156-07	1212.66217355183	779.63193169379	1992.29410524562	0.623618823072356	MCD-high
TCGA-IB-7647-01A-11R-2156-07	948.065601850049	983.240968668472	1931.30657051852	0.630591979929499	MCD-high
TCGA-IB-7649-01A-11R-2156-07	1123.15656059768	1147.33835386478	2270.49491446246	0.591184606411987	MCD-high
TCGA-IB-7651-01A-11R-2156-07	1019.84997131907	877.696059604386	1897.54603092345	0.634430377280221	MCD-high
TCGA-IB-7652-01A-11R-2156-07	972.193975976753	799.266990777029	1771.46096675378	0.648627083530642	MCD-high
TCGA-IB-7654-01A-11R-2156-07	871.086036872426	-100.259082289003	770.826954583422	0.753033740980688	MCD-high
TCGA-IB-7885-01A-11R-2156-07	1178.39493493826	917.603452068526	2095.99838700679	0.611647099228138	MCD-high
TCGA-IB-7886-01A-11R-2156-07	933.050172346453	422.308156531295	1355.35832887775	0.693876306880121	MCD-high
TCGA-IB-7887-01A-11R-2156-07	621.365471508026	117.456700179992	738.822171688018	0.756116573186609	MCD-intermediate
TCGA-IB-7888-01A-11R-2156-07	1521.22150653121	1416.76271791488	2937.98422444608	0.509451389960011	MCD-high
TCGA-IB-7889-01A-11R-2156-07	675.764061057791	1163.69174468661	1839.45580574441	0.640998411366166	MCD-intermediate
TCGA-IB-7890-01A-12R-2204-07	1473.5212893242	327.238410781074	1800.75970010527	0.645347794114709	MCD-high
TCGA-IB-7891-01A-11R-2204-07	1300.82544959373	1100.06221795206	2400.88766754579	0.57564004336927	MCD-high
TCGA-IB-7893-01A-11R-2204-07	1683.49951799901	331.541172000676	2015.04068999968	0.621005210997091	MCD-high
TCGA-IB-7897-01A-21R-2204-07	1486.96496374834	1155.32074431243	2642.28570806077	0.546309908824058	MCD-high
TCGA-IB-8126-01A-11R-2404-07	1019.44178317689	1031.37357294202	2050.81535611892	0.61688066001122	MCD-high
TCGA-IB-8127-01A-11R-2404-07	772.189424209371	568.395083125892	1340.58450733526	0.695436288784643	MCD-high
TCGA-IB-A5SO-01A-11R-A32O-07	1279.97111518759	853.308883533424	2133.27999872101	0.60730849261819	MCD-intermediate
TCGA-IB-A5SP-01A-11R-A32O-07	-689.098894566475	-57.8034507401341	-746.902345306609	0.879802108910417	MCD-intermediate
TCGA-IB-A5SQ-01A-11R-A32O-07	1148.26413755947	653.907448319774	1802.17158587924	0.645189465466673	MCD-intermediate
TCGA-IB-A5SS-01A-11R-A32O-07	1118.4300524165	494.519446212827	1612.94949862933	0.666159068318539	MCD-intermediate
TCGA-IB-A5ST-01A-11R-A32O-07	1282.41328714362	1692.68938764977	2975.1026747934	0.504755370151934	MCD-intermediate
TCGA-IB-A6UF-01A-23R-A33R-07	-274.012504361392	-254.315649235745	-528.328153597136	0.864101045889318	MCD-intermediate
TCGA-IB-A6UG-01A-32R-A33R-07	-432.587668117787	-46.5850069925641	-479.172675110352	0.860446913177363	MCD-intermediate
TCGA-IB-A7LX-01A-12R-A36G-07	-422.193716010029	-490.479372155132	-912.673088165161	0.891107069654278	MCD-intermediate
TCGA-IB-A7M4-01A-11R-A36G-07	-204.996521633516	269.055764833102	64.0592431995859	0.817125034619257	MCD-intermediate
TCGA-IB-AAUM-01A-11R-A37L-07	167.781716169219	226.744464161931	394.526180331151	0.788211446411086	MCD-high
TCGA-IB-AAUN-01A-12R-A38C-07	164.072918546994	-53.3038690480508	110.769049498943	0.813153381853227	MCD-intermediate
TCGA-IB-AAUO-01A-12R-A38C-07	-202.205373419201	287.047656852917	84.8422834337161	0.815362621645455	MCD-intermediate
TCGA-IB-AAUP-01A-11R-A37L-07	1227.66000425832	1977.6732137001	3205.33321795842	0.475298603519648	MCD-low
TCGA-IB-AAUQ-01A-22R-A41I-07	666.005509991886	-37.5655968755314	628.439913116355	0.766620593124018	MCD-intermediate
TCGA-IB-AAUR-01A-21R-A38C-07	1242.96724226283	2226.01089474488	3468.97813700771	0.440901997244174	MCD-low
TCGA-IB-AAUS-01A-12R-A38C-07	1917.84967956753	1904.78961786753	3822.63929743505	0.393733836932582	MCD-intermediate
TCGA-IB-AAUT-01A-11R-A37L-07	944.723140024912	1118.80312935848	2063.52626938339	0.615411085200455	MCD-intermediate
TCGA-IB-AAUU-01A-11R-A37L-07	176.717614434628	440.680811644644	617.398426079272	0.767660277756751	MCD-intermediate
TCGA-IB-AAUV-01A-11R-A38C-07	1873.08989246768	1277.74513681859	3150.83502928626	0.48232165424346	MCD-intermediate
TCGA-IB-AAUW-01A-12R-A38C-07	558.195873246094	448.593685954749	1006.78955920084	0.729796400040208	MCD-high
TCGA-L1-A7W4-01A-12R-A36G-07	-114.412024745133	-676.075823950742	-790.487848695876	0.882825235164317	MCD-intermediate
TCGA-LB-A7SX-01A-11R-A33R-07	-771.833724173781	-313.771754637493	-1085.60547881127	0.902338043305446	MCD-intermediate
TCGA-LB-A8F3-01A-11R-A36G-07	-301.540923695765	-267.205955504704	-568.746879200469	0.867072007950227	MCD-intermediate
TCGA-LB-A9Q5-01A-11R-A39D-07	697.66327955148	779.934846271569	1477.59812582305	0.680844374187525	MCD-low
TCGA-M8-A5N4-01A-11R-A26U-07	632.157476764529	700.909620136395	1333.06709690092	0.696228804292025	MCD-intermediate
TCGA-OE-A75W-01A-12R-A32O-07	331.898930641838	575.319251559415	907.218182201253	0.739710482680192	MCD-intermediate
TCGA-PZ-A5RE-01A-11R-A32O-07	676.658657014817	792.452200418312	1469.11085743313	0.681756328362265	MCD-intermediate
TCGA-Q3-A5QY-01A-12R-A32O-07	1128.77706793317	2559.08863816244	3687.86570609561	0.41184080628102	MCD-low
TCGA-Q3-AA2A-01A-11R-A37L-07	-65.0792546963981	224.894642470572	159.815387774174	0.808941918108306	MCD-intermediate
TCGA-RB-A7B8-01A-12R-A33R-07	943.340155951515	604.034523962307	1547.37467991382	0.673306979720616	MCD-intermediate
TCGA-RB-AA9M-01A-11R-A39D-07	160.614873864313	-247.329956454512	-86.7150825901993	0.82968205664193	MCD-intermediate
TCGA-RL-AAAS-01A-32R-A39D-07	1102.28208443549	1263.59592830355	2365.87801273904	0.57983460969349	MCD-intermediate
TCGA-S4-A8RM-01A-11R-A37L-07	-472.104623690121	48.3689469396247	-423.735676750496	0.856272083354579	MCD-intermediate
TCGA-S4-A8RO-01A-12R-A37L-07	-89.9248592524897	155.989379037133	66.0645197846434	0.816955317308985	MCD-intermediate
TCGA-S4-A8RP-01A-11R-A36G-07	579.624063494615	304.897522546145	884.521586040759	0.741948289106335	MCD-intermediate
TCGA-US-A774-01A-21R-A32O-07	993.674249783146	653.513365881364	1647.18761566451	0.662402411775001	MCD-high
TCGA-US-A776-01A-13R-A33R-07	-1321.53435852	-918.601091626658	-2240.13545014666	0.962109200372499	MCD-intermediate
TCGA-US-A779-01A-11R-A32O-07	-1044.82703092713	-590.877207076143	-1635.70423800327	0.934164877726522	MCD-intermediate
TCGA-US-A77E-01A-11R-A32O-07	393.146957270142	-204.713772481225	188.433184788917	0.806465208758385	MCD-intermediate
TCGA-US-A77G-01A-11R-A32O-07	-1104.14823622333	-398.559946226246	-1502.70818244958	0.927020949261928	MCD-intermediate
TCGA-US-A77J-01A-11R-A32O-07	1080.20012317928	1955.27834108724	3035.47846426653	0.497085014357883	MCD-low
TCGA-XD-AAUG-01A-61R-A41B-07	1489.11508083389	279.350415567751	1768.46549640164	0.64896167951768	MCD-low
TCGA-XD-AAUH-01A-42R-A41B-07	928.494595013697	1129.12408941911	2057.6186844328	0.616094358612614	MCD-high
TCGA-XD-AAUI-01A-42R-A41B-07	355.869794021409	521.018851097018	876.888645118427	0.742699021616758	MCD-intermediate
TCGA-XD-AAUL-01A-21R-A39D-07	683.357333676891	456.936249098856	1140.29358277575	0.716259461773545	MCD-intermediate
TCGA-XN-A8T3-01A-11R-A36G-07	598.862708754795	211.374511079759	810.237219834554	0.749214756354232	MCD-high
TCGA-XN-A8T5-01A-12R-A36G-07	1057.55431939788	1290.68935577468	2348.24367517256	0.581941617459255	MCD-low
TCGA-YB-A89D-01A-12R-A36G-07	1212.59347292886	657.412073752845	1870.0055466817	0.637550051834898	MCD-intermediate
TCGA-YH-A8SY-01A-11R-A37L-07	1047.88897402649	166.177947082594	1214.06692110908	0.708660718296181	MCD-intermediate
TCGA-YY-A8LH-01A-11R-A36G-07	-1175.11437056933	-395.011767169309	-1570.12613773864	0.930686655144368	MCD-intermediate
TCGA-Z5-AAPL-01A-12R-A41B-07	480.445988195301	2538.72945654092	3019.17544473622	0.499160081204993	MCD-low
