gene_symbol	statistic	df	p_value	p_adj_BH
CD274	51.4269718875807	2	6.80416668374338e-12	6.12375001536904e-11
PDCD1LG2	47.8805382856329	2	4.00749709302661e-11	1.80337369186198e-10
HAVCR2	37.7138673165054	2	6.46454207744619e-09	1.93936262323386e-08
TIGIT	29.0699708966542	2	4.870079213808e-07	1.0957678231068e-06
SIGLEC15	22.4949656716309	2	1.30400804003283e-05	2.34721447205909e-05
IDO1	19.5874349957447	2	5.58010708515944e-05	7.42109007053595e-05
CTLA4	19.5198278741726	2	5.77195894375018e-05	7.42109007053595e-05
PDCD1	16.5053544848201	2	0.000260560040279001	0.000293130045313876
LAG3	11.4662103633243	2	0.00323701010714653	0.00323701010714653
