item	value
"bbj_outcome_id"	"bbj-a-140"
"n_genes_with_primary_instruments"	"8"
"n_genes_with_harmonised_data"	"8"
"n_genes_with_mr_keep_ge_3"	"2"
"recommended_next_action"	"Proceed to 44: run MR main analysis and sensitivity analyses"
