gene	raw_rows	eaf_joined_rows	reconstructable_rows	rows_after_basic_qc	complete_rows
CXCL10	1142	1142	1142	1142	1142
GBP4	1058	1058	1058	1058	1058
GPX4	813	813	813	813	813
IDO1	1299	1299	1299	1299	1299
IL15RA	376	376	376	376	376
SLC31A1	750	750	750	750	750
TGFBI	1531	1531	1531	1531	1531
TGFBR3	352	352	352	352	352
