gene	raw_rows	rows_after_basic_qc	complete_rows
CXCL10	1142	1142	0
GBP4	1058	1058	0
GPX4	813	813	0
IDO1	1299	1299	0
IL15RA	376	376	0
SLC31A1	750	750	0
TGFBI	1531	1531	0
TGFBR3	352	352	0
