gene	n_after_basic_qc	n_palindromic	n_ambiguous_palindromic	n_F_gt_10	median_F
"CXCL10"	1142	173	37	1142	100.656073885
"GBP4"	1058	138	14	1058	33.7549380200002
"GPX4"	813	107	15	813	79.9575756100001
"IDO1"	1299	169	16	1299	54.84439249
"IL15RA"	376	39	2	376	33.9436344200001
"SLC31A1"	750	99	18	750	88.536118645
"TGFBI"	1531	203	21	1531	40.51704409
"TGFBR3"	352	42	10	352	34.807054685
