gene	matched_in_preview
CXCL10	FALSE
GBP4	FALSE
GPX4	FALSE
IDO1	FALSE
IL15RA	FALSE
INHBA	FALSE
MET	FALSE
SLC31A1	FALSE
TGFBI	FALSE
TGFBR3	FALSE
