gene	n_qc_rows	n_after_remove_ambiguous_palindromic	n_strict_p_lt_5e8	n_relax_p_lt_1e5	n_strict_F_gt_10	n_relax_F_gt_10	best_p	min_F	median_F
"CXCL10"	1142	1105	944	1083	944	1083	1.1481e-119	18.2918736100001	100.30222801
"GBP4"	1058	1044	672	986	672	986	7.9441e-148	18.22265344	33.5860827250001
"GPX4"	813	798	679	772	679	772	1.9510292511938e-308	18.173169	79.337488825
"IDO1"	1299	1283	921	1222	921	1222	9.815e-228	18.1808432100001	55.1053828900002
"IL15RA"	376	374	227	338	227	338	1.9510292511938e-308	18.27648001	33.9436344200001
"SLC31A1"	750	732	601	716	601	716	6.4008e-219	18.24314944	86.9709824500003
"TGFBI"	1531	1510	952	1450	952	1450	1.9510292511938e-308	18.1996092100001	40.57180416
"TGFBR3"	352	342	230	322	230	322	9.9342e-33	18.39380544	34.807054685
