trait	uri	shortForm	trait_label_guess	trait_id_guess
"oral mucosa leukoplakia"	"http://purl.obolibrary.org/obo/MONDO_0004844"	"MONDO_0004844"	"oral mucosa leukoplakia"	"MONDO_0004844"
"senile cataract"	"http://purl.obolibrary.org/obo/MONDO_0004847"	"MONDO_0004847"	"senile cataract"	"MONDO_0004847"
"choroidal sclerosis"	"http://purl.obolibrary.org/obo/MONDO_0004885"	"MONDO_0004885"	"choroidal sclerosis"	"MONDO_0004885"
"familial visceral amyloidosis"	"http://purl.obolibrary.org/obo/MONDO_0007099"	"MONDO_0007099"	"familial visceral amyloidosis"	"MONDO_0007099"
"esophageal cancer"	"http://purl.obolibrary.org/obo/MONDO_0007576"	"MONDO_0007576"	"esophageal cancer"	"MONDO_0007576"
"keratoconus 1"	"http://purl.obolibrary.org/obo/MONDO_0007851"	"MONDO_0007851"	"keratoconus 1"	"MONDO_0007851"
"autosomal dominant optic atrophy, classic form"	"http://purl.obolibrary.org/obo/MONDO_0008134"	"MONDO_0008134"	"autosomal dominant optic atrophy, classic form"	"MONDO_0008134"
"ovarian cancer"	"http://purl.obolibrary.org/obo/MONDO_0008170"	"MONDO_0008170"	"ovarian cancer"	"MONDO_0008170"
"familial glucocorticoid deficiency"	"http://purl.obolibrary.org/obo/MONDO_0008733"	"MONDO_0008733"	"familial glucocorticoid deficiency"	"MONDO_0008733"
"familial lipoprotein lipase deficiency"	"http://purl.obolibrary.org/obo/MONDO_0009387"	"MONDO_0009387"	"familial lipoprotein lipase deficiency"	"MONDO_0009387"
"hypertrophic cardiomyopathy 25"	"http://purl.obolibrary.org/obo/MONDO_0011843"	"MONDO_0011843"	"hypertrophic cardiomyopathy 25"	"MONDO_0011843"
"Astroviridae infectious disease"	"http://www.ebi.ac.uk/efo/EFO_0007158"	"EFO_0007158"	"Astroviridae infectious disease"	"EFO_0007158"
"idiopathic aplastic anemia"	"http://purl.obolibrary.org/obo/MONDO_0012197"	"MONDO_0012197"	"idiopathic aplastic anemia"	"MONDO_0012197"
"diaphragmatic hernia 3"	"http://purl.obolibrary.org/obo/MONDO_0012431"	"MONDO_0012431"	"diaphragmatic hernia 3"	"MONDO_0012431"
"cataract 33"	"http://purl.obolibrary.org/obo/MONDO_0012665"	"MONDO_0012665"	"cataract 33"	"MONDO_0012665"
"thrombocytopenia 4"	"http://purl.obolibrary.org/obo/MONDO_0012775"	"MONDO_0012775"	"thrombocytopenia 4"	"MONDO_0012775"
"acute transverse myelitis"	"http://purl.obolibrary.org/obo/MONDO_0015342"	"MONDO_0015342"	"acute transverse myelitis"	"MONDO_0015342"
"inborn errors of metabolism"	"http://purl.obolibrary.org/obo/MONDO_0019052"	"MONDO_0019052"	"inborn errors of metabolism"	"MONDO_0019052"
"inherited retinal dystrophy"	"http://purl.obolibrary.org/obo/MONDO_0019118"	"MONDO_0019118"	"inherited retinal dystrophy"	"MONDO_0019118"
"inborn carbohydrate metabolic disorder"	"http://purl.obolibrary.org/obo/MONDO_0019214"	"MONDO_0019214"	"inborn carbohydrate metabolic disorder"	"MONDO_0019214"
"skin vascular disease"	"http://purl.obolibrary.org/obo/MONDO_0019293"	"MONDO_0019293"	"skin vascular disease"	"MONDO_0019293"
"demyelinating disease of central nervous system"	"http://purl.obolibrary.org/obo/MONDO_0020800"	"MONDO_0020800"	"demyelinating disease of central nervous system"	"MONDO_0020800"
"viral eye infection"	"http://purl.obolibrary.org/obo/MONDO_0020950"	"MONDO_0020950"	"viral eye infection"	"MONDO_0020950"
"vitamin deficiency disorder"	"http://purl.obolibrary.org/obo/MONDO_0024298"	"MONDO_0024298"	"vitamin deficiency disorder"	"MONDO_0024298"
"infectious otitis media"	"http://purl.obolibrary.org/obo/MONDO_0024330"	"MONDO_0024330"	"infectious otitis media"	"MONDO_0024330"
"disorder of visual system"	"http://purl.obolibrary.org/obo/MONDO_0024458"	"MONDO_0024458"	"disorder of visual system"	"MONDO_0024458"
"benign chondrogenic neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0024470"	"MONDO_0024470"	"benign chondrogenic neoplasm"	"MONDO_0024470"
"von Willebrand disease (hereditary or acquired)"	"http://purl.obolibrary.org/obo/MONDO_0024574"	"MONDO_0024574"	"von Willebrand disease (hereditary or acquired)"	"MONDO_0024574"
"inflammation of heart layer"	"http://purl.obolibrary.org/obo/MONDO_0024636"	"MONDO_0024636"	"inflammation of heart layer"	"MONDO_0024636"
"skull disorder"	"http://purl.obolibrary.org/obo/MONDO_0024654"	"MONDO_0024654"	"skull disorder"	"MONDO_0024654"
"tenosynovial giant cell tumor, diffuse type"	"http://purl.obolibrary.org/obo/MONDO_0024686"	"MONDO_0024686"	"tenosynovial giant cell tumor, diffuse type"	"MONDO_0024686"
"disorder of acid-base balance"	"http://purl.obolibrary.org/obo/MONDO_0041261"	"MONDO_0041261"	"disorder of acid-base balance"	"MONDO_0041261"
"rheumatic disease of mitral valve"	"http://purl.obolibrary.org/obo/MONDO_0042967"	"MONDO_0042967"	"rheumatic disease of mitral valve"	"MONDO_0042967"
"radiation injury"	"http://purl.obolibrary.org/obo/MONDO_0043458"	"MONDO_0043458"	"radiation injury"	"MONDO_0043458"
"benign soft tissue neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0044335"	"MONDO_0044335"	"benign soft tissue neoplasm"	"MONDO_0044335"
"major salivary gland cancer"	"http://purl.obolibrary.org/obo/MONDO_0044743"	"MONDO_0044743"	"major salivary gland cancer"	"MONDO_0044743"
"malignant renal pelvis neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0044919"	"MONDO_0044919"	"malignant renal pelvis neoplasm"	"MONDO_0044919"
"synovial bursa disorder"	"http://purl.obolibrary.org/obo/MONDO_0056802"	"MONDO_0056802"	"synovial bursa disorder"	"MONDO_0056802"
"carbon monoxide poisoning"	"http://purl.obolibrary.org/obo/MONDO_0800373"	"MONDO_0800373"	"carbon monoxide poisoning"	"MONDO_0800373"
"mosaic loss of chromosome X measurement"	"http://www.ebi.ac.uk/efo/EFO_0022842"	"EFO_0022842"	"mosaic loss of chromosome X measurement"	"EFO_0022842"
"Diarrhea, Infantile"	"http://www.ebi.ac.uk/efo/EFO_1001306"	"EFO_1001306"	"Diarrhea, Infantile"	"EFO_1001306"
"relapsing polychondritis"	"http://www.ebi.ac.uk/efo/EFO_1001148"	"EFO_1001148"	"relapsing polychondritis"	"EFO_1001148"
"Hyperplasia of the endometrium"	"http://purl.obolibrary.org/obo/HP_0040298"	"HP_0040298"	"Hyperplasia of the endometrium"	"HP_0040298"
"level of MHC class I polypeptide-related sequence A in blood"	"http://purl.obolibrary.org/obo/OBA_2051095"	"OBA_2051095"	"level of MHC class I polypeptide-related sequence A in blood"	"OBA_2051095"
"EBAG9/EDAR protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053197"	"OBA_2053197"	"EBAG9/EDAR protein level ratio in blood"	"OBA_2053197"
"EBAG9/FKBP5 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053198"	"OBA_2053198"	"EBAG9/FKBP5 protein level ratio in blood"	"OBA_2053198"
"PRTFDC1/TDRKH protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053199"	"OBA_2053199"	"PRTFDC1/TDRKH protein level ratio in blood"	"OBA_2053199"
"PRTFDC1/TST protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053200"	"OBA_2053200"	"PRTFDC1/TST protein level ratio in blood"	"OBA_2053200"
"PRTN3/RETN protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053201"	"OBA_2053201"	"PRTN3/RETN protein level ratio in blood"	"OBA_2053201"
"PSMD9/UBAC1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053202"	"OBA_2053202"	"PSMD9/UBAC1 protein level ratio in blood"	"OBA_2053202"
"PSME2/PSMG3 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053203"	"OBA_2053203"	"PSME2/PSMG3 protein level ratio in blood"	"OBA_2053203"
"PSME2/RBKS protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053204"	"OBA_2053204"	"PSME2/RBKS protein level ratio in blood"	"OBA_2053204"
"PSRC1/RAB37 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053205"	"OBA_2053205"	"PSRC1/RAB37 protein level ratio in blood"	"OBA_2053205"
"PSRC1/RABEPK protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053206"	"OBA_2053206"	"PSRC1/RABEPK protein level ratio in blood"	"OBA_2053206"
"PSRC1/SESTD1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053207"	"OBA_2053207"	"PSRC1/SESTD1 protein level ratio in blood"	"OBA_2053207"
"PSRC1/SMAD1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053208"	"OBA_2053208"	"PSRC1/SMAD1 protein level ratio in blood"	"OBA_2053208"
"PSRC1/SORT1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053209"	"OBA_2053209"	"PSRC1/SORT1 protein level ratio in blood"	"OBA_2053209"
"PTPN1/SCAMP3 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053210"	"OBA_2053210"	"PTPN1/SCAMP3 protein level ratio in blood"	"OBA_2053210"
"PTPN1/TBC1D23 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053211"	"OBA_2053211"	"PTPN1/TBC1D23 protein level ratio in blood"	"OBA_2053211"
"PTPN1/TDRKH protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053212"	"OBA_2053212"	"PTPN1/TDRKH protein level ratio in blood"	"OBA_2053212"
"PTPN1/WWP2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053213"	"OBA_2053213"	"PTPN1/WWP2 protein level ratio in blood"	"OBA_2053213"
"PTPN6/SNAP23 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053214"	"OBA_2053214"	"PTPN6/SNAP23 protein level ratio in blood"	"OBA_2053214"
"PTPN6/SULT1A1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053215"	"OBA_2053215"	"PTPN6/SULT1A1 protein level ratio in blood"	"OBA_2053215"
"PTPN6/TXNDC5 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053216"	"OBA_2053216"	"PTPN6/TXNDC5 protein level ratio in blood"	"OBA_2053216"
"PTPN6/YES1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053217"	"OBA_2053217"	"PTPN6/YES1 protein level ratio in blood"	"OBA_2053217"
"PTPRF/PTPRS protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053218"	"OBA_2053218"	"PTPRF/PTPRS protein level ratio in blood"	"OBA_2053218"
"PTPRF/SDC1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053219"	"OBA_2053219"	"PTPRF/SDC1 protein level ratio in blood"	"OBA_2053219"
"PTPRM/SELE protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053220"	"OBA_2053220"	"PTPRM/SELE protein level ratio in blood"	"OBA_2053220"
"PTPRN2/RTBDN protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053221"	"OBA_2053221"	"PTPRN2/RTBDN protein level ratio in blood"	"OBA_2053221"
"PPP1R9B/SCAMP3 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053460"	"OBA_2053460"	"PPP1R9B/SCAMP3 protein level ratio in blood"	"OBA_2053460"
