initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"642 European ancestry cases"	"FALSE"	"FALSE"	"2731086"	"TRUE"	"FALSE"	"GCST001749"	"FALSE"	"FALSE"	"Pancreatic cancer"	"363 Chinese ancestry cases"	"23180869"	"2012-11-24"	"Gut"	"Genome-wide association study of survival in patients with pancreatic adenocarcinoma."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST001749"	"Genome-wide association study of survival in patients with pancreatic adenocarcinoma."	"Wu C"	"23180869"	"Pancreatic cancer"	"642 European ancestry cases"	NA	"Genome-wide association study of survival in patients with pancreatic adenocarcinoma. | Pancreatic cancer | pancreatic carcinoma | Wu C | 642 European ancestry cases | "	8	2	0	1	11	TRUE
"1,582 European ancestry cases, 5,203 European ancestry controls"	"FALSE"	"FALSE"	"608202"	"FALSE"	"FALSE"	"GCST002553"	"FALSE"	"FALSE"	"Pancreatic cancer"	"6,101 European ancestry cases, 9,194 European ancestry controls"	"25086665"	"2014-08-03"	"Nat Genet"	"Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST002553"	"Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer."	"Wolpin BM"	"25086665"	"Pancreatic cancer"	"1,582 European ancestry cases, 5,203 European ancestry controls"	NA	"Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer. | Pancreatic cancer | pancreatic carcinoma | Wolpin BM | 1,582 European ancestry cases, 5,203 European ancestry controls | "	8	2	0	1	11	TRUE
"5,107 European ancestry cases, 8,845 European ancestry controls"	"FALSE"	"FALSE"	"9132527"	"TRUE"	"FALSE"	"GCST003758"	"FALSE"	"FALSE"	"Pancreatic cancer"	"6,076 cases, 7,555 controls "	"27579533"	"2016-08-01"	"Oncotarget"	"Three new pancreatic cancer susceptibility signals identified on chromosomes 1q32.1, 5p15.33 and 8q24.21."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST003758"	"Three new pancreatic cancer susceptibility signals identified on chromosomes 1q32.1, 5p15.33 and 8q24.21."	"Zhang M"	"27579533"	"Pancreatic cancer"	"5,107 European ancestry cases, 8,845 European ancestry controls"	NA	"Three new pancreatic cancer susceptibility signals identified on chromosomes 1q32.1, 5p15.33 and 8q24.21. | Pancreatic cancer | pancreatic carcinoma | Zhang M | 5,107 European ancestry cases, 8,845 European ancestry controls | "	8	2	0	1	11	TRUE
"868 European ancestry cases"	"FALSE"	"FALSE"	"7738399"	"TRUE"	"FALSE"	"GCST004485"	"FALSE"	"FALSE"	"Survival in pancreatic cancer"	"820 European ancestry cases"	"28470677"	"2017-05-03"	"Int J Cancer"	"Genetic polymorphisms associated with pancreatic cancer survival: a genome-wide association study."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST004485"	"Genetic polymorphisms associated with pancreatic cancer survival: a genome-wide association study."	"Tang H"	"28470677"	"Survival in pancreatic cancer"	"868 European ancestry cases"	NA	"Genetic polymorphisms associated with pancreatic cancer survival: a genome-wide association study. | Survival in pancreatic cancer | pancreatic carcinoma | Tang H | 868 European ancestry cases | "	8	2	0	1	11	TRUE
"663 European ancestry cases, 410,350 European ancestry controls"	"FALSE"	"FALSE"	"7846216"	"TRUE"	"FALSE"	"GCST90011815"	"TRUE"	"FALSE"	"Pancreatic cancer"	"NA"	"32887889"	"2020-09-04"	"Nat Commun"	"Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts."	NA	"UKB|GERA"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90011815"	"Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts."	"Rashkin SR"	"32887889"	"Pancreatic cancer"	"663 European ancestry cases, 410,350 European ancestry controls"	NA	"Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts. | Pancreatic cancer | pancreatic carcinoma | Rashkin SR | 663 European ancestry cases, 410,350 European ancestry controls | "	8	2	0	1	11	TRUE
"1,317 European ancestry cases, 700 European ancestry controls"	NA	"FALSE"	"317270"	"TRUE"	NA	"GCST90011857"	"TRUE"	NA	"Pancreatic cancer"	"NA"	"33517887"	"2021-02-01"	"Genome Med"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	NA	"PanGenEU"	"Oncoarray-500K"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90011857"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	"López de Maturana E"	"33517887"	"Pancreatic cancer"	"1,317 European ancestry cases, 700 European ancestry controls"	NA	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer. | Pancreatic cancer | pancreatic carcinoma | López de Maturana E | 1,317 European ancestry cases, 700 European ancestry controls | "	8	2	0	1	11	TRUE
"1,317 European ancestry cases, 1,616 European ancestry controls"	NA	"FALSE"	"315942"	"TRUE"	NA	"GCST90011858"	"TRUE"	NA	"Pancreatic cancer"	"9,040 cases, 12,496 controls"	"33517887"	"2021-02-01"	"Genome Med"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	NA	"PanGenEU|SpBCS|EPICURO"	"Oncoarray-500K | 1M Infinium array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90011858"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	"López de Maturana E"	"33517887"	"Pancreatic cancer"	"1,317 European ancestry cases, 1,616 European ancestry controls"	NA	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer. | Pancreatic cancer | pancreatic carcinoma | López de Maturana E | 1,317 European ancestry cases, 1,616 European ancestry controls | "	8	2	0	1	11	TRUE
"1,196 European ancestry cases, 475,049 European ancestry controls, 499 East Asian ancestry cases, 159,201 East Asian ancestry controls"	"FALSE"	"FALSE"	"25843042"	"TRUE"	"FALSE"	"GCST90018893"	"TRUE"	"FALSE"	"Pancreatic cancer"	"NA"	"34594039"	"2021-09-30"	"Nat Genet"	"A cross-population atlas of genetic associations for 220 human phenotypes."	NA	"BBJ|UKB|FinnGen"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90018893"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Sakaue S"	"34594039"	"Pancreatic cancer"	"1,196 European ancestry cases, 475,049 European ancestry controls, 499 East Asian ancestry cases, 159,201 East Asian ancestry controls"	NA	"A cross-population atlas of genetic associations for 220 human phenotypes. | Pancreatic cancer | pancreatic carcinoma | Sakaue S | 1,196 European ancestry cases, 475,049 European ancestry controls, 499 East Asian ancestry cases, 159,201 East Asian ancestry controls | "	8	2	0	1	11	TRUE
"587 European ancestry cases, 455,761 European ancestry controls"	"FALSE"	"FALSE"	"11842647"	"TRUE"	"FALSE"	"GCST90041814"	"TRUE"	"FALSE"	"Pancreatic cancer (PheCode 157)"	"NA"	"34737426"	"2021-11-04"	"Nat Genet"	"A generalized linear mixed model association tool for biobank-scale data. "	NA	"UKB"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90041814"	"A generalized linear mixed model association tool for biobank-scale data. "	"Jiang L"	"34737426"	"Pancreatic cancer (PheCode 157)"	"587 European ancestry cases, 455,761 European ancestry controls"	NA	"A generalized linear mixed model association tool for biobank-scale data.  | Pancreatic cancer (PheCode 157) | pancreatic carcinoma | Jiang L | 587 European ancestry cases, 455,761 European ancestry controls | "	8	2	0	1	11	TRUE
"8,769 European ancestry cases, 7,055 European ancestry controls"	"FALSE"	"FALSE"	"5056279"	"TRUE"	"FALSE"	"GCST90100588"	"FALSE"	"FALSE"	"Pancreatic cancer"	"70 Brazilian ancestry cases, 250 Brazilian ancestry controls, 3,212 European or unknown ancestry cases, 3,470 European or unknown ancestry controls"	"34926279"	"2021-12-03"	"Front Oncol"	"Identification of Recessively Inherited Genetic Variants Potentially Linked to Pancreatic Cancer Risk."	NA	"PanScan|Other"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90100588"	"Identification of Recessively Inherited Genetic Variants Potentially Linked to Pancreatic Cancer Risk."	"Lu Y"	"34926279"	"Pancreatic cancer"	"8,769 European ancestry cases, 7,055 European ancestry controls"	NA	"Identification of Recessively Inherited Genetic Variants Potentially Linked to Pancreatic Cancer Risk. | Pancreatic cancer | pancreatic carcinoma | Lu Y | 8,769 European ancestry cases, 7,055 European ancestry controls | "	8	2	0	1	11	TRUE
