initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"961 European ancestry cases, 386,943 European ancestry controls"	NA	"FALSE"	"510672"	"FALSE"	NA	"GCST90079586"	"TRUE"	NA	"ICD10 C25: Malignant neoplasm of pancreas"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90079586"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 C25: Malignant neoplasm of pancreas"	"961 European ancestry cases, 386,943 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 C25: Malignant neoplasm of pancreas | pancreatic carcinoma | Backman JD | 961 European ancestry cases, 386,943 European ancestry controls | "	4	4	0	1	9	TRUE
"682 European ancestry cases, 73,548 European ancestry controls"	NA	"FALSE"	"155857"	"FALSE"	NA	"GCST90083070"	"TRUE"	NA	"Malignant neoplasm of pancreas (UKB data field 40006) (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90083070"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"Malignant neoplasm of pancreas (UKB data field 40006) (Gene-based burden)"	"682 European ancestry cases, 73,548 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | Malignant neoplasm of pancreas (UKB data field 40006) (Gene-based burden) | pancreatic carcinoma | Backman JD | 682 European ancestry cases, 73,548 European ancestry controls | "	4	4	0	1	9	TRUE
"872 European ancestry cases, 387,058 European ancestry controls"	NA	"FALSE"	"185344"	"FALSE"	NA	"GCST90083571"	"TRUE"	NA	"ICD10 C25.9: Malignant neoplasm of pancreas, unspecified (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90083571"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 C25.9: Malignant neoplasm of pancreas, unspecified (Gene-based burden)"	"872 European ancestry cases, 387,058 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 C25.9: Malignant neoplasm of pancreas, unspecified (Gene-based burden) | pancreatic carcinoma | Backman JD | 872 European ancestry cases, 387,058 European ancestry controls | "	4	4	0	1	9	TRUE
"961 European ancestry cases, 386,943 European ancestry controls"	NA	"FALSE"	"185344"	"FALSE"	NA	"GCST90083572"	"TRUE"	NA	"ICD10 C25: Malignant neoplasm of pancreas (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST90083572"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 C25: Malignant neoplasm of pancreas (Gene-based burden)"	"961 European ancestry cases, 386,943 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 C25: Malignant neoplasm of pancreas (Gene-based burden) | pancreatic carcinoma | Backman JD | 961 European ancestry cases, 386,943 European ancestry controls | "	4	4	0	1	9	TRUE
"6,145 Korean ancestry individuals"	NA	"FALSE"	"6860342"	"TRUE"	NA	"GCST90104145"	"FALSE"	NA	"Intraductal papillary mucinous neoplasm of the pancreas"	"NA"	"35121771"	"2022-02-04"	"Sci Rep"	"Leveraging deep phenotyping from health check-up cohort with 10,000 Korean individuals for phenome-wide association study of 136 traits."	NA	"GENIE"	NA	"EFO_0003860"	"pancreatic neoplasm"	"GCST90104145"	"Leveraging deep phenotyping from health check-up cohort with 10,000 Korean individuals for phenome-wide association study of 136 traits."	"Choe EK"	"35121771"	"Intraductal papillary mucinous neoplasm of the pancreas"	"6,145 Korean ancestry individuals"	NA	"Leveraging deep phenotyping from health check-up cohort with 10,000 Korean individuals for phenome-wide association study of 136 traits. | Intraductal papillary mucinous neoplasm of the pancreas | pancreatic neoplasm | Choe EK | 6,145 Korean ancestry individuals | "	4	4	0	0	8	TRUE
"172 Chinese ancestry cases, 75,716 Chinese ancestry controls"	"FALSE"	"FALSE"	"7280425"	"TRUE"	"FALSE"	"GCST90246026"	"TRUE"	NA	"ICD10 C25: Malignant neoplasm of pancreas"	"NA"	"37601966"	"2023-07-20"	"Cell Genom"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	NA	"CKB"	"Axiom custom arrays"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90246026"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	"Walters RG"	"37601966"	"ICD10 C25: Malignant neoplasm of pancreas"	"172 Chinese ancestry cases, 75,716 Chinese ancestry controls"	NA	"Genotyping and population characteristics of the China Kadoorie Biobank.  | ICD10 C25: Malignant neoplasm of pancreas | pancreatic carcinoma | Walters RG | 172 Chinese ancestry cases, 75,716 Chinese ancestry controls | "	4	4	0	0	8	TRUE
"7,207 European ancestry cases, 7,062 European ancestry controls"	"FALSE"	"FALSE"	"7509345"	"TRUE"	"FALSE"	"GCST90026648"	"FALSE"	"FALSE"	"Pancreatic ductal adenocarcinoma"	"2,039 Japanese ancestry cases, 32,592 Japanese ancestry controls, 4,467 cases, 4,130 controls"	"34216462"	"2021-07-03"	"Carcinogenesis"	"Associations between pancreatic expression quantitative traits and risk of pancreatic ductal adenocarcinoma."	NA	"PANSCAN"	NA	"MONDO_0005184"	"pancreatic ductal adenocarcinoma"	"GCST90026648"	"Associations between pancreatic expression quantitative traits and risk of pancreatic ductal adenocarcinoma."	"Pistoni L"	"34216462"	"Pancreatic ductal adenocarcinoma"	"7,207 European ancestry cases, 7,062 European ancestry controls"	NA	"Associations between pancreatic expression quantitative traits and risk of pancreatic ductal adenocarcinoma. | Pancreatic ductal adenocarcinoma | pancreatic ductal adenocarcinoma | Pistoni L | 7,207 European ancestry cases, 7,062 European ancestry controls | "	4	2	0	1	7	TRUE
"29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls, 43,098 European ancestry cancer cases, 334,343 European ancestry controls"	"TRUE"	"FALSE"	NA	"TRUE"	"TRUE"	"GCST90308764"	"FALSE"	NA	"Cancer"	"31,712 East Asian ancestry cases, 38,088 East Asian ancestry controls"	"37340002"	"2023-06-20"	"Nat Commun"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	NA	"BBJ|UKB"	"Illumina HumanOmniExpressExome BeadChip & Applied Biosystems UK BiLEVE Axiom Array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90308764"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	"Sato G"	"37340002"	"Cancer"	"29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls, 43,098 European ancestry cancer cases, 334,343 European ancestry controls"	NA	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis. | Cancer | pancreatic carcinoma | Sato G | 29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls, 43,098 European ancestry cancer cases, 334,343 European ancestry controls | "	4	2	0	1	7	TRUE
"43,098 European ancestry cancer cases, 334,343 European ancestry controls"	"TRUE"	"FALSE"	NA	"TRUE"	"TRUE"	"GCST90651054"	"FALSE"	NA	"Cancer"	"NA"	"37340002"	"2023-06-20"	"Nat Commun"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	NA	"UKB"	"Illumina HumanOmniExpressExome BeadChip & Applied Biosystems UK BiLEVE Axiom Array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90651054"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	"Sato G"	"37340002"	"Cancer"	"43,098 European ancestry cancer cases, 334,343 European ancestry controls"	NA	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis. | Cancer | pancreatic carcinoma | Sato G | 43,098 European ancestry cancer cases, 334,343 European ancestry controls | "	4	2	0	1	7	TRUE
"29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls"	"TRUE"	"FALSE"	NA	"TRUE"	"TRUE"	"GCST90651069"	"FALSE"	NA	"Cancer"	"NA"	"37340002"	"2023-06-20"	"Nat Commun"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	NA	"BBJ"	"Illumina HumanOmniExpressExome BeadChip & Applied Biosystems UK BiLEVE Axiom Array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST90651069"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	"Sato G"	"37340002"	"Cancer"	"29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls"	NA	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis. | Cancer | pancreatic carcinoma | Sato G | 29,753 East Asian ancestry cancer cases, 150,462 East Asian ancestry controls | "	4	2	0	0	6	TRUE
"25,617 European ancestry individuals"	"FALSE"	"FALSE"	"9390170"	"TRUE"	"FALSE"	"GCST90016675"	"TRUE"	"FALSE"	"Pancreas fat"	"NA"	"34128465"	"2021-06-15"	"Elife"	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning."	NA	"UKB"	"Applied Biosystems UK BiLEVE Axiom Array| Applied Biosystems UK Biobank Axiom Array"	"OBA_2050196"	"pancreatic fat pad amount"	"GCST90016675"	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning."	"Liu Y"	"34128465"	"Pancreas fat"	"25,617 European ancestry individuals"	NA	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning. | Pancreas fat | pancreatic fat pad amount | Liu Y | 25,617 European ancestry individuals | "	0	4	0	1	5	TRUE
"144 African American individuals, 129 European ancestry individuals, 206 Japanese American individuals, 187 Latino individuals, 138 Native Hawaiian ancestry individuals"	NA	"FALSE"	"9542479"	"TRUE"	NA	"GCST90027067"	"FALSE"	NA	"Pancreas fat"	"NA"	"34329319"	"2021-07-30"	"PLoS One"	"Genome-wide association study of pancreatic fat: The Multiethnic Cohort Adiposity Phenotype Study."	NA	"MEC"	NA	"OBA_2050196"	"pancreatic fat pad amount"	"GCST90027067"	"Genome-wide association study of pancreatic fat: The Multiethnic Cohort Adiposity Phenotype Study."	"Streicher SA"	"34329319"	"Pancreas fat"	"144 African American individuals, 129 European ancestry individuals, 206 Japanese American individuals, 187 Latino individuals, 138 Native Hawaiian ancestry individuals"	NA	"Genome-wide association study of pancreatic fat: The Multiethnic Cohort Adiposity Phenotype Study. | Pancreas fat | pancreatic fat pad amount | Streicher SA | 144 African American individuals, 129 European ancestry individuals, 206 Japanese American individuals, 187 Latino individuals, 138 Native Hawaiian ancestry individuals | "	0	4	0	1	5	TRUE
"268 European ancestry cases, 456,080 European ancestry controls"	"FALSE"	"FALSE"	"11842647"	"TRUE"	"FALSE"	"GCST90044206"	"TRUE"	"FALSE"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"34737426"	"2021-11-04"	"Nat Genet"	"A generalized linear mixed model association tool for biobank-scale data. "	NA	"UKB"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90044206"	"A generalized linear mixed model association tool for biobank-scale data. "	"Jiang L"	"34737426"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"268 European ancestry cases, 456,080 European ancestry controls"	NA	"A generalized linear mixed model association tool for biobank-scale data.  | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Jiang L | 268 European ancestry cases, 456,080 European ancestry controls | "	0	4	0	1	5	TRUE
"1,620 European ancestry cases, 385,084 European ancestry controls"	NA	"FALSE"	"509624"	"FALSE"	NA	"GCST90079750"	"TRUE"	NA	"ICD10 E16: Other disorders of pancreatic internal secretion"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0009605"	"pancreas disease"	"GCST90079750"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 E16: Other disorders of pancreatic internal secretion"	"1,620 European ancestry cases, 385,084 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 E16: Other disorders of pancreatic internal secretion | pancreas disease | Backman JD | 1,620 European ancestry cases, 385,084 European ancestry controls | "	0	4	0	1	5	TRUE
"1,620 European ancestry cases, 385,084 European ancestry controls"	NA	"FALSE"	"185329"	"FALSE"	NA	"GCST90083736"	"TRUE"	NA	"ICD10 E16: Other disorders of pancreatic internal secretion (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90083736"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 E16: Other disorders of pancreatic internal secretion (Gene-based burden)"	"1,620 European ancestry cases, 385,084 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 E16: Other disorders of pancreatic internal secretion (Gene-based burden) | pancreas disease | Backman JD | 1,620 European ancestry cases, 385,084 European ancestry controls | "	0	4	0	1	5	TRUE
"4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls"	"FALSE"	"FALSE"	"102304434"	"FALSE"	"FALSE"	"GCST90473182"	"TRUE"	NA	"ICD10 E16: Other disorders of pancreatic internal secretion"	"NA"	"40770095"	"2025-08-06"	"Nature"	"Whole-genome sequencing of 490,640 UK Biobank participants."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90473182"	"Whole-genome sequencing of 490,640 UK Biobank participants."	"UK Biobank Whole-Genome Sequencing Consortium"	"40770095"	"ICD10 E16: Other disorders of pancreatic internal secretion"	"4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls"	NA	"Whole-genome sequencing of 490,640 UK Biobank participants. | ICD10 E16: Other disorders of pancreatic internal secretion | pancreas disease | UK Biobank Whole-Genome Sequencing Consortium | 4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls | "	0	4	0	1	5	TRUE
"2,703 European ancestry cases, 447,070 European ancestry controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478487"	"TRUE"	NA	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90478487"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"2,703 European ancestry cases, 447,070 European ancestry controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Verma A | 2,703 European ancestry cases, 447,070 European ancestry controls | "	0	4	0	1	5	TRUE
"729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls, 2,703 European ancestry cases, 447,070 European ancestry controls, 301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90480359"	"TRUE"	NA	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90480359"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls, 2,703 European ancestry cases, 447,070 European ancestry controls, 301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Verma A | 729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls, 2,703 European ancestry cases, 447,070 European ancestry controls, 301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls | "	0	4	0	1	5	TRUE
"294 European ancestry cases, 450,494 European ancestry controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90481587"	"FALSE"	NA	"Other disorders of pancreatic internal secretion (PheCode 251)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0009605"	"pancreas disease"	"GCST90481587"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Other disorders of pancreatic internal secretion (PheCode 251)"	"294 European ancestry cases, 450,494 European ancestry controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Other disorders of pancreatic internal secretion (PheCode 251) | pancreas disease | Verma A | 294 European ancestry cases, 450,494 European ancestry controls | "	0	4	0	1	5	TRUE
"4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls, 208 South Asian ancestry cases, 9,405 South Asian ancestry controls"	"FALSE"	"FALSE"	NA	"FALSE"	"FALSE"	"GCST90667895"	"FALSE"	NA	"ICD10 E16: Other disorders of pancreatic internal secretion"	"NA"	"40770095"	"2025-08-06"	"Nature"	"Whole-genome sequencing of 490,640 UK Biobank participants."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90667895"	"Whole-genome sequencing of 490,640 UK Biobank participants."	"UK Biobank Whole-Genome Sequencing Consortium"	"40770095"	"ICD10 E16: Other disorders of pancreatic internal secretion"	"4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls, 208 South Asian ancestry cases, 9,405 South Asian ancestry controls"	NA	"Whole-genome sequencing of 490,640 UK Biobank participants. | ICD10 E16: Other disorders of pancreatic internal secretion | pancreas disease | UK Biobank Whole-Genome Sequencing Consortium | 4,573 Non-Finnish European ancestry cases, 453,867 Non-Finnish European ancestry controls, 208 South Asian ancestry cases, 9,405 South Asian ancestry controls | "	0	4	0	1	5	TRUE
"943 British ancestry cases, 405,386 British ancestry controls"	"FALSE"	"FALSE"	"28000000"	"TRUE"	"FALSE"	"GCST90435715"	"TRUE"	NA	"Other disorders of pancreatic internal secretion (PheCode 251)"	"NA"	"30104761"	"2018-08-13"	"Nat Genet"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90435715"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	"Zhou W"	"30104761"	"Other disorders of pancreatic internal secretion (PheCode 251)"	"943 British ancestry cases, 405,386 British ancestry controls"	NA	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies. | Other disorders of pancreatic internal secretion (PheCode 251) | pancreas disease | Zhou W | 943 British ancestry cases, 405,386 British ancestry controls | "	0	4	0	0	4	TRUE
"364 British ancestry cases, 406,271 British ancestry controls"	"FALSE"	"FALSE"	"28000000"	"TRUE"	"FALSE"	"GCST90436397"	"TRUE"	NA	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"30104761"	"2018-08-13"	"Nat Genet"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	NA	"UKB"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90436397"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	"Zhou W"	"30104761"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"364 British ancestry cases, 406,271 British ancestry controls"	NA	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies. | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Zhou W | 364 British ancestry cases, 406,271 British ancestry controls | "	0	4	0	0	4	TRUE
"208 South Asian ancestry cases, 9,405 South Asian ancestry controls"	"FALSE"	"FALSE"	"21815311"	"FALSE"	"FALSE"	"GCST90473183"	"TRUE"	NA	"ICD10 E16: Other disorders of pancreatic internal secretion"	"NA"	"40770095"	"2025-08-06"	"Nature"	"Whole-genome sequencing of 490,640 UK Biobank participants."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90473183"	"Whole-genome sequencing of 490,640 UK Biobank participants."	"UK Biobank Whole-Genome Sequencing Consortium"	"40770095"	"ICD10 E16: Other disorders of pancreatic internal secretion"	"208 South Asian ancestry cases, 9,405 South Asian ancestry controls"	NA	"Whole-genome sequencing of 490,640 UK Biobank participants. | ICD10 E16: Other disorders of pancreatic internal secretion | pancreas disease | UK Biobank Whole-Genome Sequencing Consortium | 208 South Asian ancestry cases, 9,405 South Asian ancestry controls | "	0	4	0	0	4	TRUE
"729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478486"	"TRUE"	NA	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90478486"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Verma A | 729 African American or Afro-Caribbean cases, 120,822 African American or Afro-Caribbean controls | "	0	4	0	0	4	TRUE
"301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90482193"	"FALSE"	NA	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"HP_0005206"	"Pancreatic pseudocyst"	"GCST90482193"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Cyst and pseudocyst of pancreas (PheCode 577.3)"	"301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Cyst and pseudocyst of pancreas (PheCode 577.3) | Pancreatic pseudocyst | Verma A | 301 Hispanic or Latin American cases, 59,464 Hispanic or Latin American controls | "	0	4	0	0	4	TRUE
"37,589 British ancestry individuals"	"FALSE"	"FALSE"	"9788243"	"TRUE"	"FALSE"	"GCST90590319"	"TRUE"	NA	"Pancreas proton density fat fraction"	"NA"	"40922984"	"2025-08-31"	"J Obes"	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites."	NA	"UKB"	"UK Biobank array"	"OBA_2050196"	"pancreatic fat pad amount"	"GCST90590319"	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites."	"Ahmed A"	"40922984"	"Pancreas proton density fat fraction"	"37,589 British ancestry individuals"	NA	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites. | Pancreas proton density fat fraction | pancreatic fat pad amount | Ahmed A | 37,589 British ancestry individuals | "	0	4	0	0	4	TRUE
"19,269 British ancestry females"	NA	"FALSE"	"9788243"	"TRUE"	NA	"GCST90824085"	"FALSE"	NA	"Pancreas proton density fat fraction"	"NA"	"40922984"	"2025-08-31"	"J Obes"	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites."	NA	"UKB"	NA	"OBA_2050196"	"pancreatic fat pad amount"	"GCST90824085"	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites."	"Ahmed A"	"40922984"	"Pancreas proton density fat fraction"	"19,269 British ancestry females"	NA	"MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites. | Pancreas proton density fat fraction | pancreatic fat pad amount | Ahmed A | 19,269 British ancestry females | "	0	4	0	0	4	TRUE
"156 European ancestry cases, 4,542 European ancestry controls"	"FALSE"	"FALSE"	"613218"	"FALSE"	"FALSE"	"GCST003788"	"FALSE"	"FALSE"	"Pancreatic neuroendocrine tumor"	"NA"	"27492634"	"2016-08-01"	"Endocr Relat Cancer"	"Genetic associations with neuroendocrine tumor risk: results from a genome-wide association study."	NA	NA	NA	"EFO_1000045"	"pancreatic neuroendocrine tumor"	"GCST003788"	"Genetic associations with neuroendocrine tumor risk: results from a genome-wide association study."	"Du Y"	"27492634"	"Pancreatic neuroendocrine tumor"	"156 European ancestry cases, 4,542 European ancestry controls"	NA	"Genetic associations with neuroendocrine tumor risk: results from a genome-wide association study. | Pancreatic neuroendocrine tumor | pancreatic neuroendocrine tumor | Du Y | 156 European ancestry cases, 4,542 European ancestry controls | "	0	2	0	1	3	TRUE
"31,758 European ancestry individuals"	"FALSE"	"FALSE"	"9390170"	"TRUE"	"FALSE"	"GCST90016669"	"TRUE"	"FALSE"	"Pancreas volume"	"NA"	"34128465"	"2021-06-15"	"Elife"	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning."	NA	"UKB"	"Applied Biosystems UK BiLEVE Axiom Array| Applied Biosystems UK Biobank Axiom Array"	"OBA_2050006"	"pancreas volume"	"GCST90016669"	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning."	"Liu Y"	"34128465"	"Pancreas volume"	"31,758 European ancestry individuals"	NA	"Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning. | Pancreas volume | pancreas volume | Liu Y | 31,758 European ancestry individuals | "	0	2	0	1	3	TRUE
"242 European ancestry cases, 456,106 European ancestry controls"	"FALSE"	"FALSE"	"11842647"	"TRUE"	"FALSE"	"GCST90044207"	"TRUE"	"FALSE"	"Diseases of pancreas (PheCode 577)"	"NA"	"34737426"	"2021-11-04"	"Nat Genet"	"A generalized linear mixed model association tool for biobank-scale data. "	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90044207"	"A generalized linear mixed model association tool for biobank-scale data. "	"Jiang L"	"34737426"	"Diseases of pancreas (PheCode 577)"	"242 European ancestry cases, 456,106 European ancestry controls"	NA	"A generalized linear mixed model association tool for biobank-scale data.  | Diseases of pancreas (PheCode 577) | pancreas disease | Jiang L | 242 European ancestry cases, 456,106 European ancestry controls | "	0	2	0	1	3	TRUE
