item	value
"class"	"matrix"
"n_genes"	"23123"
"n_samples"	"168"
"min_value"	"0"
"q1_value"	"26"
"median_value"	"294"
"mean_value"	"2088.96143373241"
"q3_value"	"1542"
"max_value"	"6371207"
