full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710689_PDAC_TISSUE_1.tar.gz"	"GSM4710689_PDAC_TISSUE_1.tar.gz"	"gz"	18070340	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710690_PDAC_TISSUE_2.tar.gz"	"GSM4710690_PDAC_TISSUE_2.tar.gz"	"gz"	15937080	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710691_PDAC_TISSUE_3.tar.gz"	"GSM4710691_PDAC_TISSUE_3.tar.gz"	"gz"	27300512	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710692_PDAC_TISSUE_4.tar.gz"	"GSM4710692_PDAC_TISSUE_4.tar.gz"	"gz"	19878195	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710693_PDAC_TISSUE_5.tar.gz"	"GSM4710693_PDAC_TISSUE_5.tar.gz"	"gz"	17435084	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710694_PDAC_TISSUE_6.tar.gz"	"GSM4710694_PDAC_TISSUE_6.tar.gz"	"gz"	26689529	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710695_PDAC_TISSUE_7.tar.gz"	"GSM4710695_PDAC_TISSUE_7.tar.gz"	"gz"	74770198	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710696_PDAC_TISSUE_8.tar.gz"	"GSM4710696_PDAC_TISSUE_8.tar.gz"	"gz"	43991774	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710697_PDAC_TISSUE_9.tar.gz"	"GSM4710697_PDAC_TISSUE_9.tar.gz"	"gz"	22901391	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710698_PDAC_TISSUE_10.tar.gz"	"GSM4710698_PDAC_TISSUE_10.tar.gz"	"gz"	10329702	"NO"	"NO"	"NO"	"NO"	"NO"
