cluster_id	sample_name	n_cells	cluster_total	pct_in_cluster	dominance_flag
"0"	"GSM4710695_PDAC_TISSUE_7"	1169	4734	0.246937051119561	"ACCEPTABLE_OR_MIXED"
"1"	"GSM4710696_PDAC_TISSUE_8"	775	3072	0.252278645833333	"ACCEPTABLE_OR_MIXED"
"10"	"GSM4710704_PDAC_TISSUE_15"	281	1475	0.190508474576271	"ACCEPTABLE_OR_MIXED"
"11"	"GSM4710699_PDAC_TISSUE_11A"	382	1379	0.277012327773749	"ACCEPTABLE_OR_MIXED"
"12"	"GSM4710697_PDAC_TISSUE_9"	239	1268	0.188485804416404	"ACCEPTABLE_OR_MIXED"
"13"	"GSM4710695_PDAC_TISSUE_7"	388	1202	0.32279534109817	"ACCEPTABLE_OR_MIXED"
"14"	"GSM4710695_PDAC_TISSUE_7"	746	1056	0.706439393939394	"HIGH_SAMPLE_DOMINANCE"
"15"	"GSM4710694_PDAC_TISSUE_6"	414	1053	0.393162393162393	"ACCEPTABLE_OR_MIXED"
"16"	"GSM4710694_PDAC_TISSUE_6"	633	1037	0.610414657666345	"ACCEPTABLE_OR_MIXED"
"17"	"GSM4710691_PDAC_TISSUE_3"	511	1005	0.508457711442786	"ACCEPTABLE_OR_MIXED"
"18"	"GSM4710699_PDAC_TISSUE_11A"	467	794	0.58816120906801	"ACCEPTABLE_OR_MIXED"
"19"	"GSM4710705_PDAC_TISSUE_16"	780	788	0.989847715736041	"HIGH_SAMPLE_DOMINANCE"
"2"	"GSM4710695_PDAC_TISSUE_7"	1360	3063	0.444009141364675	"ACCEPTABLE_OR_MIXED"
"20"	"GSM4710695_PDAC_TISSUE_7"	610	738	0.826558265582656	"HIGH_SAMPLE_DOMINANCE"
"21"	"GSM4710689_PDAC_TISSUE_1"	199	723	0.275242047026279	"ACCEPTABLE_OR_MIXED"
"22"	"GSM4710695_PDAC_TISSUE_7"	214	593	0.360876897133221	"ACCEPTABLE_OR_MIXED"
"23"	"GSM4710699_PDAC_TISSUE_11A"	130	531	0.244821092278719	"ACCEPTABLE_OR_MIXED"
"24"	"GSM4710692_PDAC_TISSUE_4"	205	504	0.406746031746032	"ACCEPTABLE_OR_MIXED"
"25"	"GSM4710704_PDAC_TISSUE_15"	195	462	0.422077922077922	"ACCEPTABLE_OR_MIXED"
"26"	"GSM4710704_PDAC_TISSUE_15"	310	423	0.732860520094563	"HIGH_SAMPLE_DOMINANCE"
"27"	"GSM4710695_PDAC_TISSUE_7"	112	301	0.372093023255814	"ACCEPTABLE_OR_MIXED"
"28"	"GSM4710695_PDAC_TISSUE_7"	99	261	0.379310344827586	"ACCEPTABLE_OR_MIXED"
"29"	"GSM4710695_PDAC_TISSUE_7"	38	122	0.311475409836066	"ACCEPTABLE_OR_MIXED"
"3"	"GSM4710697_PDAC_TISSUE_9"	2415	2591	0.932072558857584	"HIGH_SAMPLE_DOMINANCE"
"30"	"GSM4710697_PDAC_TISSUE_9"	43	48	0.895833333333333	"HIGH_SAMPLE_DOMINANCE"
"31"	"GSM4710695_PDAC_TISSUE_7"	22	25	0.88	"HIGH_SAMPLE_DOMINANCE"
"4"	"GSM4710699_PDAC_TISSUE_11A"	1581	2509	0.630131526504584	"ACCEPTABLE_OR_MIXED"
"5"	"GSM4710702_PDAC_TISSUE_13"	2479	2496	0.993189102564103	"HIGH_SAMPLE_DOMINANCE"
"6"	"GSM4710700_PDAC_TISSUE_11B"	901	2352	0.383078231292517	"ACCEPTABLE_OR_MIXED"
"7"	"GSM4710702_PDAC_TISSUE_13"	858	1719	0.49912739965096	"ACCEPTABLE_OR_MIXED"
"8"	"GSM4710690_PDAC_TISSUE_2"	926	1628	0.568796068796069	"ACCEPTABLE_OR_MIXED"
"9"	"GSM4710695_PDAC_TISSUE_7"	1064	1555	0.684244372990354	"ACCEPTABLE_OR_MIXED"
