major_compartment	n_cells	pct
"B_plasma"	2370	0.0570988026116077
"T_NK"	9536	0.229744380465946
"acinar_like"	504	0.012142530175633
"epithelial"	2509	0.0604476353386176
"fibroblast"	531	0.0127930228636134
"myeloid"	13453	0.324114004866649
"unresolved"	12604	0.303659623677934
