rank	gene
1388	"NRN1"
1389	"SEMA3F"
1390	"IL20RB"
1391	"HIST1H2BJ"
1392	"PODNL1"
1393	"HIST1H2AL"
1394	"KAL1"
1395	"CHAC1"
1396	"PDCD1"
1397	"ITGAM"
1398	"IRF6"
1399	"LRP1"
1400	"FOXA3"
1401	"SOAT1"
1402	"GLA"
1403	"SLC6A20"
1404	"SCRG1"
1405	"CD300LF"
1406	"PAWR"
1407	"IFT172"
1408	"PDGFD"
1409	"HN1"
1410	"CD300A"
1411	"B3GNT7"
1412	"COTL1"
1413	"RCN1"
1414	"CSRP1"
1415	"MFSD4"
1416	"PTK2"
1417	"IL17RB"
1418	"DDIT4"
1419	"GAPT"
1420	"MIR4435-1HG"
1421	"FMNL2"
1422	"PID1"
1423	"SLC25A19"
1424	"FJX1"
1425	"OLFML2A"
1426	"BRCA2"
1427	"CDC42BPA"
1428	"BNC2"
1429	"EBF1"
1430	"MPP1"
1431	"VIL1"
1432	"AC006129.4"
1433	"FNBP1L"
1434	"LZTS1"
1435	"C6orf141"
1436	"CD40LG"
1437	"NR4A2"
1438	"QPCT"
1439	"NFIX"
1440	"HCAR3"
1441	"PTPRH"
1442	"ERN2"
1443	"MAOB"
1444	"SMIM5"
1445	"PPFIBP1"
1446	"DDAH1"
1447	"TJP3"
1448	"CECR1"
1449	"PDGFB"
1450	"GATA6"
1451	"TCEA3"
1452	"PON2"
1453	"SLC39A4"
1454	"SLC26A9"
1455	"DUSP6"
1456	"COBLL1"
1457	"IER3"
1458	"ASNS"
1459	"LPCAT4"
1460	"CASC15"
1461	"OLFM1"
1462	"TPM4"
1463	"MDFI"
1464	"DACT1"
1465	"CYB5A"
1466	"CLEC4E"
1467	"CNKSR3"
1468	"GPR82"
1469	"LTBP4"
1470	"TP53I3"
1471	"IRS1"
1472	"MEIS2"
1473	"HSD3B7"
1474	"CAPN5"
1475	"IMPA2"
1476	"MYOF"
1477	"RAB32"
1478	"LGR4"
1479	"LILRB1"
1480	"KCNJ5"
1481	"SESTD1"
1482	"ASPHD1"
1483	"PKP2"
1484	"EGR3"
1485	"SLC43A3"
1486	"RNF144B"
1487	"MARCKS"
1488	"PIF1"
1489	"EGR1"
1490	"SPATS2L"
1491	"TMEM97"
1492	"HRASLS2"
1493	"FBLN5"
1494	"MT-ND2"
1495	"CHCHD6"
1496	"DSTN"
1497	"TIE1"
1498	"CREG1"
1499	"MT-CO1"
1500	"TPBG"
1501	"SAPCD2"
1502	"CALU"
1503	"C1orf162"
1504	"DNAJB1"
1505	"SLC12A8"
1506	"ITPKA"
1507	"NRIP3"
1508	"DDX60"
1509	"PLBD1"
1510	"FZD4"
1511	"HSP90B1"
1512	"EPHB6"
1513	"FSIP2"
1514	"JAKMIP2"
1515	"BLVRB"
1516	"SEMA7A"
1517	"GRB10"
1518	"MTUS1"
1519	"RAB13"
1520	"MT-ND3"
1521	"LRMP"
1522	"LINC00035"
1523	"ZFAND2A"
1524	"CD3E"
1525	"ODC1"
1526	"PPA1"
1527	"SLC6A6"
1528	"HTRA4"
1529	"FAM83D"
1530	"LLGL2"
1531	"SYTL2"
1532	"PVRL2"
1533	"IL23A"
1534	"RAPGEF5"
1535	"GBP4"
1536	"MBOAT2"
1537	"HSPD1"
1538	"TUSC3"
1539	"LDB2"
1540	"SELL"
1541	"RRAS"
1542	"TXN"
1543	"EPSTI1"
1544	"WNT7B"
1545	"TMPRSS3"
1546	"VAT1"
1547	"C2orf88"
1548	"IGF2BP2"
1549	"TMEM106B"
1550	"SPAG4"
1551	"PARM1"
1552	"CMTM2"
1553	"TMBIM1"
1554	"CD72"
1555	"ITPR3"
1556	"SH3BGRL2"
1557	"SDF2L1"
1558	"SLC7A2"
1559	"HIST1H2BK"
1560	"ADAM9"
1561	"AL139099.1"
1562	"TDRD3"
1563	"CTA-29F11.1"
1564	"FLNA"
1565	"DHFR"
1566	"LBH"
1567	"FXYD1"
1568	"PROM2"
1569	"STXBP6"
1570	"MXD1"
1571	"DHDH"
1572	"SULT1B1"
1573	"TMTC1"
1574	"DFNA5"
1575	"LINC00926"
1576	"CNGA1"
1577	"SMPDL3A"
1578	"TCN2"
1579	"GNG12"
1580	"RAB34"
1581	"BCAR1"
1582	"RERG"
1583	"CAPS"
1584	"ARHGAP11B"
1585	"FEN1"
1586	"NR1D1"
1587	"SMARCA1"
1588	"APOL4"
1589	"COCH"
1590	"ADAM28"
1591	"LMTK3"
1592	"UPP1"
1593	"ABLIM1"
1594	"SNCA"
1595	"LEPR"
1596	"LYPD3"
1597	"PPP1R14B"
1598	"RACGAP1"
1599	"PSD"
1600	"CLIC4"
1601	"IFIH1"
1602	"SELENBP1"
1603	"CDC42EP1"
1604	"FUOM"
1605	"SDSL"
1606	"LIMS2"
1607	"CYP2C18"
1608	"MAL"
1609	"MCM5"
1610	"HSPA2"
1611	"HMGN2"
1612	"CTD-2314B22.3"
1613	"AVPI1"
1614	"ASB2"
1615	"ICOS"
1616	"UCP2"
1617	"EPS8L2"
1618	"GRASP"
1619	"CACNA2D3"
1620	"LINC00152"
1621	"CLTB"
1622	"KMO"
1623	"SNHG18"
1624	"PACSIN1"
1625	"MS4A8"
1626	"PF4"
1627	"ABCG1"
1628	"RDX"
1629	"MT-CO3"
1630	"CXCR6"
1631	"GNAI1"
1632	"VNN2"
1633	"CYP51A1"
1634	"MCM10"
1635	"CBS"
1636	"C6orf132"
1637	"GZMM"
1638	"JUN"
1639	"VSTM2L"
1640	"PTGS1"
1641	"TJP2"
1642	"C8orf47"
1643	"MST1R"
1644	"TFEC"
1645	"ACE"
1646	"PLSCR4"
1647	"ASGR1"
1648	"PROCR"
1649	"TACC3"
1650	"TSPAN33"
1651	"SOCS3"
1652	"ACTN1"
1653	"FAM84B"
1654	"EMR2"
1655	"CLEC4A"
1656	"NAV2"
1657	"SSC5D"
1658	"ACSL1"
1659	"CA8"
1660	"ANG"
1661	"FCGRT"
1662	"ARHGAP18"
1663	"SPDEF"
1664	"PDLIM5"
1665	"KIAA1598"
1666	"ABHD2"
1667	"PPP1R14C"
1668	"AOC3"
1669	"CITED2"
1670	"PALD1"
1671	"FAM134B"
1672	"DOCK4"
1673	"TLR4"
1674	"GK"
1675	"SAMSN1"
1676	"FOLR3"
1677	"TRIM31"
1678	"CD151"
1679	"GPX1"
1680	"IFITM1"
1681	"RPPH1"
1682	"BAG3"
1683	"AHR"
1684	"PLEC"
1685	"SLC7A5"
1686	"GAPDH"
1687	"MANF"
1688	"AC017002.1"
1689	"GLRX"
1690	"KLF4"
1691	"RAB20"
1692	"NDFIP2"
1693	"TNFAIP8L1"
1694	"KLRG1"
1695	"H2AFZ"
1696	"GSTP1"
1697	"PTPRCAP"
1698	"MXD3"
1699	"SLCO4A1"
1700	"PHLDB2"
1701	"LYPD6B"
1702	"APP"
1703	"FDPS"
1704	"SMIM6"
1705	"IFITM10"
1706	"CEBPD"
1707	"ACP2"
1708	"ADAMTS6"
1709	"ITGB1"
1710	"B3GNT3"
1711	"RASIP1"
1712	"CYP2S1"
1713	"CTSH"
1714	"FAM46A"
1715	"FAM83H"
1716	"LAP3"
1717	"NEB"
1718	"CLEC3B"
1719	"PPT1"
1720	"MEGF6"
1721	"LAPTM5"
1722	"KCNJ15"
1723	"CD40"
1724	"HIST1H2BC"
1725	"RBFOX2"
1726	"SOX7"
1727	"RGL1"
1728	"TNFSF15"
1729	"FGF18"
1730	"LRRK2"
1731	"RARRES3"
1732	"RAB11FIP1"
1733	"PTTG1IP"
1734	"TYMP"
1735	"SPOCK2"
1736	"SUSD1"
1737	"VTRNA2-1"
1738	"BAMBI"
1739	"CRELD2"
1740	"TRIM16"
1741	"ACY3"
1742	"RNF130"
1743	"USP53"
1744	"ATP8B1"
1745	"HSP90AA1"
1746	"FGD2"
1747	"EPB41L3"
1748	"GOLIM4"
1749	"KANK3"
1750	"MTHFD2"
1751	"SCCPDH"
1752	"SLC38A5"
1753	"METTL7B"
1754	"CRTAM"
1755	"CORO1A"
1756	"DNASE2"
1757	"MT-ND4"
1758	"TRIM47"
1759	"PTPRG"
1760	"CSF3R"
1761	"RUNX2"
1762	"SIRPA"
1763	"KNSTRN"
1764	"ALDH1L2"
1765	"CDC6"
1766	"RP11-701P16.2"
1767	"SSFA2"
1768	"WFDC3"
1769	"AARS"
1770	"DUT"
1771	"BATF"
1772	"NME1"
1773	"PRR15"
1774	"RAB30"
1775	"LIFR"
1776	"RNASET2"
1777	"SLC1A5"
1778	"TMEM70"
1779	"HCAR2"
1780	"SLC29A1"
1781	"AP1B1"
1782	"CD2AP"
1783	"NRGN"
1784	"CALR"
1785	"NCAPD2"
1786	"TMEM91"
1787	"GUCY1B3"
1788	"MGAT4B"
1789	"RP11-465B22.8"
1790	"FAM84A"
1791	"CLCF1"
1792	"DRAM1"
1793	"PRDX1"
1794	"TNFSF9"
1795	"FAM20A"
1796	"ABCG2"
1797	"PIK3R3"
1798	"CRYM"
1799	"CHMP4C"
1800	"LRRC25"
1801	"CASC8"
1802	"GSTO1"
1803	"CD22"
1804	"CARHSP1"
1805	"CLDN15"
1806	"LDHB"
1807	"S100A11"
1808	"ARRDC4"
1809	"FBXO2"
1810	"TGFBR3"
1811	"RHOC"
1812	"ADAMTSL2"
1813	"SLC22A3"
1814	"KRT15"
1815	"KIF18A"
1816	"PSTPIP2"
1817	"CXCR2"
1818	"ZMIZ1-AS1"
1819	"WBSCR27"
1820	"FZD1"
1821	"S1PR3"
1822	"LAMP1"
1823	"APOBEC3G"
1824	"ARHGAP23"
1825	"GALNT12"
1826	"CYP46A1"
1827	"GJB4"
1828	"GPC4"
1829	"NAAA"
1830	"PTGFRN"
1831	"USP18"
1832	"TRAF4"
1833	"MYBL1"
1834	"SLC9A2"
1835	"ADCY3"
1836	"FOXA2"
1837	"KIAA0930"
1838	"CCDC34"
1839	"PPP1R9A"
1840	"SECTM1"
1841	"CTSV"
1842	"SAV1"
1843	"MICAL2"
1844	"FKBP7"
1845	"FRMD4A"
1846	"AK1"
1847	"TUFT1"
1848	"SVIL"
1849	"MYO5B"
1850	"SRCAP"
1851	"GALE"
1852	"IFI44"
1853	"MLLT4"
1854	"PKIG"
1855	"POLQ"
1856	"CCNE2"
1857	"FXYD6"
1858	"LINC00675"
1859	"RGS10"
1860	"IL18BP"
1861	"QSOX1"
1862	"HID1"
1863	"HIST1H2AH"
1864	"PLA2G15"
1865	"MCOLN1"
1866	"GALM"
1867	"MATN2"
1868	"NFIA"
1869	"SULF2"
1870	"TPST1"
1871	"EVA1B"
1872	"OVOL1"
1873	"TMEM92"
1874	"ANGPT1"
1875	"NFE2L3"
1876	"NPC1"
1877	"PYCARD"
1878	"RNF152"
1879	"NINJ1"
1880	"FYB"
1881	"DMD"
1882	"STOM"
1883	"GFPT2"
1884	"PDE5A"
1885	"SLC38A6"
1886	"RAPGEFL1"
1887	"SORBS1"
1888	"FADS1"
1889	"HKDC1"
1890	"KCNJ2"
1891	"PYGB"
1892	"PRCP"
1893	"CD96"
1894	"LPCAT2"
1895	"MAST4"
1896	"CHML"
1897	"SLC2A6"
1898	"OAS2"
1899	"ABL2"
1900	"LEF1"
1901	"PCLO"
1902	"PRR24"
1903	"RNF103"
1904	"HYAL2"
1905	"CD63"
1906	"HCST"
1907	"ALDH3A1"
1908	"ERP27"
1909	"OSMR"
1910	"PTCH1"
1911	"NFKBIA"
1912	"SLA"
1913	"CFB"
1914	"C9orf169"
1915	"MAP1LC3A"
1916	"LOXL4"
1917	"SSR4"
1918	"PPP1R13L"
1919	"AVIL"
1920	"COX6B2"
1921	"SQSTM1"
1922	"CXCR3"
1923	"LSP1"
1924	"ARHGEF39"
1925	"ARF4"
1926	"CREB5"
1927	"ANKRD10"
1928	"TNFRSF1B"
1929	"ARL4C"
1930	"MBNL2"
1931	"DTYMK"
1932	"NRCAM"
1933	"HDLBP"
1934	"SEMA6B"
1935	"HOXB6"
1936	"RIOK3"
1937	"PSD3"
1938	"MGST3"
1939	"COL9A3"
1940	"KITLG"
1941	"EPB41L4A-AS1"
1942	"SNAPC1"
1943	"ICA1"
1944	"SLC16A6"
1945	"ITPKC"
1946	"HIST1H4H"
1947	"FCHO2"
1948	"HNMT"
1949	"SLC39A8"
1950	"CKAP4"
1951	"CIR1"
1952	"TMEM125"
1953	"TLR10"
1954	"MAFK"
1955	"TMEM139"
1956	"VCL"
1957	"KCNE3"
1958	"SCARB2"
1959	"SH3RF1"
1960	"GPSM2"
1961	"SPRY4"
1962	"GLIS3"
1963	"CTNND1"
1964	"IER5"
1965	"HYOU1"
1966	"ALOX5"
1967	"GNB4"
1968	"CCNF"
1969	"CBLC"
1970	"ATP13A3"
1971	"FLNC"
1972	"CLIC2"
1973	"CTSA"
1974	"MITF"
1975	"SLC26A2"
1976	"SRGAP1"
1977	"PFN2"
1978	"TMEM132A"
1979	"NOS3"
1980	"LEPREL1"
1981	"PRICKLE1"
1982	"TNFAIP3"
1983	"ADAM15"
1984	"ME1"
1985	"PTPN7"
1986	"WEE1"
1987	"TOX2"
1988	"EVL"
1989	"F11R"
1990	"SEPT10"
1991	"GPR137B"
1992	"RALGPS2"
1993	"SNX9"
1994	"NAPRT1"
1995	"HEXA"
1996	"SYT13"
1997	"RMDN3"
1998	"APLP2"
1999	"COBL"
2000	"NUDT4"
