rank	gene
332	"ANXA10"
333	"GPRC5A"
334	"TNFRSF17"
335	"DKK3"
336	"CPVL"
337	"PDGFRB"
338	"COL15A1"
339	"MYLK"
340	"IGFBP6"
341	"VCAN"
342	"COX7A1"
343	"C19orf33"
344	"PCSK1N"
345	"EMILIN1"
346	"LILRA4"
347	"GCHFR"
348	"TK1"
349	"FBLN2"
350	"CES1"
351	"DUOX2"
352	"TGFBI"
353	"AKR1C3"
354	"RGS16"
355	"IFIT2"
356	"PODXL"
357	"HMGB2"
358	"MUC13"
359	"FSTL3"
360	"SCD"
361	"CLDN7"
362	"CFD"
363	"PRC1"
364	"CEP55"
365	"CYBB"
366	"LAMP5"
367	"SLC40A1"
368	"ANXA3"
369	"SFTA2"
370	"S100A6"
371	"ANKRD36C"
372	"LAMA4"
373	"FILIP1L"
374	"PMP22"
375	"CD83"
376	"MIA"
377	"ALDH1A1"
378	"SLC7A11"
379	"VCAM1"
380	"SCT"
381	"ECM1"
382	"HSPG2"
383	"CDCA3"
384	"LAMA3"
385	"CAMK2N1"
386	"STAB1"
387	"HMOX1"
388	"SGK1"
389	"CAV2"
390	"PLD3"
391	"KLRD1"
392	"ITGA6"
393	"SLC2A1"
394	"FAM111B"
395	"CCNA2"
396	"CTSZ"
397	"IFI44L"
398	"DUSP5"
399	"MRC2"
400	"CD8A"
401	"FBXO32"
402	"LDLR"
403	"CRIP2"
404	"LAD1"
405	"AXL"
406	"TNF"
407	"MYBL2"
408	"SERPINH1"
409	"TFPI"
410	"ENG"
411	"CD93"
412	"FOXQ1"
413	"VSIG2"
414	"BASP1"
415	"LMCD1"
416	"HJURP"
417	"DDR2"
418	"DCBLD2"
419	"CADM1"
420	"FOXP3"
421	"HBEGF"
422	"TNFAIP6"
423	"MARCKSL1"
424	"RRAD"
425	"IL1R1"
426	"KIF11"
427	"KCNQ1OT1"
428	"TUBB"
429	"C1orf186"
430	"MAD2L1"
431	"LRRC26"
432	"TROAP"
433	"MSRB3"
434	"FKBP10"
435	"ITM2C"
436	"EGR2"
437	"TMEM47"
438	"CD300E"
439	"ANO1"
440	"PCNA"
441	"MMP11"
442	"REG1A"
443	"FXYD3"
444	"APOD"
445	"COL8A1"
446	"MUC5AC"
447	"FABP4"
448	"CTSE"
449	"RGS1"
450	"S100A2"
451	"NTM"
452	"TSPAN1"
453	"CP"
454	"MAL2"
455	"EPCAM"
456	"LMO7"
457	"AGR3"
458	"F2R"
459	"NMU"
460	"COL18A1"
461	"SDCBP2"
462	"ANLN"
463	"LHFP"
464	"MEG3"
465	"RP11-1143G9.4"
466	"ERRFI1"
467	"CXCL12"
468	"LGALS1"
469	"IL2RA"
470	"DPYSL3"
471	"NOTCH3"
472	"COLEC12"
473	"MSLN"
474	"KCNK1"
475	"HLA-DMA"
476	"EGFL7"
477	"EDN1"
478	"GJB2"
479	"VMO1"
480	"ITGB4"
481	"SDC4"
482	"OLFML3"
483	"CFH"
484	"MT1F"
485	"SNCG"
486	"CYP3A5"
487	"GPR34"
488	"PTGS2"
489	"GOLM1"
490	"MFGE8"
491	"THBD"
492	"SLC16A10"
493	"GJA1"
494	"ITGB6"
495	"ATF3"
496	"NR2F2"
497	"MET"
498	"ZWINT"
499	"PLAC8"
500	"LINC01133"
501	"ZNF331"
502	"CKS2"
503	"LAMB1"
504	"TUBA1B"
505	"CKB"
506	"THSD7A"
507	"BMP2"
508	"LOXL2"
509	"SDC1"
510	"ZG16B"
511	"TESC"
512	"ITGA3"
513	"PPAP2B"
514	"FAM3B"
515	"CTLA4"
516	"TFRC"
517	"PTX3"
518	"SDR16C5"
519	"LIPH"
520	"TSHZ2"
521	"ENC1"
522	"KLK11"
523	"SLC12A2"
524	"EPHA2"
525	"RP11-290F20.3"
526	"GPX3"
527	"TPPP3"
528	"CA9"
529	"ACKR3"
530	"BHLHE41"
531	"BIRC3"
532	"CSF1R"
533	"LTC4S"
534	"PPIC"
535	"CPM"
536	"TSC22D1"
537	"GALNT5"
538	"VSIG1"
539	"PDGFA"
540	"SELM"
541	"KLRF1"
542	"UCHL1"
543	"IFITM3"
544	"SEMA3C"
545	"RP11-473M20.16"
546	"HELLS"
547	"NRP2"
548	"EEF1A2"
549	"KCNMA1"
550	"POU2AF1"
551	"C12orf75"
552	"GPX8"
553	"CAPN8"
554	"IL10"
555	"PKDCC"
556	"CDC42EP5"
557	"CREB3L1"
558	"DUSP4"
559	"SPRY1"
560	"HS3ST1"
561	"SLAMF8"
562	"FLNB"
563	"RTKN2"
564	"RASSF6"
565	"NDN"
566	"CRIP1"
567	"CEACAM5"
568	"RGS5"
569	"HTRA3"
570	"FOLR2"
571	"DKK1"
572	"CCL5"
573	"XCL1"
574	"DIO2"
575	"PDGFRA"
576	"ELF3"
577	"FGL2"
578	"OSM"
579	"AQP5"
580	"RAB42"
581	"CDH1"
582	"CLDN23"
583	"ARL14"
584	"MYH11"
585	"MMP14"
586	"ADORA3"
587	"KCNE4"
588	"AZGP1"
589	"LTBP2"
590	"GPR110"
591	"AC092580.4"
592	"CYGB"
593	"KLF5"
594	"CALCRL"
595	"EFEMP2"
596	"VNN1"
597	"MX1"
598	"LILRB4"
599	"AOC1"
600	"SMIM22"
601	"COL17A1"
602	"PPP1R1B"
603	"SYT8"
604	"FCER1G"
605	"RND3"
606	"SLC9A3R2"
607	"SDPR"
608	"CERCAM"
609	"CLDN1"
610	"EFNB2"
611	"SLC44A4"
612	"BCAM"
613	"CRISPLD2"
614	"NEXN"
615	"CST7"
616	"NPL"
617	"RDH10"
618	"PERP"
619	"MPEG1"
620	"H1F0"
621	"FCRL5"
622	"RSAD2"
623	"MISP"
624	"ZNF683"
625	"MMP19"
626	"NR4A3"
627	"PPAP2C"
628	"AHNAK2"
629	"CFP"
630	"GLUL"
631	"APOL1"
632	"NRARP"
633	"CCR7"
634	"PSAP"
635	"CENPM"
636	"CKAP2L"
637	"VWA1"
638	"CD7"
639	"NBL1"
640	"NOV"
641	"C1orf116"
642	"RAI14"
643	"TMPRSS2"
644	"HMGB3"
645	"MERTK"
646	"GADD45A"
647	"CSF1"
648	"AC079767.4"
649	"RNASE2"
650	"PRSS8"
651	"KIF23"
652	"ANPEP"
653	"MMP28"
654	"CCL23"
655	"GXYLT2"
656	"RP11-350J20.12"
657	"PLS1"
658	"SCG5"
659	"ENPP1"
660	"FGFR1"
661	"RASD1"
662	"FERMT1"
663	"SCEL"
664	"PCDH7"
665	"NID1"
666	"LGALS3"
667	"CDH6"
668	"ANXA4"
669	"PLAUR"
670	"CD109"
671	"TIGIT"
672	"PLA2G10"
673	"FRMD6"
674	"PDK4"
675	"SMC4"
676	"KIF2C"
677	"B3GALT5"
678	"ARHGAP29"
679	"CD27"
680	"CEACAM1"
681	"PKMYT1"
682	"RP11-462G2.1"
683	"AURKA"
684	"RNASE6"
685	"DIAPH3"
686	"MAP1A"
687	"ESCO2"
688	"LEMD1"
689	"EPAS1"
690	"CFI"
691	"FMOD"
692	"FERMT2"
693	"CHN1"
694	"GINS2"
695	"RASSF4"
696	"UBE2T"
697	"EDNRB"
698	"BUB1"
699	"CDT1"
700	"FAM20C"
701	"NDC80"
702	"LIF"
703	"COMP"
704	"AKR1B10"
705	"CLDN18"
706	"ELN"
707	"DHRS9"
708	"TNFRSF11B"
709	"AIF1"
710	"HBA2"
711	"IL7R"
712	"ALOX5AP"
713	"LXN"
714	"GPR183"
715	"FAM3D"
716	"MNDA"
717	"AKR7A3"
718	"HBA1"
719	"TMPRSS4"
720	"GULP1"
721	"FKBP11"
722	"ERBB3"
723	"PITX1"
724	"TRIM29"
725	"PGC"
726	"RAB25"
727	"FXYD2"
728	"PTCRA"
729	"DSP"
730	"ASS1"
731	"DSG2"
732	"ADAMTS1"
733	"BCAS1"
734	"TRNP1"
735	"GAS6"
736	"RCAN1"
737	"MACC1"
738	"FLT1"
739	"SLC11A1"
740	"CTSW"
741	"SQLE"
742	"LINC00996"
743	"PBK"
744	"TREM1"
745	"CCL4L2"
746	"SGOL2"
747	"SLC15A3"
748	"JUP"
749	"CD248"
750	"ADAMTS2"
751	"EGLN3"
752	"SORBS2"
753	"PEG10"
754	"SRD5A3"
755	"SLC7A8"
756	"MGLL"
757	"PLS3"
758	"SLC4A4"
759	"NRP1"
760	"BIRC7"
761	"ICAM1"
762	"SPNS2"
763	"SYNPO2"
764	"PDE4C"
765	"HAVCR2"
766	"PTPRF"
767	"UACA"
768	"SLC2A5"
769	"HEG1"
770	"BCL11A"
771	"COPZ2"
772	"SOD2"
773	"PLK2"
774	"HMGCS1"
775	"CYSTM1"
776	"APCDD1"
777	"PTGIS"
778	"KIAA1217"
779	"ATF5"
780	"NPDC1"
781	"TSPAN13"
782	"CDA"
783	"LGALS3BP"
784	"LRRC32"
785	"MATK"
786	"HMGA1"
787	"RBP7"
788	"EFNA1"
789	"CA12"
790	"KCTD12"
791	"MECOM"
792	"HSPB1"
793	"ENAH"
794	"ADAP2"
795	"TUBA1C"
796	"PLEK2"
797	"CDCA2"
798	"RHOBTB3"
799	"GADD45G"
800	"PPARG"
801	"CDCA5"
802	"NT5E"
803	"FAM101A"
804	"POU2F2"
805	"EPS8"
806	"GPRC5B"
807	"ETV1"
808	"RNF39"
809	"LAMA5"
810	"KRT23"
811	"HLA-DRB5"
812	"LST1"
813	"SUGCT"
814	"NDUFA4L2"
815	"SERPINA1"
816	"AQP1"
817	"TYROBP"
818	"BCL2A1"
819	"APOBEC3A"
820	"INSR"
821	"LSR"
822	"LOXL1"
823	"STEAP4"
824	"CD55"
825	"CTSC"
826	"VIM"
827	"FCGR2A"
828	"PTPRS"
829	"FSCN1"
830	"RP11-1008C21.1"
831	"DMKN"
832	"BACE2"
833	"CKS1B"
834	"HSD11B1"
835	"RCN3"
836	"SLC6A8"
837	"IL18"
838	"MYH14"
839	"PLEK"
840	"PTMS"
841	"NFIB"
842	"KIF20B"
843	"C5AR1"
844	"ALDH1A3"
845	"SPTBN1"
846	"ITIH5"
847	"AMN"
848	"RASEF"
849	"CLNK"
850	"MMP23B"
851	"ACHE"
852	"SEC11C"
853	"IL2RB"
854	"IFNG"
855	"AKR1C1"
856	"GRN"
857	"PTPRB"
858	"NREP"
859	"ALDH2"
860	"MLPH"
861	"JAG1"
862	"LAIR1"
863	"SPINT1"
864	"LILRB2"
865	"CXADR"
866	"GSN"
867	"ITGAX"
868	"C3AR1"
869	"C1orf106"
870	"ITM2A"
871	"S100A13"
872	"ATP10B"
873	"MYO1B"
874	"CDCP1"
875	"AMICA1"
876	"SRPX2"
877	"ALCAM"
878	"PTGES"
879	"PROM1"
880	"NR4A1"
881	"C12orf36"
882	"PRR15L"
883	"ESAM"
884	"MEF2C"
885	"FOXM1"
886	"GPR84"
887	"FTH1"
888	"ABCC3"
889	"CGN"
890	"RAB3B"
891	"TMEM54"
892	"PHLDA3"
893	"LHFPL2"
894	"BMP4"
895	"TMEM176A"
896	"MFI2"
897	"KRT86"
898	"DHCR24"
899	"FLRT3"
900	"OCLN"
901	"IRF4"
902	"RP11-386I14.4"
903	"GALNT3"
904	"F5"
905	"LIMA1"
906	"FOXC1"
907	"SSPN"
908	"WBP5"
909	"HEYL"
910	"IDH1"
911	"CD38"
912	"ABCA1"
913	"FPR1"
914	"PSAT1"
915	"RAD51AP1"
916	"RHOB"
917	"TRIM54"
918	"CD79B"
919	"AQP9"
920	"LAYN"
921	"SEMA6A"
922	"ATAD2"
923	"RGS18"
924	"DDR1"
925	"CDCA7"
926	"STEAP2"
927	"FAM46C"
928	"HSPA6"
929	"LTB"
930	"C1QTNF3"
931	"FCGBP"
932	"TXNDC5"
933	"AKR1C2"
934	"NMB"
935	"CD84"
936	"DDIT3"
937	"CD247"
938	"HILPDA"
939	"TMEM176B"
940	"TRIB3"
941	"SERINC2"
942	"RHOD"
943	"IRF7"
944	"CD3D"
945	"CD9"
946	"TNNC1"
947	"SPI1"
948	"KLK1"
949	"CLEC7A"
