cluster_id	n_cells	median_signature12_module	mean_signature12_module	median_mcd_focus_module	mean_mcd_focus_module
"26"	423	-0.00759654695988601	-0.000390779791524077	0.0264052468212791	0.0253532924164599
"17"	1005	-0.0256062456439117	-0.0145143917632384	-0.00507225992712929	0.0009942357933353
"4"	2509	-0.0649353604906632	-0.0331187170687612	-0.0172592772909965	-0.0175166512509612
