accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204130_P22_matrix.mtx.gz"	"GSM6204130_P22_matrix.mtx.gz"	"gz"	62994750	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204131_P23_barcodes.tsv.gz"	"GSM6204131_P23_barcodes.tsv.gz"	"gz"	63289	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204131_P23_features.tsv.gz"	"GSM6204131_P23_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204131_P23_matrix.mtx.gz"	"GSM6204131_P23_matrix.mtx.gz"	"gz"	102700806	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204132_P24_barcodes.tsv.gz"	"GSM6204132_P24_barcodes.tsv.gz"	"gz"	38824	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204132_P24_features.tsv.gz"	"GSM6204132_P24_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204132_P24_matrix.mtx.gz"	"GSM6204132_P24_matrix.mtx.gz"	"gz"	29523707	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204133_P25_barcodes.tsv.gz"	"GSM6204133_P25_barcodes.tsv.gz"	"gz"	55629	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204133_P25_features.tsv.gz"	"GSM6204133_P25_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204133_P25_matrix.mtx.gz"	"GSM6204133_P25_matrix.mtx.gz"	"gz"	93379336	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204134_P26_barcodes.tsv.gz"	"GSM6204134_P26_barcodes.tsv.gz"	"gz"	72495	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204134_P26_features.tsv.gz"	"GSM6204134_P26_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204134_P26_matrix.mtx.gz"	"GSM6204134_P26_matrix.mtx.gz"	"gz"	55639443	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204135_P27_barcodes.tsv.gz"	"GSM6204135_P27_barcodes.tsv.gz"	"gz"	67358	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204135_P27_features.tsv.gz"	"GSM6204135_P27_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204135_P27_matrix.mtx.gz"	"GSM6204135_P27_matrix.mtx.gz"	"gz"	132887535	"YES"	"NO"	"NO"	"NO"	"NO"
"CRA001160"	"metadata_only"	"06_scRNA/01_raw_data/CRA001160/CRA001160.xlsx"	"CRA001160.xlsx"	"xlsx"	19397	"NO"	"NO"	"NO"	"YES"	"NO"
