accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710713_PDAC_PBMC_5.tar.gz"	"GSM4710713_PDAC_PBMC_5.tar.gz"	"gz"	21647560	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710714_PDAC_PBMC_6.tar.gz"	"GSM4710714_PDAC_PBMC_6.tar.gz"	"gz"	17160448	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710715_PDAC_PBMC_7.tar.gz"	"GSM4710715_PDAC_PBMC_7.tar.gz"	"gz"	30617351	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710716_PDAC_PBMC_8.tar.gz"	"GSM4710716_PDAC_PBMC_8.tar.gz"	"gz"	23725971	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710717_PDAC_PBMC_9.tar.gz"	"GSM4710717_PDAC_PBMC_9.tar.gz"	"gz"	21557442	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710718_PDAC_PBMC_10A.tar.gz"	"GSM4710718_PDAC_PBMC_10A.tar.gz"	"gz"	23029324	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710719_PDAC_PBMC_10B.tar.gz"	"GSM4710719_PDAC_PBMC_10B.tar.gz"	"gz"	5210031	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710720_PDAC_PBMC_11.tar.gz"	"GSM4710720_PDAC_PBMC_11.tar.gz"	"gz"	13049669	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710721_PDAC_PBMC_12.tar.gz"	"GSM4710721_PDAC_PBMC_12.tar.gz"	"gz"	20856087	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710722_PDAC_PBMC_13.tar.gz"	"GSM4710722_PDAC_PBMC_13.tar.gz"	"gz"	15239441	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710723_PDAC_PBMC_14.tar.gz"	"GSM4710723_PDAC_PBMC_14.tar.gz"	"gz"	21762041	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710724_PDAC_PBMC_15.tar.gz"	"GSM4710724_PDAC_PBMC_15.tar.gz"	"gz"	21455167	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710725_PDAC_PBMC_16.tar.gz"	"GSM4710725_PDAC_PBMC_16.tar.gz"	"gz"	15020900	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710726_Healthy_PBMC_1.tar.gz"	"GSM4710726_Healthy_PBMC_1.tar.gz"	"gz"	23726834	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710727_Healthy_PBMC_2.tar.gz"	"GSM4710727_Healthy_PBMC_2.tar.gz"	"gz"	18299081	"NO"	"NO"	"NO"	"NO"	"NO"
