cluster_id	sample_name	n_cells	cluster_total	pct_in_cluster
"12"	"GSM4710693_PDAC_TISSUE_5"	112	1268	0.0883280757097792
"12"	"GSM4710694_PDAC_TISSUE_6"	53	1268	0.0417981072555205
"12"	"GSM4710695_PDAC_TISSUE_7"	90	1268	0.0709779179810726
"12"	"GSM4710696_PDAC_TISSUE_8"	80	1268	0.0630914826498423
"12"	"GSM4710697_PDAC_TISSUE_9"	239	1268	0.188485804416404
"12"	"GSM4710698_PDAC_TISSUE_10"	15	1268	0.0118296529968454
"12"	"GSM4710699_PDAC_TISSUE_11A"	2	1268	0.00157728706624606
"12"	"GSM4710700_PDAC_TISSUE_11B"	41	1268	0.0323343848580442
"12"	"GSM4710701_PDAC_TISSUE_12"	33	1268	0.0260252365930599
"12"	"GSM4710702_PDAC_TISSUE_13"	89	1268	0.0701892744479495
"12"	"GSM4710703_PDAC_TISSUE_14"	28	1268	0.0220820189274448
"12"	"GSM4710704_PDAC_TISSUE_15"	142	1268	0.11198738170347
"12"	"GSM4710705_PDAC_TISSUE_16"	3	1268	0.00236593059936909
"13"	"GSM4710689_PDAC_TISSUE_1"	1	1202	0.000831946755407654
"13"	"GSM4710690_PDAC_TISSUE_2"	63	1202	0.0524126455906822
"13"	"GSM4710691_PDAC_TISSUE_3"	20	1202	0.0166389351081531
"13"	"GSM4710692_PDAC_TISSUE_4"	72	1202	0.0599001663893511
"13"	"GSM4710693_PDAC_TISSUE_5"	84	1202	0.0698835274542429
"13"	"GSM4710694_PDAC_TISSUE_6"	16	1202	0.0133111480865225
"13"	"GSM4710695_PDAC_TISSUE_7"	388	1202	0.32279534109817
"13"	"GSM4710696_PDAC_TISSUE_8"	358	1202	0.29783693843594
"13"	"GSM4710697_PDAC_TISSUE_9"	5	1202	0.00415973377703827
"13"	"GSM4710698_PDAC_TISSUE_10"	4	1202	0.00332778702163062
"13"	"GSM4710700_PDAC_TISSUE_11B"	10	1202	0.00831946755407654
"13"	"GSM4710702_PDAC_TISSUE_13"	41	1202	0.0341098169717138
"13"	"GSM4710703_PDAC_TISSUE_14"	4	1202	0.00332778702163062
"13"	"GSM4710704_PDAC_TISSUE_15"	108	1202	0.0898502495840266
"13"	"GSM4710705_PDAC_TISSUE_16"	28	1202	0.0232945091514143
"14"	"GSM4710689_PDAC_TISSUE_1"	8	1056	0.00757575757575758
"14"	"GSM4710690_PDAC_TISSUE_2"	9	1056	0.00852272727272727
"14"	"GSM4710691_PDAC_TISSUE_3"	7	1056	0.00662878787878788
"14"	"GSM4710692_PDAC_TISSUE_4"	2	1056	0.00189393939393939
"14"	"GSM4710693_PDAC_TISSUE_5"	1	1056	0.000946969696969697
"14"	"GSM4710694_PDAC_TISSUE_6"	2	1056	0.00189393939393939
"14"	"GSM4710695_PDAC_TISSUE_7"	746	1056	0.706439393939394
"14"	"GSM4710696_PDAC_TISSUE_8"	242	1056	0.229166666666667
"14"	"GSM4710697_PDAC_TISSUE_9"	2	1056	0.00189393939393939
"14"	"GSM4710698_PDAC_TISSUE_10"	15	1056	0.0142045454545455
"14"	"GSM4710700_PDAC_TISSUE_11B"	3	1056	0.00284090909090909
"14"	"GSM4710702_PDAC_TISSUE_13"	2	1056	0.00189393939393939
"14"	"GSM4710704_PDAC_TISSUE_15"	13	1056	0.0123106060606061
"14"	"GSM4710705_PDAC_TISSUE_16"	4	1056	0.00378787878787879
"15"	"GSM4710689_PDAC_TISSUE_1"	13	1053	0.0123456790123457
"15"	"GSM4710690_PDAC_TISSUE_2"	3	1053	0.00284900284900285
"15"	"GSM4710691_PDAC_TISSUE_3"	155	1053	0.147198480531814
"15"	"GSM4710692_PDAC_TISSUE_4"	29	1053	0.0275403608736942
"15"	"GSM4710693_PDAC_TISSUE_5"	6	1053	0.0056980056980057
"15"	"GSM4710694_PDAC_TISSUE_6"	414	1053	0.393162393162393
"15"	"GSM4710695_PDAC_TISSUE_7"	86	1053	0.0816714150047483
"15"	"GSM4710696_PDAC_TISSUE_8"	158	1053	0.150047483380817
"15"	"GSM4710697_PDAC_TISSUE_9"	23	1053	0.0218423551756885
"15"	"GSM4710698_PDAC_TISSUE_10"	38	1053	0.0360873694207028
"15"	"GSM4710699_PDAC_TISSUE_11A"	21	1053	0.0199430199430199
"15"	"GSM4710700_PDAC_TISSUE_11B"	31	1053	0.0294396961063628
"15"	"GSM4710701_PDAC_TISSUE_12"	12	1053	0.0113960113960114
"15"	"GSM4710702_PDAC_TISSUE_13"	18	1053	0.0170940170940171
"15"	"GSM4710703_PDAC_TISSUE_14"	21	1053	0.0199430199430199
"15"	"GSM4710704_PDAC_TISSUE_15"	20	1053	0.0189933523266857
"15"	"GSM4710705_PDAC_TISSUE_16"	5	1053	0.00474833808167142
"16"	"GSM4710689_PDAC_TISSUE_1"	3	1037	0.00289296046287367
"16"	"GSM4710690_PDAC_TISSUE_2"	7	1037	0.00675024108003857
"16"	"GSM4710691_PDAC_TISSUE_3"	2	1037	0.00192864030858245
"16"	"GSM4710693_PDAC_TISSUE_5"	3	1037	0.00289296046287367
"16"	"GSM4710694_PDAC_TISSUE_6"	633	1037	0.610414657666345
"16"	"GSM4710695_PDAC_TISSUE_7"	3	1037	0.00289296046287367
"16"	"GSM4710696_PDAC_TISSUE_8"	367	1037	0.35390549662488
"16"	"GSM4710697_PDAC_TISSUE_9"	4	1037	0.0038572806171649
"16"	"GSM4710698_PDAC_TISSUE_10"	6	1037	0.00578592092574735
"16"	"GSM4710699_PDAC_TISSUE_11A"	1	1037	0.000964320154291225
"16"	"GSM4710700_PDAC_TISSUE_11B"	6	1037	0.00578592092574735
"16"	"GSM4710703_PDAC_TISSUE_14"	2	1037	0.00192864030858245
"17"	"GSM4710689_PDAC_TISSUE_1"	30	1005	0.0298507462686567
"17"	"GSM4710690_PDAC_TISSUE_2"	16	1005	0.0159203980099502
"17"	"GSM4710691_PDAC_TISSUE_3"	511	1005	0.508457711442786
"17"	"GSM4710692_PDAC_TISSUE_4"	58	1005	0.0577114427860697
"17"	"GSM4710693_PDAC_TISSUE_5"	81	1005	0.0805970149253731
"17"	"GSM4710694_PDAC_TISSUE_6"	11	1005	0.0109452736318408
"17"	"GSM4710695_PDAC_TISSUE_7"	77	1005	0.0766169154228856
"17"	"GSM4710696_PDAC_TISSUE_8"	26	1005	0.0258706467661692
"17"	"GSM4710697_PDAC_TISSUE_9"	18	1005	0.017910447761194
"17"	"GSM4710698_PDAC_TISSUE_10"	8	1005	0.00796019900497512
"17"	"GSM4710699_PDAC_TISSUE_11A"	62	1005	0.0616915422885572
"17"	"GSM4710700_PDAC_TISSUE_11B"	12	1005	0.0119402985074627
"17"	"GSM4710701_PDAC_TISSUE_12"	1	1005	0.00099502487562189
"17"	"GSM4710702_PDAC_TISSUE_13"	47	1005	0.0467661691542289
"17"	"GSM4710703_PDAC_TISSUE_14"	3	1005	0.00298507462686567
"17"	"GSM4710704_PDAC_TISSUE_15"	34	1005	0.0338308457711443
"17"	"GSM4710705_PDAC_TISSUE_16"	10	1005	0.0099502487562189
"18"	"GSM4710689_PDAC_TISSUE_1"	1	794	0.00125944584382872
"18"	"GSM4710690_PDAC_TISSUE_2"	3	794	0.00377833753148615
"18"	"GSM4710691_PDAC_TISSUE_3"	3	794	0.00377833753148615
"18"	"GSM4710692_PDAC_TISSUE_4"	11	794	0.0138539042821159
"18"	"GSM4710693_PDAC_TISSUE_5"	22	794	0.0277078085642317
"18"	"GSM4710694_PDAC_TISSUE_6"	30	794	0.0377833753148615
"18"	"GSM4710695_PDAC_TISSUE_7"	50	794	0.0629722921914358
"18"	"GSM4710696_PDAC_TISSUE_8"	14	794	0.017632241813602
"18"	"GSM4710697_PDAC_TISSUE_9"	119	794	0.149874055415617
"18"	"GSM4710698_PDAC_TISSUE_10"	16	794	0.0201511335012594
"18"	"GSM4710699_PDAC_TISSUE_11A"	467	794	0.58816120906801
"18"	"GSM4710700_PDAC_TISSUE_11B"	19	794	0.0239294710327456
"18"	"GSM4710701_PDAC_TISSUE_12"	9	794	0.0113350125944584
"18"	"GSM4710702_PDAC_TISSUE_13"	19	794	0.0239294710327456
"18"	"GSM4710703_PDAC_TISSUE_14"	1	794	0.00125944584382872
"18"	"GSM4710704_PDAC_TISSUE_15"	10	794	0.0125944584382872
"19"	"GSM4710699_PDAC_TISSUE_11A"	3	788	0.00380710659898477
"19"	"GSM4710700_PDAC_TISSUE_11B"	3	788	0.00380710659898477
"19"	"GSM4710701_PDAC_TISSUE_12"	1	788	0.00126903553299492
"19"	"GSM4710704_PDAC_TISSUE_15"	1	788	0.00126903553299492
"19"	"GSM4710705_PDAC_TISSUE_16"	780	788	0.989847715736041
"2"	"GSM4710689_PDAC_TISSUE_1"	40	3063	0.0130590923930787
"2"	"GSM4710690_PDAC_TISSUE_2"	43	3063	0.0140385243225596
"2"	"GSM4710691_PDAC_TISSUE_3"	13	3063	0.00424420502775057
"2"	"GSM4710692_PDAC_TISSUE_4"	78	3063	0.0254652301665034
"2"	"GSM4710693_PDAC_TISSUE_5"	163	3063	0.0532158015017956
