term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	n_complete
risk_score	3.77261574052388	0.176528385935078	7.52155855397049	5.41270760815164e-14	2.66920136267909	5.33216778795706	risk_score	168
risk_groupHigh	2.53671230118039	0.21970335564803	4.23693516310142	2.26591533144044e-05	1.64914703974967	3.90196213185253	risk_group	168
age	1.01999721140846	0.0104223133491704	1.89975993964343	0.0574646303291831	0.99937273139446	1.0410473275865	age	167
genderFemale	1.30117065159502	0.209072644926834	1.25920041131431	0.207957953045111	0.863716668684007	1.96018570204485	gender	168
stage_collapsedIII-IV	0.736367202484474	0.588726902072085	-0.519810403048447	0.603195727843647	0.232257201776676	2.33463872270446	stage_collapsed	166
grade_collapsedG3-4	1.30582089910353	0.221038811064547	1.20717209427866	0.227365874937336	0.846710680283156	2.01387352284882	grade_collapsed	166
