gene_symbol_std	gene_symbol	contrast	pathway_id	pathway_label	NES	p_adjust	logFC	adj.P.Val	t	is_mcd_gene	death_type	tier
TARBP2	TARBP2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.458856028863385	5.72083258689054e-05	-4.79987934553591	FALSE		
ADRM1	ADRM1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.432940052322206	0.000217648296882471	-4.39650347052291	FALSE		
EDF1	EDF1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.426645953511121	0.00209618511518559	-3.66586237345209	FALSE		
AAAS	AAAS	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.423557886828309	5.23963257188799e-06	-5.46511325701389	FALSE		
AK1	AK1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.39072423188548	0.0314433335088973	-2.60432208986162	FALSE		
POLR2E	POLR2E	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.379907066299444	0.000177032217517338	-4.46436373781093	FALSE		
VPS28	VPS28	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.376490443179647	0.00148655024598758	-3.78158641265563	FALSE		
MPG	MPG	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.364286709055287	0.00382664345138309	-3.45102744429344	FALSE		
SURF1	SURF1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.361063444044835	0.00336878170427283	-3.4954488242454	FALSE		
DGUOK	DGUOK	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.352534421995861	0.00127451275119902	-3.83410028214703	FALSE		
GUK1	GUK1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.348038548618002	0.0121537560975664	-3.00791747698412	FALSE		
POLD1	POLD1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.347127457992811	0.0182269136520974	-2.84147896834763	FALSE		
LIG1	LIG1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.334095021042524	0.011732548321545	-3.02129420027308	FALSE		
NELFE	NELFE	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.325800324808062	0.00288931931265183	-3.55356667208813	FALSE		
COX17	COX17	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.324377904028444	0.0304296174667225	-2.61929349090603	FALSE		
MRPL40	MRPL40	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.323834385698006	0.00830203270633247	-3.15825360640055	FALSE		
NME4	NME4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.319383103006806	0.0218900991511715	-2.76433043299852	FALSE		
ZNF707	ZNF707	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.312960040087217	0.0103871235694692	-3.06871925843364	FALSE		
ITPA	ITPA	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.310594214791476	0.0161164417194287	-2.89283566108132	FALSE		
NELFB	NELFB	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.309755400778186	0.00243644460321015	-3.61422204710794	FALSE		
USP11	USP11	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.309297848807097	0.0270054785051512	-2.67124644027484	FALSE		
GTF3C5	GTF3C5	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.305786111351392	0.00198880285764876	-3.68541446435155	FALSE		
GTF2F1	GTF2F1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.297725092124794	0.000876555067335912	-3.96129576194153	FALSE		
POLR2H	POLR2H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.293376722120655	0.0206470949242439	-2.78801954911071	FALSE		
ELL	ELL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.291111823991711	0.00113284849927791	-3.87517116162914	FALSE		
RAD52	RAD52	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.279193150071324	0.0923571622567036	-2.06789393292871	FALSE		
POLR1H	POLR1H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.273707008385601	0.0605358650178132	-2.29145740220919	FALSE		
APRT	APRT	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.269798877603945	0.0787633063323889	-2.15175583181969	FALSE		
ERCC1	ERCC1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.269070211451083	0.00885159365238128	-3.13335258206446	FALSE		
ALYREF	ALYREF	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.266161691631833	0.0647020011060525	-2.25620103628641	FALSE		
SRSF6	SRSF6	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.265934485486746	0.00503781786170546	-3.35228024040671	FALSE		
ERCC2	ERCC2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.262726650107245	0.0184736745994848	-2.835314689283	FALSE		
BCAP31	BCAP31	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.253797535877159	0.0367269399824322	-2.53395797166712	FALSE		
POLR2F	POLR2F	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.253011271230813	0.061996113338732	-2.27835513094239	FALSE		
DDB2	DDB2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.250732387446631	0.0302479581243421	-2.62180968507742	FALSE		
SUPT5H	SUPT5H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.24650977470341	0.0356552602834928	-2.54745981493142	FALSE		
RFC2	RFC2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.234111690587148	0.0661339313202552	-2.24497699659055	FALSE		
DUT	DUT	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.22667038183959	0.0387532839353957	-2.50859767853254	FALSE		
NELFCD	NELFCD	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.220420109982155	0.0317852318489202	-2.59920914451714	FALSE		
POLR1D	POLR1D	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.211440947181881	0.0599531828182456	-2.29645593112056	FALSE		
POLR3GL	POLR3GL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.203185998434684	0.0700304905104876	-2.2148706798324	FALSE		
RAE1	RAE1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.181921784184017	0.0914027813916335	-2.0736085852985	FALSE		
PRSS2	PRSS2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	2.66385530688818	0.036099933187221	2.54215938267885	FALSE		
DKK1	DKK1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.77323498019806	0.0227511897950785	2.74744038158492	FALSE		
COL11A1	COL11A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.54677698555122	0.0605392225185578	2.29138621583105	FALSE		
MMP1	MMP1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.4936377280597	0.0378803932322715	2.51937796417331	FALSE		
TNFRSF11B	TNFRSF11B	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.46458227414583	0.00318716675216431	3.51577804836713	FALSE		
GREM1	GREM1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.44068267824086	0.0125188759449832	2.9958419608125	FALSE		
THBS2	THBS2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.44028634974856	0.00278127784190643	3.56745294356588	FALSE		
ANPEP	ANPEP	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.42644982761759	0.00499597897952796	3.35552238346041	FALSE		
CXCL6	CXCL6	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.39069477668671	0.045343866428559	2.43391083915023	FALSE		
VCAN	VCAN	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.34212992177615	0.000483952541173091	4.14909579806093	FALSE		
CXCL8	CXCL8	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.21600741191726	0.0217389497904763	2.76734277582771	FALSE		
LAMA3	LAMA3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.19782006552175	0.00212226564988116	3.66125362448645	FALSE		
LAMC2	LAMC2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.19438208003357	0.014784781075243	2.92758964772048	FALSE		
FBN1	FBN1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.18976407217742	0.000380493765287641	4.22433372942878	FALSE		
INHBA	INHBA	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.18431737455077	0.00490013429865697	3.36299080450009	FALSE		
LAMA2	LAMA2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.18379385617133	0.000102219650926579	4.63420271729328	FALSE		
MYLK	MYLK	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.16268593766065	0.000513189883511346	4.13029093415329	FALSE		
MMP3	MMP3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.13672568123693	0.0504919345562282	2.38180310638653	FALSE		
