gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
SNAPC4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	SNAPC4	SNAPC4	-0.559386670304543	5.6506582747194e-09	-6.60544349458529	SNAPC4	negative_pathway	0.559386670304543
POLR1H	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR1H	POLR1H	-0.547087620711947	3.33927099779407e-08	-6.23380743848872	POLR1H	negative_pathway	0.547087620711947
ZNF707	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ZNF707	ZNF707	-0.537988312165219	3.25852640940135e-10	-7.19170471377587	ZNF707	negative_pathway	0.537988312165219
VPS37D	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	VPS37D	VPS37D	-0.53670576736776	0.00587516457184696	-3.08043073111644	VPS37D	negative_pathway	0.53670576736776
EDF1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	EDF1	EDF1	-0.535952583493291	2.42524863916363e-07	-5.80285514495957	EDF1	negative_pathway	0.535952583493291
RAD51	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RAD51	RAD51	-0.529843457822067	0.00347284404027271	-3.26233282924607	RAD51	negative_pathway	0.529843457822067
BCAP31	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	BCAP31	BCAP31	-0.521793806899874	8.42361340199087e-09	-6.52263652947664	BCAP31	negative_pathway	0.521793806899874
ALYREF	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ALYREF	ALYREF	-0.507182235214984	4.90121423636473e-07	-5.64503173061348	ALYREF	negative_pathway	0.507182235214984
NELFE	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NELFE	NELFE	-0.50566929710523	4.80054223173016e-10	-7.11355568223053	NELFE	negative_pathway	0.50566929710523
POLR2E	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2E	POLR2E	-0.490862087461868	1.56779645383323e-10	-7.3344762157166	POLR2E	negative_pathway	0.490862087461868
ZWINT	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ZWINT	ZWINT	-0.4877425810965	0.000836477871070088	-3.72081070836155	ZWINT	negative_pathway	0.4877425810965
TARBP2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	TARBP2	TARBP2	-0.45690099088501	2.27005040081411e-08	-6.31635264891894	TARBP2	negative_pathway	0.45690099088501
NELFB	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NELFB	NELFB	-0.447944311976761	4.05248333394976e-09	-6.675312017043	NELFB	negative_pathway	0.447944311976761
AK1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	AK1	AK1	-0.416597470847025	0.000919960610794208	-3.69150612434341	AK1	negative_pathway	0.416597470847025
RFC4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RFC4	RFC4	-0.41081712906043	3.72244094714613e-05	-4.59483067552334	RFC4	negative_pathway	0.41081712906043
ERCC2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ERCC2	ERCC2	-0.404618924805646	1.92708823162986e-07	-5.85398592152389	ERCC2	negative_pathway	0.404618924805646
RPA3	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RPA3	RPA3	-0.401130416174099	3.44339091546357e-05	-4.61514177051768	RPA3	negative_pathway	0.401130416174099
LIG1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	LIG1	LIG1	-0.394395931366831	1.9225800975159e-05	-4.76658747644434	LIG1	negative_pathway	0.394395931366831
MRPL40	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	MRPL40	MRPL40	-0.392578580757875	5.41098216396362e-06	-5.08214872626229	MRPL40	negative_pathway	0.392578580757875
POLR2F	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2F	POLR2F	-0.387329601011596	3.08416427740129e-05	-4.64354927657386	POLR2F	negative_pathway	0.387329601011596
POLE4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLE4	POLE4	-0.375707931820622	0.00219819616603359	-3.41468645937723	POLE4	negative_pathway	0.375707931820622
AAAS	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	AAAS	AAAS	-0.367925700247167	3.86858518733109e-08	-6.20262059752912	AAAS	negative_pathway	0.367925700247167
DDB2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	DDB2	DDB2	-0.365790583709245	4.7952060154455e-06	-5.1119814815753	DDB2	negative_pathway	0.365790583709245
RFC2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RFC2	RFC2	-0.355498030853374	4.02584987000196e-05	-4.57494393465352	RFC2	negative_pathway	0.355498030853374
RBX1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RBX1	RBX1	-0.352208547377815	2.11778012521044e-05	-4.74193547422328	RBX1	negative_pathway	0.352208547377815
GTF3C5	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	GTF3C5	GTF3C5	-0.324737779286504	5.46552911833775e-06	-5.07969516861046	GTF3C5	negative_pathway	0.324737779286504
NME4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NME4	NME4	-0.321891682920061	0.00119754672702076	-3.60896123272366	NME4	negative_pathway	0.321891682920061
POLR1D	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR1D	POLR1D	-0.321690900882023	6.12367398838553e-05	-4.46339367845566	POLR1D	negative_pathway	0.321690900882023
FEN1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	FEN1	FEN1	-0.319647239426246	0.00452849955930133	-3.17113093778797	FEN1	negative_pathway	0.319647239426246
SUPT5H	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	SUPT5H	SUPT5H	-0.296672451979618	0.000513040070558949	-3.86782993301701	SUPT5H	negative_pathway	0.296672451979618
NELFCD	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NELFCD	NELFCD	-0.289129698771605	8.3937439363738e-05	-4.38061138354789	NELFCD	negative_pathway	0.289129698771605
POLR2G	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2G	POLR2G	-0.286669313183277	7.67904636284242e-05	-4.404589807338	POLR2G	negative_pathway	0.286669313183277
