category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Development and regeneration	hsa04382	Cornified envelope formation	25/188	145/7327	0.172413793103448	6.71955245781365	11.2880009966129	1.88608017569165e-14	4.67747883571528e-12	4.44717851952557e-12	S100A6/S100A11/S100A16/PKP3/ITGB4/S100A5/S100A14/LAMB3/EVPL/CLDN23/KRT7/KRT86/PRSS8/KRT19/CLDN18/COL17A1/LAMC2/KRT15/COL7A1/S100A2/PKP1/KRT17/PADI3/CLDN6/KRT81	25
Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	6/188	27/7327	0.222222222222222	8.66075650118203	6.47121458524014	4.97558378210486e-05	0.00565066195568972	0.005372446002014	PLA2G4F/PLA2G10/PLAAT2/PLA2G4D/CYP2C19/CYP2C9	6
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	8/188	56/7327	0.142857142857143	5.56762917933131	5.56777235974332	8.00832572664635e-05	0.00565066195568972	0.005372446002014	ALDH3B1/CYP2S1/UGT1A1/MGST1/UGT1A10/AKR7A3/CYP2C9/CYP2B6	8
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	8/188	57/7327	0.140350877192982	5.46995147443076	5.49751878100029	9.11397089627374e-05	0.00565066195568972	0.005372446002014	PLA2G4F/PLA2G10/PLAAT2/PTGES/PLA2G4D/CYP2C19/CYP2C9/CYP2B6	8
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	7/188	54/7327	0.12962962962963	5.05210795902285	4.84969899899765	0.000417991115253664	0.0207323593165817	0.0197115810140675	ALDH3B1/UGT1A1/MGST1/UGT1A10/CYP2C19/CYP2C9/CYP2B6	7
