ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	143	-0.274123538072526	-1.35144093557865	0.0277313556875077	0.0420172055871329	0.0150377367364476	2871	tags=22%, list=12%, signal=20%	WDR37/ARHGEF9/PTPRM/PRDM2/ATRN/PTGFR/SPOP/AGGF1/KCNMA1/NR3C1/DMAC2L/AKT3/VLDLR/TGFBR3/MMP16/CELF2/FYN/TOGARAM1/AMPH/PIK3R3/PLPP3/ATP2B1/CDON/PRKCE/CACNA1A/MAP1B/PRKAR2B/RGS4/DLC1/MAGI2/CITED2/SYNE1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	100	0.287361535945646	1.32985177905287	0.0555555555555556	0.0816993464052288	0.0292397660818714	3632	tags=27%, list=16%, signal=23%	H1-0/STK39/DHCR24/SAT1/SMS/KRT8/TMEM50A/PMEPA1/KRT19/MYL12A/ADRM1/DBI/INPP4B/TMPRSS2/XRCC5/SORD/RAB4A/GNAI3/SPDEF/UBE2I/CENPN/PA2G4/CAMKK2/ACTN1/CCND1/B2M/HMGCS1
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	174	-0.245294816631501	-1.23932800320581	0.0657640232108317	0.0939486045869025	0.0336237111153125	6623	tags=34%, list=29%, signal=24%	ZC2HC1C/CLDN8/ITIH3/SNN/ARHGDIG/NR4A2/CDH16/CYP39A1/ACTC1/TGM1/SLC6A3/DLK2/NOS1/SIDT1/SNCB/SYNPO/KLHDC8A/STAG3/PDE6B/SLC12A3/CNTFR/TCL1A/EPHA5/CD40LG/GPR19/KCND1/CAMK1D/NPHS1/GAMT/ALOX12B/PCDHB1/IGFBP2/COL2A1/CCDC106/CPEB3/BTG2/KMT2D/PTGFR/CELSR2/P2RX6/PRKN/SELENOP/RGS11/GP1BA/CALCB/YPEL1/KCNN1/ZBTB16/CLSTN3/NRIP2/RYR2/C5/CHST2/SERPINA10/DCC/NUDT11/CCNA1/MAST3/TENT5C
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	86	0.28496988557087	1.28130675976389	0.0823045267489712	0.114311842706904	0.0409116068635237	6410	tags=38%, list=28%, signal=28%	MYD88/TNFRSF12A/IFNGR2/BAK1/IL15RA/STAT1/LTBR/IL4R/TNFRSF1A/CXCL11/IRF1/IL2RG/CD9/TNFRSF21/CXCL10/CXCL3/REG1A/ACVR1B/OSMR/FAS/IRF9/PDGFC/CSF2/CCL7/IL1R2/IL13RA1/IL7/IL17RB/ITGB3/STAT2/CXCL1/IFNAR1/PTPN2
HALLMARK_COAGULATION	HALLMARK_COAGULATION	130	0.258518990989468	1.25289003377247	0.0867768595041322	0.117266026356935	0.0419688936435348	5393	tags=32%, list=23%, signal=24%	RAC1/PREP/CAPN2/S100A13/CAPN5/CTSV/MSRB2/DUSP6/MMP7/ADAM9/CTSE/C2/GNB2/ARF4/RABIF/MMP1/WDR1/MMP15/MMP14/CD9/MAFF/APOC1/PLAU/CFB/CFI/MMP11/F3/ANG/PLAT/S100A1/CTSH/F2RL2/RAPGEF3/GNG12/COMP/ANXA1/FGG/CTSB/F12/ITGA2/LGMN
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	197	0.240969354468334	1.23489318011716	0.0948453608247423	0.124796527400977	0.0446640203329811	4484	tags=26%, list=19%, signal=21%	CAPG/GSTO1/CDCP1/PLSCR1/BCL2L1/DHRS3/SERPINB6/MUC1/AHR/SLC1A5/ETV4/IFITM3/CTSZ/RNH1/PLEC/SLC29A2/TNFSF10/HK2/GALM/IL4R/MXD1/IRF6/ITGA6/CYFIP1/CCNE1/PNP/CDC6/UMPS/MYO1E/BATF/SYNGR2/UCK2/CASP3/MYO1C/MAPKAPK2/ECM1/ANXA4/MAFF/TNFRSF21/CXCL10/BHLHE40/PTRH2/TGM2/P4HA1/KLF6/S100A1/CA2/TNFSF11/F2RL2/SNX9/SH3BGRL2/AHNAK
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	43	0.328028514783241	1.29071595444064	0.128571428571429	0.160714285714286	0.0575187969924812	2068	tags=19%, list=9%, signal=17%	EPHB4/PLAUR/HSPB1/ATP8B1/FLOT2/IL2RG/EFNA5/AFAP1L2
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	196	-0.227915727295723	-1.16884567549363	0.12621359223301	0.160714285714286	0.0575187969924812	3794	tags=23%, list=16%, signal=20%	LCP1/ETS1/NGF/AKAP12/CCSER2/CD37/IL10RA/USP12/CBR4/TMEM100/IKZF1/PECAM1/SNAP25/TRAF1/GNG11/GADD45G/PCSK1N/CCND2/MAP4K1/IL33/CDADC1/NIN/ADGRA2/SCG5/PCP4/SPARCL1/FGF9/SATB1/ARG1/ADGRL4/PTCD2/FLT4/ANKH/LAT2/PLVAP/EPB41L3/CIDEA/CPE/RELN/PEG3/MAFB/KIF5C/ABCB1/SNAP91/TSPAN7/NAP1L2
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	107	-0.242193028711482	-1.13533101882296	0.2109375	0.257240853658537	0.0920651476251605	5305	tags=35%, list=23%, signal=27%	CCT6B/PACRG/NPHP1/PGS1/NEFH/CLVS1/GSG1/STRBP/DPEP3/HSPA1L/OAZ3/TEKT2/SCG3/IP6K1/SEPTIN4/ADCYAP1/ZC3H14/HSPA4L/BRAF/JAM3/PCSK1N/IL13RA2/SIRT1/SCG5/PHF7/DDX25/PEBP1/SHE/CNIH2/NPY5R/CLGN/PIAS2/ALOX15/SNAP91/DCC/RAD17/CCNA1
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	95	0.247286068352129	1.13845449271706	0.217213114754098	0.258587041373927	0.0925469411233001	4098	tags=24%, list=18%, signal=20%	TSG101/ARF1/KRT18/RAB9A/RER1/SOD1/RAB5A/VPS45/ZW10/AP2S1/CLTA/COPB1/SCAMP3/EGFR/NAPG/YKT6/AP2M1/ADAM10/TSPAN8/ARFIP1/CD63/AP2B1/CAV2
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	36	-0.275477875106092	-1.05044500664789	0.389830508474576	0.442989214175655	0.158543508231287	4483	tags=28%, list=19%, signal=22%	HEY1/CNTFR/SLIT1/UNC5C/SCG2/CRMP1/VLDLR/NRCAM/RTN1/CDK5R1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	107	-0.21966286929363	-1.02971613394291	0.388671875	0.442989214175655	0.158543508231287	6196	tags=36%, list=27%, signal=27%	AR/SOAT2/SLCO1A2/CYP39A1/ABCA1/MLYCD/PEX1/SERPINA6/GC/GNMT/SLC27A5/NR3C2/RXRA/TTR/RXRG/PNPLA8/PFKM/ABCA3/FADS1/ALDH1A1/GCLM/FADS2/ABCA2/ACSL1/LIPE/PEX12/ABCA5/PIPOX/CH25H/BMP6/ABCA6/ABCA9/ABCA8/EPHX2/ABCD2/HAO1/CYP7B1/CYP46A1/SLC23A2
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	34	-0.260635202427334	-0.974194017699084	0.492277992277992	0.546975546975547	0.19575966944388	4176	tags=24%, list=18%, signal=19%	VTN/THBD/LPL/LRPAP1/CCND2/APOH/FGFR1/KCNJ8
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	195	0.190802101638094	0.977772532355847	0.50920245398773	0.553480928247533	0.198087911162275	6926	tags=30%, list=30%, signal=21%	CAPG/PSMB10/IFNGR2/IL18/BCL10/GBP2/ABI1/TRAF2/STAT1/IL4R/CTSS/RIPK2/MRPL3/IRF7/TAP1/TAPBP/BCL3/IL2RG/C2/LY75/NCK1/ELF4/RARS1/TLR3/IFNAR2/CD47/EGFR/B2M/TAP2/EREG/NME1/EIF5A/RPS19/UBE2D1/EIF3D/FAS/DARS1/MTIF2/CDKN2A/LIF/IKBKB/HLA-A/CCL7/IL7/IL15/AKT1/CSK/GLMN/DEGS1/HLA-G/TIMP1/GALNT1/CXCR3/RPL39/EIF3J/CXCL9/LYN/ACHE/CD40
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	0.185627600186532	0.953782791194902	0.562118126272913	0.597998006673311	0.214020339230448	6906	tags=30%, list=30%, signal=22%	CAPG/SDC4/PLAUR/TNFRSF12A/SAT1/SDC1/PMEPA1/IL32/LAMC2/SLC6A8/QSOX1/COL7A1/PLOD3/ITGB5/LAMA3/MMP1/TPM4/ECM1/COPA/MMP14/GPC1/EMP3/MCM7/DKK1/SNTB1/TGM2/TNFRSF11B/FSTL3/TPM1/COLGALT1/TGFBI/COMP/COL11A1/TPM2/SERPINH1/FAS/LGALS1/AREG/LOXL2/CXCL8/CD59/ITGA2/MXRA5/PLOD1/IL15/NT5E/BMP1/ITGB3/COL16A1/NOTCH2/ANPEP/ITGAV/NTM/CXCL1/TIMP1/CXCL6/OXTR/SPP1/WNT5A/CTHRC1/COL8A2
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	185	0.183818444904725	0.929976603271037	0.62111801242236	0.646997929606625	0.23155715375395	5091	tags=26%, list=22%, signal=21%	H1-0/HDGF/BLVRB/SLC10A3/HTATIP2/MOCOS/KLF3/MGST3/OPTN/IGSF3/SLC2A1/PDZK1IP1/SLC6A8/CTSE/TRIM10/SLC25A37/ADIPOR1/TMEM9B/RIOK3/EIF2AK1/CIR1/CAST/SMOX/GMPS/CDR2/MBOAT2/FBXO34/SDCBP/GDE1/ACP5/PICALM/CPOX/HMBS/PGLS/TFRC/DCUN1D1/NEK7/TSPAN5/CA2/SLC30A10/BACH1/BLVRA/LRP10/TOP1/SLC30A1/MAP2K3/CTSB/E2F2/MFHAS1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	0.214146598622423	0.845956927647477	0.704225352112676	0.718597298074159	0.257182190889699	4044	tags=21%, list=17%, signal=18%	CTNNB1/AXIN1/HDAC2/CSNK1E/DKK1/PPARD/NUMB/JAG1/HDAC11
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	181	0.145219100732023	0.733628785076561	0.985446985446985	0.985446985446985	0.352686289528395	2715	tags=13%, list=12%, signal=11%	KLF5/ITGB4/NQO1/TPM3/RIT1/TNNI1/ERBB3/AGRN/EPHB3/TEAD4/SLC6A8/PDLIM7/DENND2B/SYNGR2/FKBP1B/SPDEF/PLXNB2/OCEL1/ITGB5/MYO1C/TNNT2/FDPS/TNNC2
