ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0035641	locomotory exploration behavior	5/914	15/15041	0.333333333333333	5.4854121079504	4.42077418721357	0.00147398558889062	0.0215208273383021	0.0175865268466163	LRRK2/SLC4A10/TNR/PENK/ATP1A2	5
GO:1903236	regulation of leukocyte tethering or rolling	5/914	15/15041	0.333333333333333	5.4854121079504	4.42077418721357	0.00147398558889062	0.0215208273383021	0.0175865268466163	ITGA4/CCR2/CXCL12/SELE/SELP	5
GO:0030168	platelet activation	18/914	136/15041	0.132352941176471	2.17803127815678	3.51020377598144	0.00147876299034584	0.0215208273383021	0.0175865268466163	PIK3CG/SVEP1/P2RY12/MMRN1/F2R/P2RY1/PLEK/HTR2A/PDGFRA/GP5/CTSG/F2RL2/CD40LG/SELP/DGKB/SLC6A4/IL6/CELA2A	18
GO:0007599	hemostasis	27/914	240/15041	0.1125	1.85132658643326	3.38164747028031	0.00148013417145631	0.0215208273383021	0.0175865268466163	ANGPT1/PIK3CG/SVEP1/ANGPTL1/P2RY12/F13A1/MMRN1/F2R/P2RY1/PLEK/CD36/HTR2A/PDGFRA/THBS1/GP5/CTSG/F2RL2/CD40LG/PRRG3/SELP/DGKB/SLC6A4/F11/ANGPTL7/IL6/CELA2A/APOH	27
GO:0035592	establishment of protein localization to extracellular region	37/914	364/15041	0.101648351648352	1.6727492966552	3.30489252274901	0.00148324195268264	0.0215208273383021	0.0175865268466163	ITPR1/P2RX7/PLCB1/EDNRB/ZBED6/F2R/PRKCB/PLEK/MYRIP/VIP/CD38/IGF1/F2RL2/EPHA5/OPRM1/GHRL/CBLN4/ADCYAP1/SLC2A2/GPR119/KCNB1/SUCNR1/LEP/CARTPT/SYT4/NEUROD1/SCG2/IL6/MTTP/CELA2A/SLC30A8/CASR/G6PC2/RFX6/PLA2G1B/CFTR/TUNAR	37
GO:0014910	regulation of smooth muscle cell migration	11/914	64/15041	0.171875	2.82841561816193	3.72841750086737	0.0015044640910868	0.0216940007208566	0.0177280417750872	SLIT2/DDR2/BCL2/IGF1/FGF9/IGFBP5/MYOCD/HAS2/TACR1/NR4A3/ADIPOQ	11
GO:0045058	T cell selection	11/914	64/15041	0.171875	2.82841561816193	3.72841750086737	0.0015044640910868	0.0216940007208566	0.0177280417750872	THEMIS/BCL2/PTPRC/CD28/DOCK2/CD3G/SPN/TNFSF18/IRF4/CCR7/IL6	11
GO:0030217	T cell differentiation	33/914	314/15041	0.105095541401274	1.72947706588245	3.32270179937204	0.00151468748640231	0.0217559608307221	0.0177786747325678	RORA/FGL2/KIT/LEPR/ZEB1/THEMIS/CCR2/BCL2/PTPRC/CD28/DOCK2/CR1/CD3G/TNFSF8/IL7R/SPN/ITK/NCKAP1L/HLA-DOA/TNFSF18/CD8A/TESPA1/IRF4/EOMES/IL2RA/ZBTB16/ICOS/CLEC4D/CCR7/PCK1/LEP/IL6/PLA2G2D	33
GO:0071706	tumor necrosis factor superfamily cytokine production	21/914	170/15041	0.123529411764706	2.03282919294633	3.44472789610945	0.00152352861957101	0.0217559608307221	0.0177786747325678	ZBTB20/ANGPT1/LRRK2/CCR2/PTPRC/CX3CR1/CLEC4A/CYBB/AKAP12/IL33/SPN/CD36/THBS1/IGF1/SLAMF1/GPNMB/GHRL/LEP/ADIPOQ/CIDEA/IL6	21
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	21/914	170/15041	0.123529411764706	2.03282919294633	3.44472789610945	0.00152352861957101	0.0217559608307221	0.0177786747325678	ZBTB20/ANGPT1/LRRK2/CCR2/PTPRC/CX3CR1/CLEC4A/CYBB/AKAP12/IL33/SPN/CD36/THBS1/IGF1/SLAMF1/GPNMB/GHRL/LEP/ADIPOQ/CIDEA/IL6	21
GO:1903039	positive regulation of leukocyte cell-cell adhesion	30/914	277/15041	0.108303249097473	1.78226386178894	3.34243659292683	0.00152738766106097	0.0217559608307221	0.0177786747325678	ITGA4/CCR2/PTPRC/CD28/CR1/IL7R/PDCD1LG2/SPN/NCKAP1L/CD209/HLA-DOA/IGF1/TESPA1/HLA-DQA1/SLAMF1/CD40LG/IL2RA/HAS2/SPTA1/ZBTB16/SELE/ICOS/SELP/NR5A2/NR4A3/IGF2/CCR7/PCK1/LEP/IL6	30
GO:0061756	leukocyte adhesion to vascular endothelial cell	9/914	46/15041	0.195652173913043	3.21969841118828	3.83505587135795	0.00156124417877945	0.0221706164232754	0.0181175256324846	ITGA4/CCR2/CX3CR1/SPN/CXCL12/SELE/SELP/LEP/IL6	9
GO:0042745	circadian sleep/wake cycle	6/914	22/15041	0.272727272727273	4.48806445195942	4.16435146651811	0.00159224571641666	0.0224742356105699	0.0183656390950652	KCNA2/NLGN1/PLN/GHRL/GABRB3/CHRNB2	6
GO:1903779	regulation of cardiac conduction	6/914	22/15041	0.272727272727273	4.48806445195942	4.16435146651811	0.00159224571641666	0.0224742356105699	0.0183656390950652	SLC8A1/ANK2/RYR2/SLC8A3/ACE2/SLC8A2	6
GO:2000146	negative regulation of cell motility	32/914	303/15041	0.105610561056106	1.73795235103379	3.30067225266128	0.0016373518017678	0.023011389534474	0.0188045939621344	RECK/PLCB1/SLIT2/ZEB2/DLC1/TGFBR3/BCL2/NEXMIF/NAV3/MMRN1/CD200R1/IL33/SLAMF8/FGF2/CYP1B1/TNN/RIPOR2/THBS1/CXCL12/DCN/IGFBP5/MYOCD/SFRP1/MEOX2/ERBB4/PTPRT/DPEP1/GREM1/BMP5/ADIPOQ/TMEM196/APOH	32
