ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0055123	digestive system development	13/458	143/15041	0.0909090909090909	2.98551012306471	4.2277505882451	0.000428822256966428	0.024119698250532	0.0210387853303438	LGR4/KIT/DACT1/FGFR2/KLF5/PDGFC/NR5A2/CLMP/HNF1B/CLDN18/CXCL8/ALDH1A2/GATA4	13
GO:0010839	negative regulation of keratinocyte proliferation	5/458	22/15041	0.227272727272727	7.46377530766177	5.37663187222982	0.000439108684610002	0.0243454400710203	0.0212356921760266	PTPRK/FGFR2/EPPK1/OVOL1/SFN	5
GO:0015698	inorganic anion transport	13/458	146/15041	0.089041095890411	2.92416402464557	4.14029688549072	0.000523523019854969	0.0278790674960232	0.0243179541537614	SLC4A4/SLC1A3/CA2/SLC1A1/GABRP/SLC34A2/KCNK2/SFRP4/CFTR/SLC6A14/BEST3/CLCA1/CASR	13
GO:0015695	organic cation transport	11/458	110/15041	0.1	3.28406113537118	4.26081657131923	0.00052415856889633	0.0278790674960232	0.0243179541537614	ADORA3/SLC6A20/P2RY1/SLC5A7/ACE2/SLC1A1/VIP/SLC7A3/SLC19A3/SLC6A14/GHSR	11
GO:0032755	positive regulation of interleukin-6 production	10/458	93/15041	0.10752688172043	3.53124853265718	4.33928262819688	0.000524393694205023	0.0278790674960232	0.0243179541537614	ZBTB20/TLR3/TLR8/TLR1/TLR7/P2RX7/F2R/INAVA/IL1RAP/EREG	10
GO:0070372	regulation of ERK1 and ERK2 cascade	19/458	267/15041	0.0711610486891386	2.33697234352256	3.9062697111367	0.000550778824701144	0.0288861164684478	0.0251963684244506	ANGPT1/NOTCH2/GBP1/F2R/CCR1/DDR2/FGFR2/PDGFC/GPNMB/FPR2/P2RY1/TNFRSF11A/HTR2B/INHBA/ACE2/HAND2/PTPRC/PKHD1/CASR	19
GO:0098739	import across plasma membrane	15/458	186/15041	0.0806451612903226	2.64843639949289	4.0089031002339	0.00057843971388115	0.0299323270609699	0.0261089420328671	SLC6A20/SLC1A3/LRRC8E/ACSL5/KCNK5/ACE2/KCNJ5/SLC5A1/SLC1A1/SLC7A3/KCNJ15/SLC9A4/SLC9A2/TRPV6/SLC6A14	15
GO:0048565	digestive tract development	12/458	130/15041	0.0923076923076923	3.03144104803493	4.12245319968011	0.000615808445868459	0.0310383451742271	0.027073683689856	LGR4/KIT/DACT1/FGFR2/KLF5/PDGFC/CLMP/HNF1B/CLDN18/CXCL8/ALDH1A2/GATA4	12
GO:0061041	regulation of wound healing	12/458	130/15041	0.0923076923076923	3.03144104803493	4.12245319968011	0.000615808445868459	0.0310383451742271	0.027073683689856	PRKG1/ANGPT1/F2R/DDR2/MYLK/CLDN1/EPPK1/REG3A/REG3G/TSPAN8/F11/ADTRP	12
GO:2000027	regulation of animal organ morphogenesis	9/458	79/15041	0.113924050632911	3.74133547067603	4.32926454992591	0.000647494557084932	0.0322170048211105	0.0281017880645768	LGR4/HGF/TNFRSF11B/FGF7/SULF1/WNT2/GREM1/PKHD1/DKK1	9
GO:0008209	androgen metabolic process	5/458	24/15041	0.208333333333333	6.84179403202329	5.07567131102841	0.000674028673360539	0.0331127250799019	0.0288830941176215	HSD17B2/INHBA/UGT2B7/CYP3A4/SPP1	5
GO:0042060	wound healing	26/458	429/15041	0.0606060606060606	1.99034008204314	3.68800405730955	0.000698247565513109	0.0338323109451623	0.0295107641816792	PRKG1/ANGPT1/NOTCH2/F2RL2/F2R/F13A1/DDR2/MYOF/SVEP1/MYLK/P2RY1/CLDN1/EPPK1/LRG1/ODAM/ITGB6/ANGPTL1/NDNF/POU2F3/REG3A/REG3G/EREG/TSPAN8/F11/ADTRP/GATA4	26
GO:0044409	symbiont entry into host	12/458	132/15041	0.0909090909090909	2.98551012306471	4.06039265139605	0.000706111101921708	0.0338323109451623	0.0295107641816792	GBP5/CCR5/CLDN1/ANPEP/ACE2/ITGB6/SIGLEC1/TMPRSS4/HAVCR1/CR1/NECTIN4/CXCL8	12
GO:0032102	negative regulation of response to external stimulus	24/458	384/15041	0.0625	2.05253820960699	3.70266276048879	0.000724664885133181	0.034148192504376	0.0297862968291063	PRKG1/ANGPT1/HGF/OAS3/FGL2/SLAMF8/FPR2/VSIG4/IL2RA/NR5A2/EPPK1/PTPRC/SFN/GREM1/REG3A/CR1/NECTIN4/PTGIS/TSPAN8/F11/ADTRP/SPP1/GHSR/PLA2G10	24
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	17/458	231/15041	0.0735930735930736	2.41684152819524	3.84576690382691	0.000730301462989748	0.034148192504376	0.0297862968291063	CXCL11/ADGRG6/C3AR1/CXCL10/CXCL9/FPR2/FPR1/P2RY1/MTNR1A/LPAR3/VIP/NOS1/GNAT3/HTR1D/ADGRF1/PSAPL1/CASR	17
