ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030277	maintenance of gastrointestinal epithelium	5/373	24/15041	0.208333333333333	8.40091599642538	5.78618598012133	0.000263032160772986	0.038804683611842	0.0357595275144599	INAVA/NR1I2/TFF1/TFF2/MUC4	5
GO:0042742	defense response to bacterium	17/373	260/15041	0.0653846153846154	2.63659517426273	4.24491418644209	0.000274506748485148	0.038804683611842	0.0357595275144599	GSDMB/SFN/S100A14/ANXA3/EVPL/OAS1/ISG15/EPHA2/WFDC10B/WFDC2/MMP7/WFDC3/PI3/LGALS4/GBP6/LYZ/CCL20	17
GO:0048704	embryonic skeletal system morphogenesis	9/373	86/15041	0.104651162790698	4.21999501215787	4.7753378106145	0.000275261703502177	0.038804683611842	0.0357595275144599	MDFI/TFAP2A/GRHL2/HOXB5/IRX5/HOXB6/HOXB9/FGFR2/LHX1	9
GO:0001704	formation of primary germ layer	11/373	125/15041	0.088	3.54854691689008	4.56262037543759	0.000279247654001631	0.038804683611842	0.0357595275144599	ITGB4/LAMB3/EPHA2/EYA2/FGFR2/TRIM15/LHX1/HMGA2/COL7A1/HNF1B/DKK1	11
GO:0022600	digestive system process	10/373	106/15041	0.0943396226415094	3.8041883757398	4.62008948383671	0.000299903695303185	0.0395835173575056	0.0364772431138404	KCNN4/INAVA/NMU/NR1I2/TFF1/TFF2/SLC9A4/MUC4/AQP5/GCNT3	10
GO:0048732	gland development	23/373	418/15041	0.0550239234449761	2.21880652154393	4.02993047456438	0.000317736541054266	0.0395835173575056	0.0364772431138404	IQGAP3/ESRP2/TSPO/XDH/EPHA2/MET/CCNB2/SERPINB5/TGFA/HK2/E2F8/ATP2C2/HOXB9/TFCP2L1/FGFR2/FOXH1/FA2H/HMGA2/UGT1A10/HNF1B/PITX1/WNT2/SHH	23
GO:0001942	hair follicle development	9/373	88/15041	0.102272727272727	4.12408603460882	4.68697933023796	0.000327480627626954	0.0395835173575056	0.0364772431138404	FOXQ1/PKP3/PLA2G10/CDH3/FGFR2/SOX21/KRT17/SHH/DKK1	9
GO:0050673	epithelial cell proliferation	23/373	419/15041	0.0548926014319809	2.21351104058559	4.01735524469167	0.000328675759957146	0.0395835173575056	0.0364772431138404	ERBB2/IQGAP3/SFN/ESRP2/PPARG/OVOL1/UHRF1/EPHA2/SERPINB5/TGFA/LRG1/EPPK1/CLDN18/FUT2/TACSTD2/CDH3/FGFR2/FA2H/HMGA2/SDR16C5/HNF1B/WNT2/SHH	23
GO:0033081	regulation of T cell differentiation in thymus	5/373	26/15041	0.192307692307692	7.75469168900804	5.49695801615524	0.000390816585838524	0.0434537549301269	0.040043767926928	ERBB2/ADAM8/VNN1/IL2RG/SHH	5
GO:0042178	xenobiotic catabolic process	5/373	26/15041	0.192307692307692	7.75469168900804	5.49695801615524	0.000390816585838524	0.0434537549301269	0.040043767926928	NR1I2/UGT1A10/CYP2C19/CYP2C9/CYP2B6	5
GO:0001890	placenta development	12/373	152/15041	0.0789473684210526	3.18350500917172	4.3145559479952	0.000408816127281491	0.0434537549301269	0.040043767926928	PHLDA2/PLCD3/MDFI/PPARG/ADGRG6/GJB3/KRT19/GRHL2/E2F8/FGFR2/HSD17B2/WNT2	12
GO:0022404	molting cycle process	9/373	91/15041	0.0989010989010989	3.98812715434699	4.55923583388466	0.000420946975520188	0.0434537549301269	0.040043767926928	FOXQ1/PKP3/PLA2G10/CDH3/FGFR2/SOX21/KRT17/SHH/DKK1	9
GO:0022405	hair cycle process	9/373	91/15041	0.0989010989010989	3.98812715434699	4.55923583388466	0.000420946975520188	0.0434537549301269	0.040043767926928	FOXQ1/PKP3/PLA2G10/CDH3/FGFR2/SOX21/KRT17/SHH/DKK1	9
GO:0043616	keratinocyte proliferation	7/373	56/15041	0.125	5.04054959785523	4.83057651228972	0.000444223532102354	0.0436377485354979	0.0402133228306495	SFN/OVOL1/LRG1/EPPK1/CDH3/FGFR2/SDR16C5	7
GO:0051783	regulation of nuclear division	11/373	132/15041	0.0833333333333333	3.36036639857015	4.34345188713326	0.000446885329591315	0.0436377485354979	0.0402133228306495	PKMYT1/UBE2C/PLK1/TTK/NEK2/CDC20/MKI67/BIRC5/CDC25C/TGFA/DLGAP5	11
GO:0031639	plasminogen activation	5/373	27/15041	0.185185185185185	7.46748088571145	5.3636658446404	0.000469972154712181	0.0446844577625029	0.0411778926691033	ANXA2/ANXA2P2/DHCR24/PLAUR/MELTF	5
