ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	196	0.327117524360419	1.64943080292636	8.76177204410736e-05	0.000292059068136912	0.000122972239215542	4990	tags=39%, list=22%, signal=31%	APC/LATS1/SOS1/PKD2/KIF1B/ROCK1/DOCK4/ALMS1/ARHGAP5/NF1/PCGF5/ARHGEF12/OPHN1/SMC1A/EPB41L2/CLIP1/PCM1/PAFAH1B1/RFC1/HOOK3/SMC3/DOCK2/ARHGAP29/PDLIM5/NIN/ITSN1/DST/DYNC1H1/RAPGEF5/PALLD/CLASP1/PREX1/RAB3GAP1/MYH10/CDC27/CCDC88A/EPB41/TIAM1/PPP4R2/AKAP13/RABGAP1/TLK1/WASF1/NOTCH2/ABL1/KIF5B/ARHGEF3/RANBP9/MID1/RASAL2/SMC4/WASF2/RICTOR/ARFGEF1/KIF3B/SSH2/SPTBN1/FGD4/CNTRL/TRIO/RAPGEF6/DLG1/NEDD9/KIF3C/SYNPO/ALS2/FBXO5/ARHGAP10/CEP192/TUBGCP5/VCL/KIF20B/RASA1/CKAP5/CDC42/WASL/STK38L
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	38	0.485552476876374	1.85634298044469	0.00197877770051047	0.00618368031409521	0.00260365486909272	9659	tags=82%, list=42%, signal=48%	AKT3/DPP4/FOXO1/PAK3/SLC2A2/ELP4/NEUROD1/DCX/ISL1/MAFB/G6PC2/PCSK1/PCSK2/SCGN/IAPP/LMO2/STXBP1/GCG/PAX6/CHGA/SST/GCK/INSM1/SYT13/ABCC8/HNF1A/VDR/PAX4/PDX1/NKX6-1/INS
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	54	0.419816144766628	1.71182488724063	0.00289326868474305	0.00850961377865603	0.00358299527522359	4416	tags=41%, list=19%, signal=33%	APC/TRIM33/BMPR2/BMPR1A/ARID4B/PPM1A/KLF10/HIPK2/SMAD1/WWTR1/THBS1/XIAP/MAP3K7/TGFBR1/TJP1/RAB31/SPTBN1/LTBP2/SMURF2/SMAD7/ACVR1/SKIL
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	185	0.295999085265156	1.47820544669856	0.00336807077098078	0.00935575214161327	0.00393926405962664	3003	tags=23%, list=13%, signal=20%	NCOA4/BMP2K/SYNJ1/KAT2B/NR3C1/GAPVD1/FECH/TRAK2/ERMAP/ARHGEF12/ABCG2/TNS1/VEZF1/TNRC6B/DCUN1D1/GCLM/DCAF10/CLIC2/LAMP2/MARCHF8/FOXO3/TENT5C/CDC27/EPB41/DAAM1/CAT/GCLC/ALDH6A1/TFDP2/GYPE/BACH1/CLCN3/NNT/XPO7/TAL1/SLC30A1/SPTA1/ISCA1/TRIM58/ACSL6/FOXJ2/SEC14L1/BTRC
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	199	-0.287117861125837	-1.41454234533966	0.00448423468573346	0.0118006175940354	0.00496868109222544	7160	tags=41%, list=31%, signal=29%	TSC22D1/RAP2B/RRAD/IFI30/PRKAB1/SEC61A1/TGFB1/PERP/TNNI1/SFN/NINJ1/CD82/CDKN2A/MXD4/CCND3/EPHA2/COQ8A/RPS12/DGKA/TRIB3/TM4SF1/OSGIN1/ITGB4/CDKN1A/SPHK1/PLK3/RACK1/TNFSF9/H1-2/TPRKB/S100A4/HDAC3/SDC1/HEXIM1/RPS27L/SOCS1/PPP1R15A/PDGFA/RHBDF2/BAK1/FAM162A/DEF6/AK1/DDIT4/HINT1/ST14/PLXNB2/S100A10/PVT1/SLC3A2/SAT1/IER3/IER5/VAMP8/TAX1BP3/SERTAD3/DDIT3/PHLDA3/BAIAP2/DDB2/RRP8/IP6K2/FDXR/IRAK1/MKNK2/RALGDS/JAG2/UPP1/RPL18/DCXR/RAB40C/BLCAP/RPL36/H2AJ/EPS8L2/CTSD/TRAF4/RAD9A/BAX/WRAP73/HRAS/PIDD1
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	197	0.281582677374521	1.42253344631081	0.00509781297896442	0.012744532447411	0.0053661189252257	6398	tags=38%, list=28%, signal=27%	MED13L/AFF1/IL6ST/AR/SLC26A2/DLC1/NRIP1/BCL2/PGR/CALCR/ADCY9/SH3BP5/KLF10/THSD4/ELF1/JAK2/GAB2/GREB1/RHOBTB3/TIAM1/PAPSS2/LRIG1/ELOVL5/CXCL12/SLC7A2/SLC39A6/GJA1/RET/GFRA1/ADD3/SVIL/OLFML3/RAB31/PRSS23/MAST4/RETREG1/SYBU/MPPED2/ABAT/ABHD2/PDZK1/HSPB8/FKBP5/REEP1/ADCY1/CELSR2/SLC24A3/PDLIM3/SLC19A2/MAPT/RPS6KA2/UGCG/FRK/ELOVL2/IGF1R/BCL11B/OLFM1/RASGRP1/FCMR/CYP26B1/PEX11A/SLC16A1/PODXL/XBP1/STC2/OPN3/TIPARP/ABLIM1/NPY1R/SLC1A1/DEPTOR/RBBP8/KAZN/FARP1
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	195	-0.292119795740203	-1.43579284610458	0.00641728806954778	0.0152792573084471	0.00643337149829351	6046	tags=37%, list=26%, signal=28%	CLDN9/STMN1/CDK1/ANGPTL4/MIOX/VEGFA/ELF3/B3GNT3/EGLN3/AKR1A1/SRD5A3/B4GALT4/POLR3K/CHST6/PFKP/GPR87/ENO2/SOD1/ISG20/SDC1/CHPF2/GAL3ST1/PYGB/GMPPB/ADORA2B/NDUFV3/PPFIA4/GPC1/FAM162A/TPI1/NASP/LHPP/PKM/GYS1/HAX1/G6PD/DDIT4/AGRN/GUSB/CLDN3/SPAG4/GALE/TXN/NSDHL/IER3/B4GALT2/PSMC4/MED24/ARTN/MDH2/EFNA3/B3GALT6/GALK1/SLC16A3/ABCB6/BIK/GFUS/XYLT2/TALDO1/CHST12/ALDOA/CHPF/PPIA/GMPPA/SLC25A10/ANKZF1/B3GAT3/B4GALT7/RBCK1/NOL3/IDUA/PGLS
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	199	-0.278434235692488	-1.37176076484733	0.00862372393681131	0.0195993725836621	0.00825236740364718	4191	tags=31%, list=18%, signal=26%	CCNB2/KIF2C/CDCA8/POLE/TRIP13/MCM5/PSMC3IP/BIRC5/CHEK2/POLE4/SUV39H1/ASF1B/NASP/PA2G4/MCM7/H2AZ1/KIF18B/CKS2/CDC20/CDC25B/HMGA1/CCNE1/HELLS/AURKB/DUT/EZH2/ORC6/TK1/PTTG1/CKS1B/PLK1/CENPM/RFC2/SPAG5/NME1/RPA3/SRSF2/LIG1/JPT1/ILF3/CDCA3/DONSON/UBE2T/TUBG1/TACC3/EXOSC8/RANBP1/HNRNPD/SPC24/POLD2/KIF22/SNRPB/POLD1/NAA38/POP7/UBE2S/TBRG4/DDX39A/WDR90/POLA2/H2AX/MXD3
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	198	0.270350322785917	1.37084391154489	0.00915486295712897	0.0199018759937586	0.00837973726052995	7673	tags=46%, list=33%, signal=31%	FGL2/P2RY14/ST8SIA4/PDE4B/MARCHF1/STAT3/ARID5B/LCP2/SAMHD1/IL2RB/CMKLR1/NCOA3/APOL6/CSF2RB/JAK2/SSPN/CD38/IL10RA/EIF4E3/CD274/FPR1/HIF1A/HLA-DQA1/CXCL9/CD86/IRF4/CFH/EIF2AK2/C1S/ISOC1/STAT4/SELP/GBP4/CD69/LATS2/GZMA/TNFAIP3/SPPL2A/NFKB1/ADAR/LAP3/GPR18/RAPGEF6/SLAMF7/STAT1/RIPK1/CCL5/RNF213/ITGB7/SOD2/CXCL10/IDO1/CIITA/TNFAIP6/HLA-DRB1/IL6/NAMPT/VCAM1/BANK1/IL18BP/NOD1/CXCL11/TDRD7/C1R/CCL2/SERPING1/DDX60/BTG1/ICAM1/IL7/WARS1/XCL1/GCH1/IRF2/PLA2G4A/HERC6/IFIH1/IRF8/PARP14/FAS/IFIT2/MTHFD2/KLRK1/FCGR1A/SAMD9L/ST3GAL5/CASP1/OAS3/CD74/ZNFX1/SOCS3/CMPK2
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	107	0.31281994745215	1.44525933876939	0.013051590723921	0.0271908140081688	0.0114487637929132	7256	tags=47%, list=31%, signal=32%	SIRT1/JAM3/PRKAR2A/SHE/NOS1/STAM2/DCC/MTOR/CAMK4/GMCL1/MLLT10/ZC3H14/BRAF/NEFH/MTNR1A/HSPA4L/TLE4/IL12RB2/SPATA6/ADCYAP1/PIAS2/CCNA1/SNAP91/NPY5R/IDE/TOPBP1/CLGN/MEP1B/ALOX15/TKTL1/IP6K1/CHRM4/SLC12A2/GSG1/RAD17/CFTR/GPR182/STRBP/GSTM3/COIL/SEPTIN4/IL13RA2/SCG3/AGFG1/GFI1/DDX25/TSN/DPEP3/ACRBP/SLC2A5
