item	value
"registry_loaded"	1
"candidate_dataset_n"	3
"download_plan_written"	1
"file_audit_template_written"	1
"metadata_audit_template_written"	1
"sample_manifest_template_written"	1
"ready_for_manual_download_and_audit"	1
