accession	sample_id	patient_id	tissue_type	disease_status	treatment_status	primary_or_metastatic	expected_use	include_for_main_analysis	exclude_reason	note
"GSE155698"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CRA001160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GSE205013"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
