score_name	genes_present	n_genes_present
"signature12_module"	"LCP1,GBP4,MET,SNAPC4,TGFBI,SLC25A11,RFC4,IDO1,NMUR1,INHBA,IL15RA"	11
"mcd_focus_module"	"GPX4,SLC31A1,TGFBI,IDO1,IL15RA,INHBA,MET"	7
