gsm_archive	sample_name	target_dir	unpack_success	unpack_message
"GSM4710717_PDAC_PBMC_9.tar.gz"	"GSM4710717_PDAC_PBMC_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710717_PDAC_PBMC_9"	TRUE	"untar_success"
"GSM4710718_PDAC_PBMC_10A.tar.gz"	"GSM4710718_PDAC_PBMC_10A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710718_PDAC_PBMC_10A"	TRUE	"untar_success"
"GSM4710719_PDAC_PBMC_10B.tar.gz"	"GSM4710719_PDAC_PBMC_10B"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710719_PDAC_PBMC_10B"	TRUE	"untar_success"
"GSM4710720_PDAC_PBMC_11.tar.gz"	"GSM4710720_PDAC_PBMC_11"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710720_PDAC_PBMC_11"	TRUE	"untar_success"
"GSM4710721_PDAC_PBMC_12.tar.gz"	"GSM4710721_PDAC_PBMC_12"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710721_PDAC_PBMC_12"	TRUE	"untar_success"
"GSM4710722_PDAC_PBMC_13.tar.gz"	"GSM4710722_PDAC_PBMC_13"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710722_PDAC_PBMC_13"	TRUE	"untar_success"
"GSM4710723_PDAC_PBMC_14.tar.gz"	"GSM4710723_PDAC_PBMC_14"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710723_PDAC_PBMC_14"	TRUE	"untar_success"
"GSM4710724_PDAC_PBMC_15.tar.gz"	"GSM4710724_PDAC_PBMC_15"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710724_PDAC_PBMC_15"	TRUE	"untar_success"
"GSM4710725_PDAC_PBMC_16.tar.gz"	"GSM4710725_PDAC_PBMC_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710725_PDAC_PBMC_16"	TRUE	"untar_success"
"GSM4710726_Healthy_PBMC_1.tar.gz"	"GSM4710726_Healthy_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710726_Healthy_PBMC_1"	TRUE	"untar_success"
"GSM4710727_Healthy_PBMC_2.tar.gz"	"GSM4710727_Healthy_PBMC_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710727_Healthy_PBMC_2"	TRUE	"untar_success"
"GSM4710728_Healthy_PBMC_3.tar.gz"	"GSM4710728_Healthy_PBMC_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710728_Healthy_PBMC_3"	TRUE	"untar_success"
"GSM4710729_Healthy_PBMC_4.tar.gz"	"GSM4710729_Healthy_PBMC_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710729_Healthy_PBMC_4"	TRUE	"untar_success"
